Depart Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Supplier PostCode,Supplier Type,Contract No,Project Code,Exp Type
,Animal Health and Veterinary Laboratories Agency,28/02/2012,Hard charges,Food and Farming Group,D T Z,32704,76806.69,"Service Charge Expenditure for the period 01/10/2011 to 31/12/2011 relating to Barnwood Park, Unit 1 & Unit 2, Barnwood Park, Barnwood, Gloucester, GL4 3DE (Services covered - Ground rent, Service Charge, Electricity and Rates/Community Charge)",B4 6HT,,,HARDESTA,Expense
,Animal Health and Veterinary Laboratories Agency,28/02/2012,Hard charges,Food and Farming Group,D T Z,32705,42985.9,"Service Charge Expenditure for the period 01/10/2011 to 31/12/2011 relating to Beacon House - Animal Health, University Court Technology Park, State Veterinary Service, Beacon House, Stafford, ST18 0GU. (Services covered - Ground rent, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
,Animal Health and Veterinary Laboratories Agency,28/02/2012,Hard charges,Food and Farming Group,D T Z,32719,66365.73,"Service Charge Expenditure for the period 01/10/2011 to 31/12/2011 relating to Carmarthen - Ty Merlin Parc Pensarn, Unit at Parc Pensarn, Ty Merlin, Heol Glasdwr Carmarthen, Dyed SA31 2NF. (Services covered - Ground rent, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
,Animal Health and Veterinary Laboratories Agency,28/02/2012,Hard charges,Food and Farming Group,D T Z,32777,36305.21,"Service Charge Expenditure for the period 01/10/2011 to 31/12/2011 relating to Olympia House, Gelderd Lane, Leeds LS12 6DD. (Services covered - Ground rent, Service Charge and Rates/Community Charge s)",B4 6HT,,,HARDESTA,Expense
,Animal Health and Veterinary Laboratories Agency,10/02/2012,IT & Other consumables,,Meat & Livestock Commercial Services Ltd,17004682,28500,Monthly payment to the Meat and Livestock Commercial to input keeper data for pig movements.  ,CV8 2TL,,,P10002IT,Expense
,Animal Health and Veterinary Laboratories Agency,22/02/2012,Emergency Vaccinations,Food and Farming Group,Genus Breeding Ltd.,21090232,44123.4,Contingency contract for livestock vaccinations in the event of an outbreak,CW6 9HY,SME,,EMERVACC,Expense
,Animal Health and Veterinary Laboratories Agency,02/02/2012,Mobile Phones,Central Finance Group,Vodafone Ltd,61975385,26697.69,Payment of the monthly AHVLA Vodafone bill,,,,0,Asset
,Animal Health and Veterinary Laboratories Agency,08/02/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,50834.65,Payment of the monthly AHVLA Barclaycard bill,TS17 6YG,,,0,Asset
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI148456,90906.47,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST14 8EB,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,BELMONT VETERINARY CENTRE LTD~134086385,LVI148505,30609.82,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,HR2 7JS,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,George Veterinary Group~137680257,LVI148511,30639.18,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SN16 9AA,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,The Vale Veterinary Group~141003340,LVI148518,36314.11,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX16 4LF,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,North Park Veterinary Group~141110144,LVI148519,27507.11,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX20 2DT,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,SOUTH MOOR LTD T/A SOUTHMOOR VETS~141491191,LVI148522,29291.49,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,TQ7 1JL,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,TORBRIDGE VETERINARY HOSPITAL/TORB~143028794,LVI148528,28105.82,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX39 3DX,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,Penbode Veterinary Group~143290584,LVI148531,66175.07,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX22 6HB,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,MILFEDDYGON Y WERN/  WERN VETERINAR~159252551,LVI148547,40481.27,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,LL15 ITG,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,Moorland Veterinary Centre~278675204,LVI148693,30488,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST13 6AS,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,CASTLE VETERINARY GROUP LTD~807674214,LVI148874,29006.87,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,PL15 7ED,SME,,0,Expense
,Animal Health and Veterinary Laboratories Agency,27/02/2012,LVI Claims,Food and Farming Group,SYNERGY FARM HEALTH LTD~979392255,LVI148938,43461.55,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DT2 0LD,SME,,0,Expense
