Department for Work and Pensions ,Corporate,29/04/2010,MISCELLANEOUS EXPENDITURE,PENSIONS CLIENT DIRECTORATE,SOUTHAMPTON CITY COUNCIL,1004191,"87,100.00",,
Department for Work and Pensions ,Corporate,29/04/2010,TEMPORARY (TEMP) STAFF COSTS,CORPORATE IT,TAMESIDE MBC,1004192,"97,650.00",,
Department for Work and Pensions ,Corporate,07/04/2010,MANAGEMENT CONSULTANCY,MISC RFR 5,CABINET OFFICE,2001974,"167,437.50",,
Department for Work and Pensions ,Corporate,01/04/2010,COMPUTER SERVICES,CORPORATE IT,ACCENTURE,2014640865,"409,879.86",,
Department for Work and Pensions ,Corporate,01/04/2010,COMPUTER SERVICES,SHARED SERVICES ,ACCENTURE UK LTD,2014640866,"84,810.37",,
Department for Work and Pensions ,Corporate,01/04/2010,COMPUTER SERVICES,CORPORATE IT,ATOS ORIGIN IT SERVICES UK LTD,2014641000,"67,200.00",,
Department for Work and Pensions ,Corporate,01/04/2010,COMPUTER SERVICES,CORPORATE IT,ATOS ORIGIN IT SERVICES UK LTD,2014641001,"193,721.26",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,YOUNG PERSONS GUARANTEE (YPG) AND FUTURE JOBS FUND (FJF),WWG CORE PROGRAMME,BARNSLEY METROPOLITAN BOROUGH COUNCIL,2014641149,"218,400.00",,
Department for Work and Pensions ,Corporate,01/04/2010,MARKETING,MISC RFR 5,BLUE RUBICON LTD,2014641195,"21,554.40",,
Department for Work and Pensions ,Corporate,01/04/2010,PROFESSIONAL FEES,MISC RFR 5,BMRB INTERNATIONAL LTD,2014641203,"110,000.00",,
Department for Work and Pensions ,Corporate,01/04/2010,INTERNATIONAL PROGRAMMES,WWG TOP LEVEL,BRITISH COUNCIL,2014641231,"40,000.00",,
Department for Work and Pensions ,Corporate,01/04/2010,INTERNATIONAL PROGRAMMES,WWG TOP LEVEL,BRITISH COUNCIL,2014641231,"8,825.00",,
Department for Work and Pensions ,Corporate,01/04/2010,COMMUNICATIONS & PUBLICITY,MISC RFR 5,COI CENTRAL OFFICE OF INFO,2014641856,"72,240.00",,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,COMPUTER SERVICES,JOBCENTRE PLUS,COMPUTACENTER UK LTD,2014641868,143.36,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,COMPUTER SERVICES,JOBCENTRE PLUS,COMPUTACENTER UK LTD,2014641868,143.36,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,COMPUTER SERVICES,JOBCENTRE PLUS,COMPUTACENTER UK LTD,2014641868,236.67,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,COMPUTER SERVICES, FINANCE,COMPUTACENTER UK LTD,2014641868,"35,067.50",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,COMPUTER SERVICES,PDCS CORE,COMPUTACENTER UK LTD,2014641868,236.67,,
Department for Work and Pensions ,Employment Programmes,01/04/2010,RAPID RESPONSE,WWG CORE PROGRAMME,CROWNSHIP DEVELOPMENTS LTD,2014641919,"23,773.15",,
Department for Work and Pensions ,Corporate,01/04/2010,STAFF COSTS,MISC RFR 5,EDEXCEL LTD,2014643964,"20,181.65",,
Department for Work and Pensions ,Corporate,01/04/2010,STAFF COSTS,MISC RFR 5,EDEXCEL LTD,2014643964,"6,593.18",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,WORKSTEP,WWG CORE PROGRAMME,HAVEN PRODUCTS LTD,2014644628,"40,119.90",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,ND 50+,WWG CORE PROGRAMME,INGEUS UK LTD,2014644749,"4,602.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,ND 50+,WWG CORE PROGRAMME,INGEUS UK LTD,2014644749,"10,731.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,ND 50+,WWG CORE PROGRAMME,INGEUS UK LTD,2014644749,"1,366.09",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,MISCELLANEOUS EXPENDITURE,WWG CORE PROGRAMME,INGEUS UK LTD,2014644749,"11,008.00",,
Department for Work and Pensions ,Corporate,01/04/2010,MANAGEMENT CONSULTANCY,GROUP FINANCE,KPMG LLP,2014645972,"444,134.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,YOUNG PERSONS GUARANTEE (YPG) AND FUTURE JOBS FUND (FJF),WWG CORE PROGRAMME,LANCASHIRE COUNTY COUNCIL,2014646445,"29,550.00",,
Department for Work and Pensions ,Corporate,01/04/2010,EMPLOYMENT ZONES,WWG TOP LEVEL,LEWIS LIVE LTD,2014646468,"7,517.01",,
Department for Work and Pensions ,Corporate,01/04/2010,CONFERENCES AND MEETINGS,MISC RFR 5,LEWIS LIVE LTD,2014646468,"16,435.45",,
Department for Work and Pensions ,Corporate,01/04/2010,MISCELLANEOUS EXPENDITURE,MISC RFR 5,LEWIS LIVE LTD,2014646468,"2,876.20",,
Department for Work and Pensions ,Corporate,01/04/2010,EMPLOYMENT ZONES,WWG TOP LEVEL,NATIONAL CENTRE FOR SOCIAL RESEARCH,2014647504,"25,342.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,WORKSTEP,WWG CORE PROGRAMME,NEWCASTLE CITY COUNCIL,2014647522,"33,451.10",,
Department for Work and Pensions ,Corporate,01/04/2010,CAPITAL GRANTS,GROUP FINANCE,NORFOLK CREDIT UNION LTD,2014647546,"75,751.00",,
Department for Work and Pensions ,Corporate,01/04/2010,EMPLOYMENT ZONES,GROUP FINANCE,NORFOLK CREDIT UNION LTD,2014647546,"29,428.00",,
Department for Work and Pensions ,Corporate,01/04/2010,MANAGEMENT CONSULTANCY,CORPORATE IT,PRICEWATERHOUSE COOPERS LLP,2014647970,"192,104.50",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,DAF,WWG CORE PROGRAMME,RCA TRUST,2014648376,"42,325.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,YOUNG PERSONS GUARANTEE (YPG) AND FUTURE JOBS FUND (FJF),WWG CORE PROGRAMME,SALFORD CITY COUNCIL,2014649250,"269,100.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,YOUNG PERSONS GUARANTEE (YPG) AND FUTURE JOBS FUND (FJF),WWG CORE PROGRAMME,SHEFFIELD CITY COUNCIL,2014649308,"131,250.00",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,WORKSTEP,WWG CORE PROGRAMME,SHEFFIELD CITY COUNCIL,2014649309,"28,355.60",,
Department for Work and Pensions ,Corporate,01/04/2010,INTERNATIONAL PROGRAMMES,WWG TOP LEVEL,SPECIALIST SCHOOLS & ACADEMIES TRUST,2014649398,"53,046.00",,
Department for Work and Pensions ,Corporate,01/04/2010,INTERNATIONAL PROGRAMMES,WWG TOP LEVEL,SPECIALIST SCHOOLS & ACADEMIES TRUST,2014649398,"49,749.80",,
Department for Work and Pensions ,Employment Programmes,01/04/2010,YOUNG PERSONS GUARANTEE (YPG) AND FUTURE JOBS FUND (FJF),WWG CORE PROGRAMME,THE SOMERSET COUNTY COUNCIL,2014649759,"93,600.00",,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,320.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,260.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,640.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,500.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,100.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,"63,420.00",,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,520.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,450.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,780.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,440.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,150.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,870.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,"3,490.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,750.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,960.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,"1,850.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,100.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,"1,040.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,270.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,150.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,"2,540.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,"2,650.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,PDCS CORE,VALUATION OFFICE AGENCY,2014649943,"5,030.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,#N/A,VALUATION OFFICE AGENCY,2014649943,240.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,#N/A,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,#N/A,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,"Pension, Disability Carers Services",01/04/2010,OTHER GOODS AND SERVICES,#N/A,VALUATION OFFICE AGENCY,2014649943,100.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,200.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,520.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,440.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,300.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,150.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,470.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,180.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,100.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,760.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,240.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,420.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,80.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,180.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,890.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,540.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,"1,400.00",,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,160.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,840.00,,
Department for Work and Pensions ,Jobcentre Plus,01/04/2010,OTHER GOODS AND SERVICES,JOBCENTRE PLUS,VALUATION OFFICE AGENCY,2014649943,80.00,,
