Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative
HM Treasury,HM Treasury,27-Jan-11,Consultants - Financial - Advisory only,Public Services & Growth,GOVERNMENT ACTUARY'S DEPT,90285,27074.45,"actuarial services to the Workforce, Pay and Pensions team for the period ended 30 November 2010 "
HM Treasury,APA,27-Jan-11,Consultants - Mgt - Non Advisory,Data Management,PRICEWATERHOUSECOOPERS,90119,43148.87,Asset Protection Scheme Advice
HM Treasury,APA,27-Jan-11,Consultants - Mgt - Non Advisory,Data Management,PRICEWATERHOUSECOOPERS,90124,43594.97,Asset Protection Scheme Advice
HM Treasury,HM Treasury,27-Jan-11,IT support and maintenance recoverable,Corporate Services,NTL TELEWEST,90345,99075.71,NTL Telewest is line rental changes for our network links for year to 21 November 2011.
HM Treasury,APA,27-Jan-11,Consultants - Financial - Non-,Scheme Ledger,PRICEWATERHOUSECOOPERS ,90129,172619.12,Asset Protection Scheme Advice
HM Treasury,APA,27-Jan-11,Consultants - Financial - Non-,Scheme Ledger,PRICEWATERHOUSECOOPERS ,90126,502523.07,Asset Protection Scheme Advice
HM Treasury,APA,27-Jan-11,Consultants - Financial - Non-,Scheme Ledger,PRICEWATERHOUSECOOPERS ,90121,547535.24,Asset Protection Scheme Advice
HM Treasury,DMO,31-Jan-11,Software Licences,Consolidated Projects,CRMWORKS LIMITED,89211,1692," Helpdesk, IT Service Management, Customer Relationship Management and Customer Service solution"
HM Treasury,DMO,31-Jan-11,Software Maintenance,Consolidated Projects,CRMWORKS LIMITED,89211,10645.43," Helpdesk, IT Service Management, Customer Relationship Management and Customer Service solution"
HM Treasury,DMO,31-Jan-11,Training Course Fees,Consolidated Projects,CRMWORKS LIMITED,89211,4700," Helpdesk, IT Service Management, Customer Relationship Management and Customer Service solution"
HM Treasury,HM Treasury,31-Jan-11,Telephone Rental,Corporate Services,VODAFONE CORPORATE LTD,90381,33402.56,Vodafone charges QTR 3 2010/11
HM Treasury,DMO,31-Jan-11,IT support and maintenance recoverable,Business Delivery,COMPUTACENTER (UK) LTD,90338,175721.78,IT services
,,,,,,,,
,,,,,,,,
