Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,CAPITA BUSINESS SERVICES LTD,4000041305,"702,646"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,CRIMINAL RECORDS BUREAU,4000041308,"143,352"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,DEVON COUNTY COUNCIL,4000041310,"3,062,356"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,EC HARRIS LLP,4000041312,"46,002"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Academies Policy and Schools Organisation Group,EDEN PROJECT,4000041313,"95,268"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Academies Delivery Group,HAMMERSMITH ACADEMY TRUST ACCOUNT,4000041316,"30,366"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Post 16 YPLA Resources Group,LOCAL GOVERNMENT ASSOCIATION,4000041319,"50,128"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000041321,"1,622,394"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Academies Delivery Group,MORLEY HIGH SCHOOL,4000041325,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,RESEARCH & DEVELOPMENT COSTS,Supporting Children and Young People Group 2,NATIONAL CENTRE FOR SOCIAL RESEARCH,4000041326,"30,000"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Children Young People and Families Supporting Delivery Group,NATIONAL CHILDRENS BUREAU,4000041327,"498,157"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,PROFESSIONAL FEES,Academies Delivery Group,PKF UK LIMITED,4000041331,"37,346"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,PKF UK LIMITED,4000041331,"5,026"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,PSHE ASSOCIATION,4000041334,"86,000"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,REX HALL ASSOCIATES LTD,4000041335,"100,955"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Academies Delivery Group,SANDRINGHAM SCHOOL,4000041339,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,SING UP,4000041340,"245,066"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,TELFORD & WREKIN COUNCIL,4000041341,"620,978"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Academies Delivery Group,THE KNIGHTS TEMPLAR SCHOOL,4000041342,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CAPITAL GRANTS,School Resources Group,W S ATKINS SERVICES LTD,4000041346,"115,928"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,WILTSHIRE COUNCIL,4000041347,"60,729"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,TEMPORARY (TEMP) STAFF COSTS,Children Young People and Families Group,CAPITA RESOURCING LTD,4000041376,"15,196"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,TEMPORARY (TEMP) STAFF COSTS,Children Young People and Families Group,CAPITA RESOURCING LTD,4000041376,"5,787"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,CAPITA RESOURCING LTD,4000041376,"13,916"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,TEMPORARY (TEMP) STAFF COSTS,Finance Group Shared Services Schools and Category Management,CAPITA RESOURCING LTD,4000041376,"1,721"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,TEMPORARY (TEMP) STAFF COSTS,People and Change,CAPITA RESOURCING LTD,4000041376,"4,432"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,PROFESSIONAL FEES,School Standards Group,CAPITA RESOURCING LTD,4000041376,"2,820"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000041376,"5,679"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000041376,"4,437"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children and Families Directorate Support,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,119
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,667
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,71
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,392
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,401
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,96
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,105
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 2,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,291
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,"4,976"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,771
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,74
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,460
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,217
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,837
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,445
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,401
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,711
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,417
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,57
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,138
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,286
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,122
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,317
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group EFM,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,"1,746"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,473
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,107
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,188
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000041381,71
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000041381,277
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000041381,103
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000041381,935
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000041381,65
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Corporate Services Strategy and Performance,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,90
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Corporate Services Strategy and Performance,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,122
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Corporate Services Director General,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,175
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,65
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,195
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,629
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,416
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,199
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,65
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,90
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,211
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,71
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Resources Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,102
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,186
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,93
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Analysis and Research,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,351
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Resources Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,780
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Standards Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,107
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Standards Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,69
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Resources Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,920
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,142
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CONFERENCES AND MEETINGS,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,"1,095"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CONFERENCES AND MEETINGS,Education Strategy and Improvement Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,"14,974"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,School Standards Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,367
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Young People Analysis Division,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,75
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,146
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,176
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,66
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,93
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,464
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Young People Workforce Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,948
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,272
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Private Office,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,244
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Private Office,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,337
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Internal Audit,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,"1,404"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,178
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,206
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,96
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000041381,213
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CURRENT GRANTS,Academies Delivery Group,MARINE ACADEMY PLYMOUTH,4000041393,"219,664"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,MOUCHEL MANAGEMENT CONSULTING LTD,4000041395,"38,061"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,SALFORD CITY COUNCIL,4000041402,"224,760"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,PROFESSIONAL FEES,Academies Delivery Group,VEREDUS C/O CAPITA RESOURCING LTD,4000041407,"145,004"
Department for Education,DEPARTMENT FOR EDUCATION,03/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,YORK CITY COUNCIL,4000041409,"159,691"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,NATIONAL FAMILY & PARENTING INSTITUTE,1000296,"2,130,913"
Department for Education,TEACHERS PENSION SCHEME,06/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000402,"108,336"
Department for Education,TEACHERS PENSION SCHEME,06/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000403,"41,545,359"
Department for Education,TEACHERS PENSION SCHEME,06/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000405,"15,445,382"
Department for Education,TEACHERS PENSION SCHEME,06/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000407,"18,579,789"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,GRANT IN AID,Children Young People and Families Group,CAFCASS,2000269,"11,048,071"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,GRANT IN AID,Young People Workforce Group,NATIONAL COLLEGE OF SCHOOL LEADERSHIP,2000270,"7,000,000"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,GRANT IN AID,Young People Workforce Group,TRAINING & DEVELOPMENT AGENCY FOR SCHOOLS TDA,2000271,"66,444,774"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,GRANT IN AID,Post 16 YPLA Resources Group,YOUNG PEOPLES LEARNING AGENCY,2000272,"755,208,000"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,CURRENT GRANTS,Academies Policy and Schools Organisation Group,BOARDING SCHOOLS ASSOCIATION,4000041428,"64,400"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families,CARLSON WAGONLIT TRAVEL,4000041429,"1,453"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children and Families Directorate Support,CARLSON WAGONLIT TRAVEL,4000041429,35
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Group,CARLSON WAGONLIT TRAVEL,4000041429,140
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Group,CARLSON WAGONLIT TRAVEL,4000041429,846
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000041429,"1,285"
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000041429,682
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000041429,93
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000041429,582
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000041429,83
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000041429,32
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000041429,740
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000041429,215
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,PROFESSIONAL FEES,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000041429,154
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000041429,297
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000041429,95
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000041429,156
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000041429,258
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Improving Information Sharing and Management Group,CARLSON WAGONLIT TRAVEL,4000041429,281
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2010,STAFF EXPENSES / COSTS,Children Young People and Families Improving Information Sharing and Management Group,CARLSON WAGONLIT TRAVEL,4000041429,24
