Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,Line Description
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£34.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£62.89,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£34.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£62.89,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£34.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£62.89,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,CXO: admin,American Express,62245,£308.98,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,CXO: admin,American Express,62245,£124.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,CXO: admin,American Express,62245,£70.50,Business Travel
ECGD,ECGD,11-Nov-11,BSIC Projects,BSIC Projects,Logica UK Limited,62253,"£21,709.00",Support for the implementation of a new data warehouse
ECGD,ECGD,11-Nov-11,Fixed IT charges,(DAB) FG ID: Admin Costs,Logica UK Limited,62255,"£91,160.00",Operation and Maintenance of ECGD's IT Infrastucture
ECGD,ECGD,28-Nov-11,"Rent, Build, Fuel & Utilities London",(DAB) Others HRD PP: Admin Costs,Cushman & Wakefield,62352,"£22,773.75",Building Insurance
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Glossary of Terms can be found at : ,,,,,,,,
,http://www.ecgd.gov.uk/assets/bispartners/ecgd/files/publications/operational-data/spend-data/25k-transparency-reporting-glossary.pdf,,,,,,,
