Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,476.23
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,70.67
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,385.38
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,455.75
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,385.38
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,198.24
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1851.48
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,785.12
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,555.29
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,102.84
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1015.04
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,434.59
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1090.63
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Professional Services Consultancy,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",4000075972,35.62
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,326.48
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,249.03
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,823.33
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,-166.68
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,102.84
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Operational Goods and Services,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE STATIONERY OFFICE LTD,Commercial,Costs related to the provision of books and publications including journals,4000073787,20
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,176.93
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,326.48
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,-182.96
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,Current Grants,Supporting Children and Young People Group 2,KINGSTON UPON HULL COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075198,-14466
Department for Education,DEPARTMENT FOR EDUCATION,02/03/2012,Current Grants to Arms Length Bodies,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000550,416307.61
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Current Grants to Arms Length Bodies,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000575,95134.19
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000074430,8.28
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000074430,207
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KINGSTON UPON HULL COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075198,-34006
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KINGSTON UPON HULL COUNCIL,Public Sector,Capital grants paid to Local Authorities,4000075198,38667
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,ATLANTIC DATA LTD,Commercial,Costs related to staff expenses including membership fees to professional bodies and CRB checks,4000075308,30743.97
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CAPITA EDUCATION RESOURCING,Commercial,Costs related to staff expenses including membership fees to professional bodies and CRB checks,4000074287,155576.6
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,CRIMINAL RECORDS BUREAU,Public Sector,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074388,183040
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2012,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE MEDIA GROUP TMG TV LTD,Commercial,Costs related to staff expenses including membership fees to professional bodies and CRB checks,4000074226,200405.2
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,CONTACT A FAMILY,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075975,89860.4
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE FAMILY FUND TRUST,VCS,Current grant to third sector organisation / not for profit organisation,4000073253,2410000
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,MOTT MACDONALD LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000073890,48333.68
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,NDTI,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000073892,51627.67
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRITISH DYSLEXIA ASSOCIATION,VCS,Current grant to third sector organisation / not for profit organisation,1000566,284072.8
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DYSLEXIA ACTION,VCS,Current grant to third sector organisation / not for profit organisation,1000560,194089.89
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KENT COUNTY COUNCIL,Public Sector,Current grant to third sector organisation / not for profit organisation,1000580,70325
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL DEAF CHILDRENS SOCIETY,VCS,Current grant to third sector organisation / not for profit organisation,4000075661,108168.99
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SCOPE,VCS,Current grant to third sector organisation / not for profit organisation,4000075679,34020
Department for Education,DEPARTMENT FOR EDUCATION,27/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SHARED CARE NETWORK,VCS,Current grant to third sector organisation / not for profit organisation,1000569,39518.25
Department for Education,DEPARTMENT FOR EDUCATION,27/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE ACE CENTRE NORTH,VCS,Current grant to third sector organisation / not for profit organisation,1000570,47414.12
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE NATIONAL AUTISTIC SOCIETY VCS,VCS,Current grant to third sector organisation / not for profit organisation,4000074132,31866
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,PRICE WATERHOUSE COOPERS LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000073907,582714
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,SQW LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,1000583,67653.6
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000074430,5669.69
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000074430,46.62
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000074430,6145.72
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CONTACT A FAMILY,VCS,Current grant to third sector organisation / not for profit organisation,4000074523,2500
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,COUNCIL FOR DISABLED,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075075,61965
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,SERCO LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075225,80510.4
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,YOUNG MINDS,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000073802,74810.3
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,YOUNG MINDS,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075702,74810.3
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,DfE Programme Costs,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075310,87627.44
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000074430,319.54
Department for Education,DEPARTMENT FOR EDUCATION,20/03/2012,Professional Services Other,Families Group,LOUGHBOROUGH UNIVERSITY,Public Sector,Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,4000074678,45229
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,VCS,Current grant to third sector organisation / not for profit organisation,4000075073,37000
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000074430,294
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,VCS,Current grant to third sector organisation / not for profit organisation,4000075454,96039.76
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Current Grants,Families Group,LONDON BOROUGH OF CAMDEN,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000073990,54500
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,Current Grants,Families Group,DERBY CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075186,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Current Grants,Families Group,LONDON BOROUGH OF HILLINGDON,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000073726,72936
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Current Grants,Families Group,TRAFFORD METROPOLITAN BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074136,57500
