Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SURREY COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075042,1960622
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SWINDON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075043,516959
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,TAMESIDE MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075044,658247
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,TELFORD & WREKIN COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075045,470782
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,THE LONDON BOROUGH OF HACKNEY,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075046,1036698
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075047,329392
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075048,327451
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,THURROCK COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075049,474021
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,TORBAY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075050,321139
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,TRAFFORD MB COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075051,638128
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WAKEFIELD MDC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075052,1106672
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WALSALL MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075053,1030636
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WARRINGTON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075054,504711
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WARWICKSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075055,1249590
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WEST BERKSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075056,396149
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WEST SUSSEX COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075057,1515750
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WIGAN MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075058,914631
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WILTSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075059,1088061
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WOKINGHAM BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075060,337725
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WOLVERHAMPTON CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075061,1004948
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,WORCESTERSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075062,1262555
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,YORK CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075063,371564
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BARNSLEY MBC,Public Sector,Dedicated Schools Grant,4000074761,6087640
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BATH & NORTH EAST SOMERSET COUNCIL,Public Sector,Dedicated Schools Grant,4000074762,3567280
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BEDFORD BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000074763,3672360
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BIRMINGHAM CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000074764,35959960
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000074765,5031400
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BLACKPOOL BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000074766,3990960
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BOLTON MBC,Public Sector,Dedicated Schools Grant,4000074767,8121520
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BOURNEMOUTH BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000074768,3232760
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BRACKNELL FOREST BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000074769,2912920
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BRIGHTON & HOVE CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000074770,5934200
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BRISTOL CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000074771,9344480
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BUCKINGHAMSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074772,11283600
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BURY MBC,Public Sector,Dedicated Schools Grant,4000074773,5285160
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CALDERDALE MBC,Public Sector,Dedicated Schools Grant,4000074774,5416240
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CAMBRIDGESHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074775,11506920
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CENTRAL BEDFORDSHIRE COUNCIL,Public Sector,Dedicated Schools Grant,4000074776,4579360
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CHESHIRE EAST COUNCIL,Public Sector,Dedicated Schools Grant,4000074777,8392120
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CHESHIRE WEST & CHESTER COUNCIL,Public Sector,Dedicated Schools Grant,4000074778,8162320
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,Public Sector,Dedicated Schools Grant,4000074779,17290640
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CITY OF LONDON,Public Sector,Dedicated Schools Grant,4000074780,95640
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CITY OF WESTMINSTER,Public Sector,Dedicated Schools Grant,4000074781,4384720
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CORNWALL COUNCIL,Public Sector,Dedicated Schools Grant,4000074782,9895200
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,COUNCIL OF THE ISLES OF SCILLY,Public Sector,Dedicated Schools Grant,4000074783,120364
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,COVENTRY CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000074784,8624920
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CUMBRIA COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074785,10671680
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DARLINGTON BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000074786,2112880
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DERBY CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000074787,6388880
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DERBYSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074788,17534520
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DEVON COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074789,13710240
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DONCASTER MBC,Public Sector,Dedicated Schools Grant,4000074790,6814440
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DORSET COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074791,9226200
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DUDLEY MBC,Public Sector,Dedicated Schools Grant,4000074792,8662120
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DURHAM COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074793,12241160
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,EAST RIDING OF YORKSHIRE,Public Sector,Dedicated Schools Grant,4000074794,7545480
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,EAST SUSSEX COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000074795,12298080
