Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,Corporate,11-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025620165,"Ł1,157,858",Information & Communications Technology,Systems Delivery,Desktop / Local Area Network
Department for Work and Pensions,Corporate,07-Jun-12,BANKING AND ENCASHMENT COSTS,F&C,HSBC BANK PLC,2025610732,"Ł1,061,854",Encashment & Banking,Bank Charges,Other Banking Costs
Department for Work and Pensions,Corporate,21-Jun-12,OTHER GOODS AND SERVICES,COO,VALUATION OFFICE AGENCY,2003283,"Ł1,058,333",Estates,Estates Management,Valuations Office
Department for Work and Pensions,Corporate,01-Jun-12,COMPUTER SERVICES,COO,XEROX UK LTD 3W,2025548059,"Ł1,045,475",Information & Communications Technology,Systems Delivery,Desktop / Local Area Network
Department for Work and Pensions,Corporate,28-Jun-12,TELEPHONE AND POSTAGE,COO,ROYAL MAIL GROUP PLC,2025852501,"Ł1,031,987",Document Management,Post & Courier,Domestic Mail Services
Department for Work and Pensions,Corporate,07-Jun-12,Consultancy Fee,COO,HM REVENUE & CUSTOMS,2025610722,"Ł1,004,316",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,BIRMINGHAM CITY COUNCIL,2025692043,"Ł998,076",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,08-Jun-12,APPS DEV,COO,HP ENTERPRISE SERVICES UK LTD,2025615786,"Ł981,764",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,11-Jun-12,COMPUTER SERVICES,COO,ACCENTURE UK LTD,2025618467,"Ł981,471",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,29-Jun-12,TRADE DEBTORS,Excluded,TELEREAL TRILLIUM,2025857001,"Ł968,682",Estates,PRIME,PRIME Accounts Payable / Receivable Recovery
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,CIT,IBM UNITED KINGDOM LTD,2025694237,"Ł963,793",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,12-Jun-12,APPS DEV,COO,HP ENTERPRISE SERVICES UK LTD,2025624506,"Ł941,042",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,13-Jun-12,CONTRACTED OUT SERVICES,COO,XEROX UK LTD 3W,2025682858,"Ł919,976",Print & Associated Services,Print,Management Fees
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,BT GLOBAL SERVICES,2025692685,"Ł883,858",Information & Communications Technology,Networks,Running Costs
Department for Work and Pensions,Corporate,15-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025695554,"Ł767,738",Estates,PRIME,PRIME Variable Charge
Department for Work and Pensions,Corporate,28-Jun-12,Accommodation Costs,COO,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,1005296,"Ł728,878",Estates,Non-PRIME,Non PRIME Utilities
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,CITY OF GLASGOW,2025692091,"Ł713,066",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł707,131",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Corporate,26-Jun-12,OTHER MAJOR CONTRACTS,COO,SANTANDER,1005291,"Ł687,704",Encashment & Banking,Bank Charges,Encashment of Cheques
Department for Work and Pensions,Corporate,11-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025620165,"Ł674,781",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025694207,"Ł660,752",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,12-Jun-12,OTHER EXPENDITURE,COO,SPECIALIST COMPUTER CENTRES PLC,2025626383,"Ł634,225",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Employment Programmes,29-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,SHAW TRUST,2025856943,"Ł630,922",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Corporate,18-Jun-12,COMPUTER SERVICES,COO,BT GLOBAL SERVICES,2025697149,"Ł614,155",Information & Communications Technology,Networks,Running Costs
Department for Work and Pensions,Corporate,22-Jun-12,COMPUTER SERVICES,COO,ATOS ORIGIN IT SERVICES UK LTD,2025772996,"Ł583,384",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LIVERPOOL CITY COUNCIL,2025692192,"Ł564,545",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł546,727",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Corporate,07-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025610730,"Ł542,601",Information & Communications Technology,Systems Delivery,Desktop / Local Area Network
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,BT GLOBAL SERVICES,2025692685,"Ł538,065",Information & Communications Technology,Networks,Running Costs
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LEEDS CITY COUNCIL,2025692187,"Ł535,800",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł524,559",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025624506,"Ł516,033",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,MANCHESTER CITY COUNCIL,2025692225,"Ł507,919",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,IBM UNITED KINGDOM LTD,2025624548,"Ł504,407",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,13-Jun-12,AOS CONTRACTED OUT SERVICES,COO,CAPITA CUSTOMER MANAGEMENT LTD,2025637097,"Ł494,021",Business & Financial Services,Call Centre Services,Call Centres
Department for Work and Pensions,Corporate,12-Jun-12,ACCOMMODATION,COO,DEPARTMENT OF HEALTH,5029075,"Ł432,092",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,14-Jun-12,AOS CONTRACTED OUT SERVICES,My Civil Seevice Pension,CAPITA BUSINESS SERVICES LTD,2025686288,"Ł419,250",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,BRADFORD METROPOLITAN BOROUGH COUNCIL,2025692056,"Ł417,430",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,26-Jun-12,COMPUTER SERVICES,COO,ATOS ORIGIN IT SERVICES UK LTD,2025782459,"Ł416,117",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,22-Jun-12,COMPUTER SERVICES,COO,ATOS ORIGIN IT SERVICES UK LTD,2025772996,"Ł405,658",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,DURHAM COUNCIL,2025692120,"Ł403,465",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,18-Jun-12,CONTRACTED OUT SERVICES,COO,CAPITA BUSINESS SERVICES LTD,2025697322,"Ł397,573",Record Storage,Record Storage,Record Storage
Department for Work and Pensions,Corporate,13-Jun-12,IS/IT,CIT,SPECIALIST COMPUTER CENTRES PLC,2025679164,"Ł391,248",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857001,"Ł390,342",Estates,PRIME,PRIME Business Rates
Department for Work and Pensions,Employment Programmes,13-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,A4E LTD,2025631918,"Ł388,862",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF TOWER HAMLETS,2025692218,"Ł387,971",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,20-Jun-12,HOSTING,COO,HP ENTERPRISE SERVICES UK LTD,2025729755,"Ł377,955",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,ACCENTURE UK LTD,2025623383,"Ł374,373",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,SHEFFIELD CITY COUNCIL,2025692309,"Ł372,954",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF LAMBETH,2025692210,"Ł369,806",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF LEWISHAM,2025692211,"Ł365,854",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Employment Programmes,29-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,SHAW TRUST,2025856943,"Ł365,364",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,HACKNEY LBC,2025692159,"Ł364,264",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,25-Jun-12,Accommodation Costs,COO,HMRC,2025779839,"Ł362,845",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,CORNWALL COUNCIL,2025692100,"Ł354,246",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857002,"Ł353,532",Estates,PRIME,PRIME Utilities
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,BRISTOL CITY COUNCIL,2025692062,"Ł353,494",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF SOUTHWARK,2025692216,"Ł352,875",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,ACCENTURE UK LTD,2025623383,"Ł352,656",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,ACCENTURE UK LTD,2025623383,"Ł348,839",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,22-Jun-12,MEDICAL SERVICES,COO,ATOS HEALTHCARE,2025772995,"Ł348,431",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025694207,"Ł337,833",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,22-Jun-12,Accommodation Costs,COO,HMRC,2025775720,"Ł333,910",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,Corporate,18-Jun-12,HOSTING,COO,HP ENTERPRISE SERVICES UK LTD,2025699333,"Ł333,168",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,18-Jun-12,CONTRACTED OUT SERVICES,COO,CAPITA BUSINESS SERVICES LTD,2025697322,"Ł329,871",Record Storage,Record Storage,Record Storage
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,EDINBURGH DISTRICT COUNCIL,2025692137,"Ł326,872",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,13-Jun-12,COMPUTER SERVICES,COO,SPECIALIST COMPUTER CENTRES PLC,2025679164,"Ł317,962",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF NEWHAM,2025692213,"Ł307,497",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł306,273",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF BRENT,2025692196,"Ł304,136",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,CROYDON PEO%,2025692107,"Ł294,989",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Employment Programmes,29-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,WORKING LINKS,2025857068,"Ł291,249",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,SANDWELL BOROUGH COUNCIL,2025692301,"Ł289,864",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,CIT,ACCENTURE UK LTD,2025692593,"Ł288,206",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF ENFIELD,2025692200,"Ł287,280",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł285,150",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857001,"Ł280,636",Estates,PRIME,PRIME Business Rates
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,KIRKLEES METROPOLITAN BOROUGH COUNCIL,2025692184,"Ł280,071",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF HARINGEY,2025692203,"Ł278,903",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857001,"Ł277,804",Estates,PRIME,PRIME Business Rates
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF ISLINGTON,2025692208,"Ł276,636",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF EALING,2025692199,"Ł274,156",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,NOTTINGHAM CITY COUNCIL,2025692263,"Ł272,395",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LEICESTER CITY COUNCIL,2025692188,"Ł267,299",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,11-Jun-12,AOS CONTRACTED OUT SERVICES,COO,BALFOUR BEATTY WORKPLACE LTD,2025618546,"Ł264,442",Office Services,Office Services,Office Services
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,SUNDERLAND CITY COUNCIL,2025692349,"Ł263,528",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Employment Programmes,29-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2025856939,"Ł262,824",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,COVENTRY CITY COUNCIL,2025692104,"Ł262,571",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,WALSALL BOROUGH COUNCIL,2025692376,"Ł260,889",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,NORTH LANARKSHIRE COUNCIL,2025692253,"Ł260,527",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF GREENWICH,2025692201,"Ł260,388",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Employment Programmes,29-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,THE PLUSS ORGANISATION,2025857007,"Ł258,611",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,29-Jun-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,SHAW TRUST,2025856943,"Ł258,268",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,2025692375,"Ł256,594",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,WIRRAL BOROUGH COUNCIL,2025692400,"Ł255,116",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,LONDON BOROUGH OF WANDSWORTH,2025692220,"Ł254,126",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025624506,"Ł253,660",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,27-Jun-12,IS/IT,COO,SPECIALIST COMPUTER CENTRES PLC,2025844901,"Ł250,844",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,SHARED SERVICES,18-Jun-12,COMPUTER SERVICES,COO,FUJITSU SERVICES LTD,2025699170,"Ł250,553",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,BRIGHTON & HOVE COUNCIL,2025692061,"Ł249,874",Non Commercial Costs,Local Authority,Housing Benefit Administration
Department for Work and Pensions,Housing Benefits,14-Jun-12,Housing Benefit Admin,COO,CARDIFF CITY COUNCIL,2025692074,"Ł249,187",Non Commercial Costs,Local Authority,Housing Benefit Administration
