Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,HM Treasury,03-Apr-2012,CORPORATE CENTRE ,Solutions Delivery,FUJITSU SERVICES LIMITED,97992,SUPPORT ACCESS REQUIREMENTS FOR COINS,"37,570.20"
HM Treasury,HM Treasury,16-Apr-2012,CORPORATE CENTRE ,FLEX Services,FUJITSU SERVICES LIMITED,98177,FLEX RESTRICTED SERVICE - NOVEMBER 2011 ,"649,221.44"
HM Treasury,HM Treasury,30-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),FUJITSU SERVICES LIMITED,98429,FAST FORWARD - STORAGE UPGRADE FOR RESTRICTED FLEX SYSTERM,"44,076.00"
HM Treasury,HM Treasury,23-Apr-2012,CORPORATE CENTRE ,Estates,GOVERNMENT PROCUREMENT SERVICE,98307,WHITEHALL HEATING SYSTEM CHARGES - JANUARY 2012 TO MARCH 2012,"73,472.14"
HM Treasury,HM Treasury,16-Apr-2012,CORPORATE CENTRE ,EDRMS Upgrade Project,MAGNETIC IT LTD,98216,DOCUMENT AND RECORDS SOLUTION PROJECT MANAGER COST FOR DECEMBER 2011 TO FEBRUARY 2012 ,"33,926.40"
HM Treasury,HM Treasury,23-Apr-2012,CORPORATE CENTRE ,Hmt Suspense,NATWEST BANK PLC ,98318,PURCHASING CARD STATEMENT - APRIL 2012,"80,685.22"
HM Treasury,HM Treasury,30-Apr-2012,CORPORATE CENTRE ,IS Retained Services,ORACLE,98423,MAINTENANCE AND SUPPORT FOR THE ORACLE SYSTEM - 6 APRIL 2012 TO 5 APRIL 2013 ,"146,334.10"
HM Treasury,HM Treasury,23-Apr-2012,CORPORATE CENTRE ,Hmt Suspense,RBS LODGE ,98317,LODGE STATEMENT - APRIL 2012,"76,873.59"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,Hmt Suspense,ROYAL MINT,98023,CIRCULATING COIN METAL COSTS (AME) FOR MARCH 2012 ,"1,458,247.57"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,Hmt Suspense,ROYAL MINT,98023,CIRCULATING COIN MANUFACTURE COSTS (DEL) FOR MARCH 2012 ,"1,563,713.74"
HM Treasury,HM Treasury,16-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),SENATOR INTERNATIONAL LTD,98164,WORKSPACE OPTIMISATION PROJECT,"44,856.00"
HM Treasury,HM Treasury,20-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),SENATOR INTERNATIONAL LTD,98276,WORKSPACE OPTIMISATION PROJECT,"48,996.00"
HM Treasury,HM Treasury,03-Apr-2012,CORPORATE CENTRE ,IS Retained Services,TRUSTMARQUE SOLUTIONS,97989,RENEWAL AND MAINTENANCE SUPPORT FOR MINCOM/PQ MAIL APPLICATION- 1 APRIL 2012 TO 31 MARCH 2013 ,"28,129.82"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,IS Retained Services,TRUSTMARQUE SOLUTIONS,98227,SQL SOFTWARE LICENSING FEE - 1 APRIL 2012 TO 31 MARCH 2013 ,"79,742.34"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,IS Retained Services,TRUSTMARQUE SOLUTIONS,98225,MICROSOFT ENTERPRISE LICENCE AGREEMENT FOR HM TREASURY AND CABINET OFFICE - APRIL 2011 TO 31 MARCH 2013,"327,303.42"
HM Treasury,HM Treasury,02-Apr-2012,CORPORATE CENTRE ,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,98124,UKFI MANAGEMENT FEE - APRIL 2012,"360,000.00"
HM Treasury,DMO,16-Apr-2012,DEBT MANAGEMENT OFFICE ,Rmu,ALLEN & OVERY,98213,LEGAL SERVICES ,"185,375.04"
HM Treasury,DMO,05-Apr-2012,DEBT MANAGEMENT OFFICE ,Settlements,BANK OF ENGLAND,98035,BANK CHARGES - FEBRUARY 2012,"117,029.85"
HM Treasury,DMO,25-Apr-2012,DEBT MANAGEMENT OFFICE ,Settlements,BANK OF ENGLAND,98370,BANK CHARGES -  MARCH 2012,"133,843.00"
HM Treasury,DMO,05-Apr-2012,DEBT MANAGEMENT OFFICE ,Settlements,BANK OF ENGLAND,98036,BANK CHARGES -  JANUARY 2012,"151,042.80"
HM Treasury,DMO,27-Apr-2012,DEBT MANAGEMENT OFFICE ,Consolidated Projects,COMPUTACENTER (UK) LTD,97522,IT SOFTWARE LICENCES,"68,273.96"
HM Treasury,DMO,16-Apr-2012,DEBT MANAGEMENT OFFICE ,Dealers,COMPUTERSHARE SERVICES PLC,98199,TRANSACTION CHARGES - MARCH 2012,"26,790.75"
HM Treasury,DMO,05-Apr-2012,DEBT MANAGEMENT OFFICE ,Rmu,LONDON STOCK EXCHANGE,98038,LISTING FEES FOR UK GOVERNMENT BONDS,"150,000.00"
HM Treasury,DMO,30-Apr-2012,DEBT MANAGEMENT OFFICE ,DMO Finance,REED SPECIALIST RECRUITMENT LTD,98445,SPECIALIST CONTRACTOR SERVICES,"25,567.20"
HM Treasury,DMO,27-Apr-2012,DEBT MANAGEMENT OFFICE ,Business Delivery,REUTERS LIMITED,98366,MARKET DATA SYSTEMS AND SERVICES - 1 APRIL 2012 TO 30 JUNE 2012,"98,441.53"
HM Treasury,HM Treasury,27-Apr-2012,ECONOMICS,Economics,REUTERS LIMITED,98332,THOMSON REUTERS DATA STREAM LICENCE SUBSCRIPTION - 1 APRIL 2012 TO 30 JUNE 2012,"13,834.80"
HM Treasury,HM Treasury,03-Apr-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),ERNST & YOUNG LLP,97949,PROFESSIONAL SERVICES WORKPACKAGE FOR PROJECT OSCAR - NOVEMBER 2011 TO MARCH 2012,"178,819.20"
HM Treasury,HM Treasury,03-Apr-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),ERNST & YOUNG LLP,97949,PROFESSIONAL SERVICES WORKPACKAGE FOR PROJECT OSCAR - NOVEMBER 2011 TO MARCH 2012,"334,022.40"
HM Treasury,HM Treasury,18-Apr-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,98116,PROJECT OSCAR PAYMENT MILESTONE 5 - DELIVERED IN MARCH 2012,"99,429.52"
HM Treasury,HM Treasury,05-Apr-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,98010,PROJECT OSCAR PAYMENT MILESTONE 9 - DELIVERED IN MARCH 2012,"187,585.74"
HM Treasury,HM Treasury,18-Apr-2012,FISCAL,Fiscal,ROYAL MINT,98115,UK COINAGE COST FOR THE DELIVERY AND INTRODUCTION OF THE NEW NICKEL PLATED STEEL 5P AND 10P COINS,"65,290.51"
HM Treasury,HM Treasury,27-Apr-2012,INTERNATIONAL & EU,International & EU,REUTERS LIMITED,98332,THOMSON REUTERS DATA STREAM LICENCE SUBSCRIPTION FOR THE PERIOD 1 APRIL 2012 TO 30 JUNE 2012,"13,834.80"
HM Treasury,HM Treasury,05-Apr-2012,TREASURY LEGAL ADVISORS,Legal Team,THE TREASURY SOLICITOR,98018,CHARGES FOR ADVISORY LAWYERS - MARCH 2012,"333,900.37"
