Department,Entity,Date,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,DEFRA,20/05/2015,Ashurst LLP,388671,"271,124.33",Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 28 March-24 April 2015,EC2A 2HA,,,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,Ashurst LLP,386250,"176,069.06",Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 28 February-27 March 2015,EC2A 2HA,,20238,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,Atos IT Services UK Ltd,5584183608,"73,495.67",Enhanced onboarding to Cloud platform - February 2015,WV10 6UH,,cap124,CAPDFA08,Expense,,
DEFRA,DEFRA,08/05/2015,Basingstoke & Deane Borough Council,RE152301,"25,000.00",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,RG21 7EA,,Grant,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,Blackburn With Darwen Borough Cncl,F71Y200HH026,"81,169.00",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,BB1 7DY,,,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,British Geological Survey,NERC15127,"247,311.60",Annual Network Licence for British Geological Survey data - 2015-16,NG12 5GG,,,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Broadstock Office Furniture Ltd,OPI100757,"97,907.58","National Agri-Food Innovation Centre, Sand Hutton, Atrium refurbishment - ground floor works",SK11 0TA,SME,RM1501,B281P014,Asset,,
DEFRA,DEFRA,18/05/2015,C E F A S,300415,"42,442.19",Darwin Initiative Grant Scheme - British Virgin Islands Hydrographic survey capacity building - 2014-15 Quarter 4,NR33 0HT,SME,20598/DFP/GRANT,DARWPLUS,Expense,,
DEFRA,DEFRA,27/05/2015,Cabinet Office,250011214,"255,136.75",Pension Administration charge - 2014-15,CF14 3UW,,ecm_798  17397,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,Canterbury City Council,0002067589,"74,150.29",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4B,CT1 1YW,,Grant,00000000,Expense,,
DEFRA,DEFRA,07/05/2015,Capita Business Services Ltd,LO10042185,"63,596.46",Various interim staff engaged across Defra - week ending 25 April 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,14/05/2015,Capita Business Services Ltd,LO10042836,"66,191.08",Various interim staff engaged across Defra - week ending 02 February 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,29/05/2015,Capita Business Services Ltd,LO10045151,"45,542.92",Various interim staff engaged across Defra - week ending 16 May 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,22/05/2015,Capita Business Services Ltd,LO10044558,"69,940.16",Various interim staff engaged across Defra - week ending 09 May 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,05/05/2015,Capita Business Services Ltd,LO10040919,"63,807.16",Various interim staff engaged across Defra - week ending 18 April 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,05/05/2015,Capita Property & Infrastructure Ltd,CAPFR074,"686,474.32","Payment of rent, rates and service charges for various properties within the Defra Network - July 2013-January 2016",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,Capita Property & Infrastructure Ltd,CAPFR077,"145,489.71","Payment of rent, rates and service charges for various properties within the Defra Network - September 2012-March 2016",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Capita Property & Infrastructure Ltd,CAPFR078,"1,222,250.51","Payment of rent, rates and service charges for various properties within the Defra Network - January 2010-June 2015",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,Centre For Ecology & Hydrology,7060007815,"28,029.00",Scoping the extent to which Earth Observation data can cost-effectively provide agricultural activity information - 2014-15,SN2 1EU,SME,SCF0103,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Centre For Ecology & Hydrology,7060008079,"32,182.71",Provision of Evidence to Accompany the UK and England Species Trend Indicators and an Overview of the Causes of Biodiversity Change - January 2015,SN2 1EU,SME,BE0112,BIODECOS,Expense,,
DEFRA,DEFRA,20/05/2015,Chichester District Council,100050913,"88,068.50",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,PO19 1TY,,GRANT,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,Cl:aire,335,"40,000.00",Establishment of typical background levels of dispersed asbestos fibres in urban and rural soils in England and Wales - 2014-15 Milestone 2,WC1B 3QJ,SME,SP1014,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Cornwall AONB Unit,140515,"82,709.80",Grant - Cornwall Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,TR1 3AY,,,CORNWALL,Expense,,
DEFRA,DEFRA,05/05/2015,Cornwall Council,98164405,"50,000.00",Grant - Food Enterprise Zone - 2015-16,TR1 3AY,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Corona Energy,10037759,"50,992.80","Gas bill - various meters Animal and Plant Health Agency, Weybridge - March 2015",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,05/05/2015,Corona Energy,10037610,"36,648.14","Gas bill - various meters Animal and Plant Health Agency, Weybridge - March 2015",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,05/05/2015,Corona Energy,10068868,"53,118.23","Gas bill - various meters Animal and Plant Health Agency, Weybridge - March 2015",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,05/05/2015,Corona Energy,10037800,"117,103.79","Gas bill - Food and Environment Research Agency, Sand Hutton, York - March 2015",WD17 1JW,,,B2810000,Expense,,
DEFRA,DEFRA,20/05/2015,Cotswold District Council,40690702,"29,699.05",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,GL7 1PX,SME,GRANT,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,Cranfield University,1429142,"44,833.00",FarmFUSE: Fusion of multi-source and multi-sensor information on soils and crops for optimised crop production system - 2014-15,MK45 4DT,,exempt,SFFS0006,Expense,,
DEFRA,DEFRA,08/05/2015,Cranfield University,1429139,"88,376.00","Research: ""How does a loss of soil depth impact on the ability of soils to deliver vital ecosystem services"" - 2014-15",MK43 0AL,,SP1317,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,Deloitte & Touche,2410088952,"98,396.40",Secondment for specialist support with business analysis and implementation planning to the Common Agricultural Policy Delivery - charges for three members of staff - March 2015,MK9 1FD,,,CAPDFA03,Asset,,
DEFRA,DEFRA,22/05/2015,Deloitte & Touche,2410090038,"89,911.20",Secondment for specialist support with business analysis and implementation planning to the Common Agricultural Policy Delivery - charges for three members of staff - April 2015,MK9 1FD,,,CAPDFA03,Asset,,
DEFRA,DEFRA,18/05/2015,Department Of Energy and Climate Change,1100025776,"121,278.25",England additional contribution towards the costs of the UK Adaptation Sub Committee - Final payment 2014-15,SW1A 2HD,SME,IGS,ADAPTASC,Expense,,
DEFRA,DEFRA,05/05/2015,Dept For Communities & Local Gov,300415,"250,000.00",London Support Grant Services - May 2015,HP2 4XN,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Dept For Communities & Local Gov,010515,"833,333.00",Local Services Support Grant (LSSG) - May 2015 ,HP2 4XN,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Devon County Council,53623672,"217,450.00",Grant - Flood Resilience Community Pathfinder Funding - 2014-15,EX2 4QJ,,,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Devon County Council,140515,"63,318.77",Grant - Blackdown Hills Area of Outstanding Natural Beauty (AONB) - 2014-15,EX2 4QJ,,,BLACKDWN,Expense,,
DEFRA,DEFRA,07/05/2015,DevOpsGuys Ltd,111,"34,800.00",Web Operations Resource Phase One Consultancy - one person - March 2015,BN11 1QR,SME,,CAPDTA00,Expense,,
DEFRA,DEFRA,22/05/2015,DevOpsGuys Ltd,128,"46,320.00",Web Operations Resource Phase One Consultancy - one person - April 2015,BN11 1QR,SME,,CAPDTA00,Expense,,
DEFRA,DEFRA,22/05/2015,DevOpsGuys Ltd,112,"49,200.00",Web Operations Resource Phase One Consultancy - one person - March 2015,BN11 1QR,SME,,CAPDTA00,Expense,,
DEFRA,DEFRA,22/05/2015,Durham County Council,190515,"76,007.50",Grant - North Pennines Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,DH1 5UE,SME,GIA,NPENNINE,Expense,,
DEFRA,DEFRA,29/05/2015,East Devon AONB,190515,"36,184.75",Grant - East Devon Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,EX10 8HL,,,EASTDEVN,Expense,,
DEFRA,DEFRA,29/05/2015,East Sussex County Council,180515,"63,897.00",Grant - High Weald Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,BN7 1UE,SME,,HIWEALD1,Expense,,
DEFRA,DEFRA,07/05/2015,Eden District Council,20548845,"50,000.00",Grant - Food Enterprise Zone - 2015-16,CA11 7YG,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Environment Agency,EAGIAAPRIL153,"14,000,000.00",Flood and non-flood grant in aid - April 2015,BS1 5AH,,G.I.A,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,Ernst & Young LLP,GB10700028949,"64,580.74",Financial Advice in relation to the Thames Tideway Tunnel - March 2015,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,Ernst & Young LLP,GB10700028964,"105,982.08",Financial Advice in relation to the Thames Tideway Tunnel - April 2015,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,Ernst & Young LLP,GB10300017777,"76,550.00",Common Agricultural Policy Delivery Programme Benefits Review - 26 January-20 February 2015,SE1 2AF,,,CAPDBCFM,Expense,,
DEFRA,DEFRA,05/05/2015,Fauna & Flora International,140415,"30,445.75",Darwin Initiative Grant Scheme – Community conserved areas in Uganda for biodiversity and livelihoods - 2015-16 Quarter 1 ,CB1 2JD,SME,GIA,DARWDFID,Expense,,
DEFRA,DEFRA,18/05/2015,Fera Science Limited,LTSA002,"556,836.75",Plant and Bee Health Services - April 2015,YO41 1LZ,,FUNDING,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Fera Science Limited,6138000136,"556,836.75",Plant and Bee Health Services - May 2015,YO41 1LZ,,FUNDING,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Fera Science Limited,6138000142,"317,900.00",Specialist Facilities Services - May 2015,YO41 1LZ,,,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,Fera Science Limited,LTSA001,"317,900.00",Specialist Facilities Services - April 2015,YO41 1LZ,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Food & Environment Research Agency,F0042074,"71,924.00",Remote Sensing of Agricultural Land Parcels - Identification of Crops Final Report - 2013-14,YO41 1LZ,,exempt,RDEVFUND,Expense,,
DEFRA,DEFRA,12/05/2015,Food & Environment Research Agency,F0042127,"55,000.00",Innovative Monitoring - Diatom based DNA Barcoding Method for Water Framework Direct Classification - 2014-15,YO41 1LZ,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Food & Environment Research Agency,F0042071,"80,000.00","National Agri-Food Innovation Centre, Sand Hutton - Changing the welcome Project Management and administration - 2014-15",YO41 1LZ,,,B281P014,Asset,,
DEFRA,DEFRA,12/05/2015,Food & Environment Research Agency,F0042151,"245,000.00",Provision of Information Technology services - 2014-15,YO41 1LZ,,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,Forest Of Dean District Council,20187785,"68,017.21",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,GL16 8HG,,GRANT,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Getmapping Plc,DEFRA014,"98,666.67",Aerial photography and height data - May 2015,RG27 8NW,SME,,AERPHOTO,Expense,,
DEFRA,DEFRA,12/05/2015,H M Revenue & Customs,18000003362015,"37,190.00",E-Recruitment Service Delivery - 2014-15 Quarter 4,BN12 4XH,,IGS,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Havant Borough Council,I0003684,"111,336.80",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,PO9 2AX,,Grant,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Health & Safety Commission & Executive,153302,"69,281.90",Provision of support for Statutory Inspections of Specified Animal Pathogens Order (SAPO) Laboratories - 2014-15 Quarters 3 and 4,L20 7HS,,17878,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Health & Safety Commission & Executive,154461,"28,975.92",Inspections of Genetically Modified Organisms (GMOs) in contained use and Genetically Modified vaccine release trials - 2014-15,L20 3LZ,,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Herefordshire Council,91089295,"48,564.26",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,HR1 2XW,,Grant,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Herefordshire Council,91092468,"27,767.00",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,HR1 2XW,,Grant,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Hitachi Consulting,2260006887,"124,377.36",Software for the Finance and Human Resources Implementation costs Year 2 Cycle 3 - additional resource,SE1 2AP,SME,,CAPDFA03,Asset,,
DEFRA,DEFRA,22/05/2015,Hitachi Consulting,2260007083,"32,852.32",Software for the Finance and Human Resources Implementation costs extension - Cycle Three Go Live,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,
DEFRA,DEFRA,27/05/2015,Hitachi Consulting,2260006749,"27,427.50",Software for the Finance and Human Resources Implementation costs - Infrastructure,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,
DEFRA,DEFRA,22/05/2015,Hitachi Consulting,2260007088,"29,797.92",Software for the Finance and Human Resources Implementation costs - Enhancement - March 2015,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,
DEFRA,DEFRA,27/05/2015,Hitachi Consulting,2260007082,"40,773.22",Software for the Finance and Human Resources Implementation costs - Operational,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,
DEFRA,DEFRA,27/05/2015,Hitachi Consulting,2260006775,"193,681.91",Software for the Finance and Human Resources Implementation costs - Cycle 3 completion,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,
DEFRA,DEFRA,22/05/2015,Hitachi Consulting,2260007152,"50,220.26",Provision of Third Tier Support and Maintenance - monthly managed service fixed fee - February 2015,SE1 2AP,SME,CAP 275,CAPDFA03,Expense,,
DEFRA,DEFRA,22/05/2015,Hitachi Consulting,2260007089,"56,648.44",Provision of Third Tier Support and Maintenance - monthly managed service fixed fee - March 2015,SE1 2AP,SME,CAP 275,CAPDFA03,Expense,,
DEFRA,DEFRA,18/05/2015,IBM United Kingdom Ltd,5804151756,"146,709.00","Resilience and Data migration, first phase - April 2015",GU1 2LD,SME,10040,P12ER020,Expense,,
DEFRA,DEFRA,22/05/2015,IBM United Kingdom Ltd,5804150517,"34,159.83",Personnel provided by IBM to assist in the scoping and development of technical requirements for new projects charged on a Time and Materials basis - 27 February-27 March 2015,GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,IBM United Kingdom Ltd,5805150220,"27,068.13",Microsoft Exchange 2003 Upgrade Project implementation - 27 February-27 March 2015,GU1 2LD,SME,10040,PTRS1000,Expense,,
DEFRA,DEFRA,05/05/2015,IBM United Kingdom Ltd,5804151207,"82,239.25",Geographical Information (GI) Data Services - February 2015,GU1 2LD,SME,10040,PTRS1300,Expense,,
DEFRA,DEFRA,07/05/2015,IBM United Kingdom Ltd,5804151209,"28,034.32",Technology Refresh - Advanced Interactive eXecutive (AIX) Upgrade - 27 February-27 March 2015,GU1 2LD,SME,,PTRS0900,Expense,,
DEFRA,DEFRA,07/05/2015,IBM United Kingdom Ltd,5804151210,"60,066.97",Technology Refresh - Advanced Interactive eXecutive (AIX) Upgrade extension - 27 February-27 March 2015,GU1 2LD,SME,,PTRS0900,Expense,,
DEFRA,DEFRA,12/05/2015,IBM United Kingdom Ltd,5803151724,"56,402.88",Connections Pathfinder for Network Corporate Services - March 2015,GU1 2LD,SME,10040,PITF0300,Expense,,
DEFRA,DEFRA,18/05/2015,IBM United Kingdom Ltd,5804151580,"84,890.51","Load of Real-Time Analytics Matching Platform (RAMP) data, application amendment, and reporting - April 2015",GU1 2LD,SME,10040,02DWDWIE,Expense,,
DEFRA,DEFRA,22/05/2015,IBM United Kingdom Ltd,5804150523,"27,713.14",IT Health Check Software Remediation - April 2015,GU1 2LD,SME,10040,PTRS1400,Expense,,
DEFRA,DEFRA,22/05/2015,IBM United Kingdom Ltd,5804150520,"96,238.55",UnITy programme - an IT programme which is intended to unify the Defra network - 27 February-27 March 2015,GU1 2LD,SME,10040,PITF0902,Expense,,
DEFRA,DEFRA,12/05/2015,IBM United Kingdom Ltd,5803151725,"83,843.15",UnITy programme - an IT programme which is intended to unify the Defra network - 30 January-20 February 2015,GU1 2LD,SME,10040,PITF0902,Expense,,
DEFRA,DEFRA,07/05/2015,IBM United Kingdom Ltd,5804151214,"29,937.64",Geographic Information Systems (GIS) Software Upgrade; Charged on a Time and Materials Basis - 27 February-27 March 2015,GU1 2LD,SME,10040,06199SPE,Expense,,
DEFRA,DEFRA,07/05/2015,IBM United Kingdom Ltd,5804151215,"61,300.04","SharePoint 2013 – development, build, test and deploy - April 2015",GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,IBM United Kingdom Ltd,5804150598,"46,460.88",Exchange Common Store Replacement - April 2015,GU1 2LD,SME,10040,PTRS1000,Expense,,
DEFRA,DEFRA,29/05/2015,IBM United Kingdom Ltd,5805150338,"5,698,372.23",IT Baseline Services - May 2015,GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Indigo Blue Consulting Ltd,1504364,"26,624.33",Agile Software Technical architect - April 2015,SW1Y 6JP,SME,CAP183,CAPDPROG,Asset,,
DEFRA,DEFRA,05/05/2015,Institute For European Environmental Policy,15053533,"30,000.00",Funding for Evidence base on the future of European Union environmental legislation for “Make it Work” project led by the Institute for European Environmental Policy (IEEP) final payment - March 2015,SW1V 1RB,SME,FUNDING,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,International Inst For Env & Dev,2404153102625,"31,026.25",Darwin Initiative Grant Scheme - Building capacity for pro-poor responses to wildlife crime in Uganda - 2015-16 Quarter 1,WC1X 8NH,SME,Grant/21063,IWTXXXXX,Expense,,
DEFRA,DEFRA,13/05/2015,International Snow Leopard Trust,110515,"29,952.50",Darwin Initiative Grant Scheme - International Snow Leopard Trust - 2015-16 Quarter 1,98103,SME,,IWTXXXXX,Expense,,
DEFRA,DEFRA,22/05/2015,International Whaling Commission,0000012358,"30,000.00",Contribution to Welfare Initiative and Small Cetaceans Fund - 2015,CB4 9NP,SME,22137/22138,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044461,"188,948.54",Lancaster House reception cover for overtime working - August 2013-March 2014,BS32 4NH,,10195L,B0870000,Expense,,
DEFRA,DEFRA,20/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044475,"352,264.82","Refurbishment of 3 Whitehall Place - decorations, room reconfiguration and mechanical, electrical and data works - April 2015",BS32 4NH,,10195L,B1910000,Expense,,
DEFRA,DEFRA,27/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044462,"61,417.15",Estates completed works projects over multiple sites - May 2015,BS32 4NH,,10195,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044472,"167,730.13",Weymouth Business Management System replacement - April 2015,BS32 4NH,,21534,B082P003,Asset,,
DEFRA,DEFRA,22/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044491,"32,969.39",Sand Hutton Central Battery Units - capital works programme - April 2015,BS32 4NH,,10195B,FMR1415A,Asset,,
DEFRA,DEFRA,22/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044476,"27,542.41",Rhydymwyn Buffer Depot - Asbestos Removal Phase 3 - April 2015,BS32 4NH,,10195L,FMR1415R,Asset,,
DEFRA,DEFRA,22/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044477,"25,617.67",Crewe Business Park - capital works - end of life replace controls and overhaul lift - April 2015,BS32 4NH,,10195B,FMR1415A,Asset,,
DEFRA,DEFRA,29/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044466,"73,919.54",Estates maintenance projects over multiple sites - April 2015,BS32 4NH,,10195L,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044463,"47,967.83",Kings Pool - Redirect phone lines to create more space for new tenants - April 2015,BS32 4NH,,10226,B0870000,Expense,,
DEFRA,DEFRA,22/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044478,"124,933.37",Priority Capital Works - Weybridge Turnaround Plan - April 2015,BS32 4NH,,10226,FMR1415R,Asset,,
DEFRA,DEFRA,14/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00043383,"29,874.67","Carlisle, Workington and Newcastle - Installation of data cabling and fibre optic cabling - March 2015",BS32 4NH,,10226,B5570000,Expense,,
DEFRA,DEFRA,22/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044213,"2,594,461.51",Core contract service charge - April 2015,BS32 4NH,,10226,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044214,"695,796.83",Repair and Replacement Fund - April 2015,BS32 4NH,,10195L,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,Isle Of Wight Council,93191396,"89,847.55",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,PO3O 1UD,,,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,Isle Of Wight Council,93237237,"42,114.57",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,PO3O 1UD,,,00000000,Expense,,
DEFRA,DEFRA,14/05/2015,Jacobs UK Ltd,B1723051003,"47,596.80",Project Management and Design service - April 2015,LS11 9DX,,ECM 4470,B0870000,Expense,,
DEFRA,DEFRA,14/05/2015,Joint Nature Conservation Committee,06051442500000,"425,000.00",Grant in aid - May 2015,PE1 1JY,SME,GIA,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,JSS Pensions Administration,RCPS10476,"42,544.43",Pension payments for the former Horticulture Research International staff - April 2015,SN2 1FF,,16500,00000000,Expense,,
DEFRA,DEFRA,18/05/2015,JSS Pensions Administration,RCPS10475,"109,192.79",Pension payments made to members of the Nature Conservancy Council (NCC) pension scheme - April 2015,SN2 1UH,,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Kier Construction Western & Wales,14090060,"530,075.52","National Agri-Food Innovation Centre, Sand Hutton Oil Fuel Pipeline fuel lane replacement - April 2015",BS15 4WW,,10195 J,B281P008,Asset,,
DEFRA,DEFRA,07/05/2015,Kier Facilities Services Ltd,14091019,"34,997.69","Replacement of chiller in Northgate House, Reading - February 2015",RG21 4HG,,FR0619,B642P005,Asset,,
DEFRA,DEFRA,05/05/2015,Kier Facilities Services Ltd,14091135,"174,045.55","Replacement of chiller in Northgate House, Reading - March 2015",RG21 4HG,,FR0619,B642P005,Asset,,
DEFRA,DEFRA,14/05/2015,L T S International Ltd,2570,"28,265.08",Administration of the Darwin Initiative Grant Scheme - May 2015,EH26 0PH,SME,GIA,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Lancashire County Council,180515,"46,429.01",Grant - Forest of Bowland Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,PR1 0LD,,,BOWLAND1,Expense,,
DEFRA,DEFRA,22/05/2015,Lancaster City Council,190515,"39,141.46",Grant - Arnside and Silverdale Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,LA1 1PJ,,,ARNSIDE1,Expense,,
DEFRA,DEFRA,05/05/2015,Level 3 Communications UK Limited,80359916,"43,691.51",Provision of additional 850 Service Access Points for Foss House York - January-March 2014,RG24 8NA,,RM827A,00000000,Expense,,
DEFRA,DEFRA,07/05/2015,Level 3 Communications UK Limited,80390994,"118,278.95","Telephony rental, call and Service Access Points charges - February 2015",RG24 8NA,,,00000000,Expense,,
DEFRA,DEFRA,19/05/2015,Local Partnerships LLP,41101704,"-128,400.00",Credit note - Consultancy Support for Partnership proposal for Waste Infrastructure delivery programme contract balance - 2013-14,SW1P 3HZ,SME,14265,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,M D S Technologies Ltd,4254,"175,254.66",Hosting to support the test and development environments for Common Agriculture Policy Delivery - Hardware and third party support - April 2015,SN13 9GB,SME,CAP204,CAPDFA08,Expense,,
