Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,29/08/2014,Agency temps - clerical,Chief Operating Officer DG,Brook Street (UK) Ltd,30485712,29833.07,Various interim staff engaged across Defra - week ending 13 June 2014,AL1 4JB,,,0,Expense,
DEFRA,05/08/2014,Consultancy Non-Scheme,Policy Delivery DG,Building Research Establishment Ltd,11233233,30000,Food Chain Competitiveness Programme - Support British Food Plan,WD25 9XX,,21150,0,Expense,
DEFRA,11/08/2014,Payover,Central Finance Group,C E F A S,70814,26700.31,Redistribution of VAT Refund received centrally by Defra - 2014-15 Quarter 1,NR33 0HT,SME,,0,Liability,
DEFRA,11/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003935,26323.5,UK /Japan Research Endocrine Disruptors in the Aquatic Environment - 2014-15 Quarter 1,NR33 0HT,SME,CB0436,0,Expense,
DEFRA,19/08/2014,Evidence Non R&D,Policy Delivery DG,C E F A S,8004049,1750139.24,Response of ecosystems and fisheries to management in a changing environment - August 2014,NR33 0HT,SME,DFP,0,Expense,
DEFRA,26/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",C E F A S,8004050,61644.66,Aquatics evidence - August 2014,NR33 0HT,SME,DFP,0,Expense,
DEFRA,19/08/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",C E F A S,8004051,247431,Aquatic Health - August 2014,NR33 0HT,SME,DFP FUNDING,0,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003724,65828,"A Survey of shore-based and private boat recreational sea angling activity, and the economic value of sea angling, in England - 2013-14",NR33 0HT,SME,Exempt,0,Expense,
DEFRA,26/08/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10007219,27643.72,Various interim staff engaged across Defra - week ending 13 August 2014,DL1 9HB,,,0,Expense,
DEFRA,13/08/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10006750,92109.68,Various interim staff engaged across Defra - week ending 6 August 2014,SL6 1DP,,,0,Expense,
DEFRA,28/08/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10005435,62997.89,Various interim staff engaged across Defra - week ending 17 July 2014,SL6 1DP,,,0,Expense,
DEFRA,18/08/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR027,32158.73,"Payment of rent, rates and service charges for various properties within the Defra Network - 21 March-19 September 2014",EC2V 7NQ,,,0,Expense,
DEFRA,22/08/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR029,1513948.12,"Payment of rent, rates and service charges for various properties within the Defra Network - 1 January-30 September 2014",EC2V 7NQ,,,0,Expense,
DEFRA,28/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",Chimpanzee Sanctuary & Wildlife Conservation Trust,270814,38873.5,Darwin Grant Scheme - Harnessing livelihood benefits from a payment for environmental services scheme - April-September 2014,,,,DARWDFID,Expense,
DEFRA,01/08/2014,Gas,Chief Operating Officer DG,Corona Energy,9371232,41954.68,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - June 2014",WD17 1JW,,,B2810000,Expense,
DEFRA,26/08/2014,Gas,Chief Operating Officer DG,Corona Energy,9475261,43090.82,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",WD17 1JW,,,B0870000,Expense,
DEFRA,26/08/2014,Gas,Chief Operating Officer DG,Corona Energy,9480228,72235.88,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",WD17 1JW,,,B0870000,Expense,
DEFRA,26/08/2014,Gas,Chief Operating Officer DG,Corona Energy,9475306,33302.17,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - July 2014",WD17 1JW,,,B2810000,Expense,
DEFRA,15/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Cranfield University,1407457,26515,Evidence project 'The effect of boiling on lead in drinking water',MK43 0AL,,WT1294,0,Expense,
DEFRA,20/08/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,38133,188707.36,"A shipment of Tuberculin used in Tuberculosis testing delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - July 2014",8952,,,TUBP0468,Expense,
DEFRA,28/08/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,38397,188707.36,"A shipment of Tuberculin used in Tuberculosis testing delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - August 2014",8952,,,TUBP0468,Expense,
DEFRA,05/08/2014,Computer & IT Services,Chief Operating Officer DG,Department For Work & Pensions,2922893,549700,Government Gateway website used to register for online government services Annual Charge - 2014-15,FY5 3TA,SME,IGS,ISONB111,Expense,
DEFRA,05/08/2014,Current Grants - Local Authorities,Chief Operating Officer DG,Dept For Communities & Local Gov,10814,1250000,Local services support grant - August 2014,HP2 4XN,,Grant,0,Expense,
DEFRA,11/08/2014,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,40814,250000,Local services support grant - August 2014,HP2 4XN,,Funding,0,Expense,
DEFRA,07/08/2014,Electricity,Chief Operating Officer DG,E D F Energy,290714,93590.49,"Electricity bill - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",PL3 5XQ,,,B0870000,Expense,
DEFRA,19/08/2014,Electricity,Chief Operating Officer DG,E D F Energy,156010814,125754.16,"Electricity bill - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",PL3 5XQ,,,B0870000,Expense,
DEFRA,19/08/2014,Electricity,Chief Operating Officer DG,E D F Energy,15601081416986000,169860.38,"Electricity bill - Food and Environment Research Agency, Sand Hutton, York - July 2014",PL3 5XQ,,,B2810000,Expense,
DEFRA,19/08/2014,Electricity,Chief Operating Officer DG,E D F Energy,160,25827.41,"Electricity bill - Fisheries Laboratory, Lowestoft - July 2014",PL3 5XQ,,,B0940000,Expense,
DEFRA,19/08/2014,Electricity,Chief Operating Officer DG,E D F Energy,179,43355.33,"Electricity bill - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",PL3 5XQ,,,B0870000,Expense,
DEFRA,26/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,East Malling Research,12328,35875,"Biological, semiochemical and selective chemical management methods for insecticide resistant western flower thrips on protected strawberry - April-June 2014",ME19 6BJ,SME,Exempt,0,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Environment Agency,1165726,76000,Strategic water resources planning: Strategic Water Infrastructure and Resilience - 2013-14,PE2 5ZR,,WT1535,0,Expense,
DEFRA,05/08/2014,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAAUGUST14,15000000,Grant In Aid - July 2014,BS1 5AH,,DFP,0,Expense,
DEFRA,05/08/2014,Other Current Grants - Evidence R&D,Policy Delivery DG,Environment Agency,1164855,30000,Performance of water supply systems during extreme drought - 2014-15,PE2 5ZR,,IGS,0,Expense,
DEFRA,19/08/2014,Staff Restaurants,Chief Operating Officer DG,Eurest,92670333,28560,Coffee machine maintenance across nine sites - 2014-15,B45 9PZ,SME,21351,0,Expense,
DEFRA,26/08/2014,Evidence Non R&D,Policy Delivery DG,Extrium Ltd,0284DEFRA,26326.38,Provision of Geographic Acoustic Data Management and Analysis (GADMA) - June 2014,TN1 2TU,SME,17411,0,Expense,
DEFRA,05/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",Fauna & Flora International,20714,25135,Darwin Grant - Building capacity of the next generation of Liberian conservation professionals - January-March 2014,CB1 2JD,SME,Exempt,DARWINXX,Expense,
DEFRA,19/08/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Food & Environment Research Agency,F0038151,25000,Plant Health Horizon Scanning and Technology Implementation (HSTI) Programme - 2014-15 Quarter 1,YO41 1LZ,,DFP,0,Expense,
DEFRA,19/08/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Food & Environment Research Agency,F0038263,730000,"Supply of Plant health laboratory services, inspections and policy support - 2014-15 Quarters 1 and 2",YO41 1LZ,,IGS/Funding,0,Expense,
DEFRA,26/08/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Food Standards Agency,1702718,29100.64,By-product staining work - July 2014,YO1 2YX,,DFP,ABPO0001,Expense,
DEFRA,07/08/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Forest Research Agency,R0007937,27611.78,Rapid screening for Chalara resistance using ash trees currently in commercial nurseries - 2014-15,GU10 4LH,,TH0132,0,Expense,
DEFRA,05/08/2014,Other Current Payments UK,Policy Delivery DG,Gangmasters Licensing Authority,10383,294354,Grant In Aid - July 2014,NG8 9AF,,IGS,GLA00002,Expense,
DEFRA,01/08/2014,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA003,94500,Aerial photography and height data - July 2014,RG27 8NW,SME,20041,AERPHOTO,Expense,
DEFRA,28/08/2014,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA004,94500,Aerial photography and height data - August 2014,RG27 8NW,SME,20041,AERPHOTO,Expense,
DEFRA,07/08/2014,Other Current Payments E,Policy Delivery DG,H M C T S,ITO182HMCTS15198,31405,Start up and running costs of First-Tier Tribunal for Olive Oil Appeals,SW1H 9AJ,,MOU EXEMPT,0,Expense,
DEFRA,15/08/2014,Other Current Payments E,Policy Delivery DG,Hampshire Police Authority,P0031926,34000,Work carried out by the National Wildlife Crime Unit - July-September 2014,SO22 5DB,,21307,0,Expense,
DEFRA,13/08/2014,Other Current Payments E,Policy Delivery DG,Hampshire Police Authority,P0031370,34000,Work carried out by the National Wildlife Crime Unit - April-June 2014,SO22 5DB,,BRAVO 21307,0,Expense,
DEFRA,26/08/2014,Evidence Non R&D,Policy Delivery DG,Health & Safety Commission & Executive,133793,2053454.5,Competent authority delegated functions for Plant Protection Products and Detergents - 2014-15 Quarters 1 and 2,L20 3LZ,,MOU EXEMPT,0,Expense,
DEFRA,11/08/2014,Other Current Payments E,Policy Delivery DG,Health & Safety Commission & Executive,132707,515000,"Registration, Evaluation, Authorisation and restriction of Chemicals (REACH) Competent Authority - 2014-15 Quarters 1 and 2",L20 3LZ,,IGS,0,Expense,
DEFRA,26/08/2014,Application Services/Applications Development,Chief Operating Officer DG,IBM United Kingdom Ltd,5808140816,30754.78,Spacial Information Repository (SPIRE) Geographic Information and Data Improvement; High Level Design and Testing - August 2014,GU1 2LD,SME,10040,06199SPE,Expense,
DEFRA,05/08/2014,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5807141313,28530.39,Microsoft Exchange 2003 Upgrade Project implementation - 30 May-27 June 2014,GU1 2LD,SME,10040,PTRS0100,Expense,
DEFRA,29/08/2014,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5808140679,6155825.68,IT Base Services - August 2014,GU1 2LD,SME,10040,0,Expense,
DEFRA,05/08/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5807141308,76210.91,"Closure of Ergon House - user moves, cabling and other relocation work - 4-25 April 2014",GU1 2LD,SME,10040,0,Asset,
DEFRA,01/08/2014,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5807141161,36660.05,Identity and Access Management (IAM) approach consultancy - 30 May-27 June 2014,GU1 2LD,SME,,P13TR280,Expense,
DEFRA,13/08/2014,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5807141600,65314.55,Common Agricultural Policy Development Programme Virtual Machine Builds: Phases two and three - Seven Pre-Production WS2012 (Windows Server) Virtual Machines built and handed over to Hitachi for application install - July 2014,GU1 2LD,SME,10040,CAPDFA08,Expense,
DEFRA,26/08/2014,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808140864,79187.51,Identity and Access Management Proof of Concept - 04 July-25 July 2014,GU1 2LD,SME,10040,PITF0600,Expense,
DEFRA,28/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Imperial College London,10116950,32712,Contract for the Provision of Small Area Health Statistics Unit (SAHSU) Bioaerosols Pilot Study,SW7 2AZ,,WR0617,0,Expense,
DEFRA,28/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,2507142832525,28325.25,Darwin Initiative Grant - Social assessment of protected areas - July-September 2014,WC1X 8NH,SME,20060,DARWDFID,Expense,
DEFRA,28/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,250714,32815.25,Darwin Initiative Grant - Building capacity for pro-poor responses to wildlife crime in Uganda - July-September 2014,WC1X 8NH,SME,Grant/21063,IWTXXXXX,Expense,
DEFRA,11/08/2014,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036393,579830.69,Repair and Replacement Fund - July 2014,BS32 4NH,,10195L,0,Expense,
DEFRA,26/08/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036663,88065.35,Estates maintenance projects over multiple sites - June 2014,BS32 4NH,,10195L,0,Expense,
DEFRA,21/08/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036009,101149.1,"Installation of boundary fencing to site at Animal Health and Veterinary Laboratory Agency, Weybridge - June 2014",BS32 4NH,,10195L,B0870000,Asset,
DEFRA,11/08/2014,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036391,2155205.7,Core Facilities Management Fee - July 2014,BS32 4NH,,10321,0,Expense,
DEFRA,19/08/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036666,49798.3,"Sustainability Project - Chilled Water Services Extension - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",BS32 4NH,,FWK10095,AHVLA102,Asset,
DEFRA,26/08/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036664,327852.35,Estates maintenance projects over multiple sites - June 2014,BS32 4NH,,10195L,0,Expense,
DEFRA,21/08/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036012,52282.98,"Replacement of steam and condensate pipework distribution - Animal Health and Veterinary Laboratory Agency, Weybridge - June 2014",BS32 4NH,,,B0870000,Asset,
DEFRA,26/08/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00035175,79786.57,Estates maintenance projects over multiple sites - June 2014,BS32 4NH,,10195L,B0870000,Expense,
DEFRA,26/08/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036662,32527,Estates maintenance projects over multiple sites - June 2014,BS32 4NH,,10195L,0,Expense,
DEFRA,26/08/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036665,34887.16,Estates maintenance projects over multiple sites - June 2014,BS32 4NH,,10195L,0,Expense,
DEFRA,05/08/2014,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036454,70030.01,Consumables provided to various sites as part of the Facilities Management contract - June 2014,BS32 4NH,,10226,0,Expense,
DEFRA,21/08/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036673,177607.75,"Replacement of steam and condensate pipework distribution - Animal Health and Veterinary Laboratory Agency, Weybridge - July 2014",BS32 4NH,,,B0870000,Asset,
DEFRA,07/08/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Jacobs Engineering UK Ltd,B1723032002A,26078.4,Feasibility study to support Common Agricultural Policy Delivery programme Reading estate rationalisation with a view to moving to Environment Agency Kings Meadow site and longer term rationalisation objectives in Reading - July 2014,G2 7HX,,,STGCEXIT,Asset,
DEFRA,07/08/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Jacobs Engineering UK Ltd,B1723030003A,35477.35,Sand Hutton site condition Survey - July 2014,G2 7HX,,ECM 4470,B281P007,Asset,
DEFRA,13/08/2014,Grant-in Aid Payments,Policy Delivery DG,Joint Nature Conservation Committee,50814,644000,Grant In Aid - July 2014,PE1 1JY,SME,GIA,0,Expense,
DEFRA,11/08/2014,Civil service Pension Administration,Chief Operating Officer DG,JSS Pensions Administration,RCPS10311,62581.4,Pension payments for the former Horticulture Research International staff - July 2014,SN2 1FF,,16500,0,Expense,
DEFRA,05/08/2014,Other Current Payments E,Policy Delivery DG,JSS Pensions Administration,RCPS10304,112795,Pension payments made to members of the Nature Conservancy Council (NCC) pension scheme - July 2014,SN2 1FF,,re-charge,0,Expense,
DEFRA,07/08/2014,Evidence Non R&D,Policy Delivery DG,Keep Britain Tidy,108953,41666.67,Keep Britain Tidy Grant - August 2014,WN3 4EX,SME,Grant,0,Expense,
DEFRA,07/08/2014,Current Grants E,Policy Delivery DG,Kent County Council,290714,60478,Area of Outstanding Natural Beauty Grant - 2013-14 (2nd instalment),ME14 1XQ,,GIA,KENTDOWN,Expense,
DEFRA,26/08/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Kier Facilities Services Ltd,14020027,183261.54,"Strip-out and refurbishment works at Polwhele and relocation from Pydar House, Truro",RG21 4HG,,,B067P001,Asset,
DEFRA,19/08/2014,Advisory Services,Chief Operating Officer DG,Kpmg Llp,5500893868,26169.6,Specialist Support for audit work on Government Internal Audit Agency charging model - May-July 2014,E14 5GL,SME,20344,0,Expense,
DEFRA,07/08/2014,Evidence Non R&D,Policy Delivery DG,Kynetec Ltd,8373004161,44904.96,British survey of fertiliser practice - 2014,RG20 8JE,SME,14262,FCAG0003,Expense,
DEFRA,15/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",L T S International Ltd,2423,30900.6,Administration of the Darwin Initiative Grant Scheme - July 2014,EH26 0PH,SME,20211,0,Expense,
DEFRA,19/08/2014,Telephone Call Charges (C),Chief Operating Officer DG,Level 3 Communications UK Limited,80360210,105172.77,Charges for telephony and video conference services - January-March 2014,RG24 8NA,,TELECOMS,0,Expense,
DEFRA,29/08/2014,Programme Consultancy Costs,Policy Delivery DG,Local Partnerships LLP,41101486,225166.69,Contract for the provision of support For Waste Infrastructure Delivery Programme - July 2014,SW1P 3HZ,SME,14265,0,Expense,
DEFRA,15/08/2014,Programme Consultancy Costs,Policy Delivery DG,Local Partnerships LLP,41101473,233091.79,Contract for the provision of support For Waste Infrastructure Delivery Programme - June 2014,SW1P 3HZ,SME,14265,0,Expense,
DEFRA,15/08/2014,Programme Consultancy Costs,Policy Delivery DG,Local Partnerships LLP,41101471,231205.39,Contract for the provision of support For Waste Infrastructure Delivery Programme - April 2014,SW1P 3HZ,SME,14265,0,Expense,
DEFRA,01/08/2014,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,3591,44268.57,Hosting to support the test and development environments for Common Agriculture Policy Delivery - June 2014,SN13 9GB,SME,cap024,CAPDFA08,Expense,
DEFRA,11/08/2014,Grant-in Aid Payments,Policy Delivery DG,Marine Management Organisation,40814,2000000,Grant In Aid - July 2014,NE4 7YH,SME,Grant,0,Expense,
DEFRA,13/08/2014,Other Current Payments (GB),Chief Operating Officer DG,Ministry Of Justice,INX950HQ10364,239000.4,Civil Service Human Resources Casework Service Project ,NP20 9BB,,21031,0,Expense,
DEFRA,21/08/2014,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,121792,90400.1,Heavy Metal Monitoring - 2014-15,TW11 0LW,SME,14769,AQNONRDX,Expense,
DEFRA,15/08/2014,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,121794,110476.07,Polycyclic aromatic hydrocarbon (PAH) Monitoring and Analysis Network Annual report and expenses -2013-14 and 2014-15,TW11 0LW,SME,13181/3,AQNONRDX,Expense,
DEFRA,19/08/2014,Inwards Secondments,Chief Operating Officer DG,Natural England,8000018094,32090.23,Secondment to the Common Agricultural Policy Delivery Programme - 01 January-31 March 2014,YO1 7PX,,IGS,CAPDFA01,Asset,
DEFRA,19/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Natural England,8000018781,80492,Contribution to Monitoring of Engagement with the Natural Environment (MENE) - 2014-15,YO1 7PX,,WC1055/GRANT,BIODECOS,Expense,
DEFRA,05/08/2014,Grant-in Aid Payments,Policy Delivery DG,Natural England,240714,13000000,Grant In Aid - July 2014,YO1 7PX,,IGS GIA,0,Expense,
DEFRA,05/08/2014,International Subscriptions (Foreign Payments),Policy Delivery DG,Oecd,240714,87792.44,Control of Chemicals Part Two - UK Contribution - 2014,75775,,,0,Expense,
DEFRA,11/08/2014,Evidence Non R&D,Policy Delivery DG,Office For National Statistics,1028889,86711,Living Costs and Food survey - 2014-15 Quarter 2,NP10 9XG,,iGS,FCAG0006,Expense,
DEFRA,15/08/2014,Legal Expenses incl subscriptions to legal societies,Chief Operating Officer DG,Pinsent Masons,6113413,73262.97,Commercial Legal Advice Services for the Future of Fera Project - March-June 2014,EC1R 0ER,,20583,0,Expense,
DEFRA,21/08/2014,Contractor - Management Cover,Chief Operating Officer DG,Pricewaterhouse Coopers,1354231328,234477.6,Fees for support to the Common Agricultural Policy Delivery Programme data management support - 1 February-31 March 2014,WC2N 6NN,,CAP203,CAPDDM00,Expense,
DEFRA,21/08/2014,Contractor - Management Cover,Chief Operating Officer DG,Pricewaterhouse Coopers,1354231329,391530,Fees for support to the Common Agricultural Policy Delivery Programme data management support - 1 April-31 July 2014,WC2N 6NN,,CAP203,0,Expense,
DEFRA,21/08/2014,Contractor - Management Cover,Chief Operating Officer DG,Pricewaterhouse Coopers,1354224469,224227.2,Fees for support to the Common Agricultural Policy Delivery Programme systems implementation support and release management support - 1 February-31 March 2014,WC2N 6NN,,CAP023,CAPDTA00,Expense,
DEFRA,13/08/2014,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,86215,260731.37,Travel costs incurred as per the Government Procurement Service contract - July 2014,BD1 3AZ,SME,,0,Asset,
DEFRA,15/08/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6156635,25532,Baseline measurements on UK Stratospheric Ozone and Spectral Ultraviolet - July 2014,OX11 0QR,,Exempt,AQNONRDX,Expense,
DEFRA,15/08/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6156593,83747,2014-15 - Quality Assurance/Quality Control services for Automatic Urban and Rural Network (AURN) - July 2014,OX11 0QR,,Exempt,AQNONRDX,Expense,
DEFRA,28/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6156601,40218.45,UK National Atmospheric Emissions Inventory - July 2014,OX11 0QR,,AQ0726,AQRDXXXX,Expense,
DEFRA,15/08/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6156638,35744,Management of the Air Quality Data Dissemination Unit - July 2014,OX11 0QR,,14621,AQNONRDX,Expense,
DEFRA,28/08/2014,Other Current Payments E,Policy Delivery DG,Ricardo-A E A Ltd,6156723,33469.2,Provision of farming advice services - July 2014,OX11 0QR,,,0,Expense,
DEFRA,07/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6156618,25709,Eutrophying and Acidifying Atmospheric Pollutants (UKEAP) - July 2014,OX11 0QR,,Exempt,AQRDXXXX,Expense,
DEFRA,21/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6156642,29340,Modelling of Ambient Air Quality (MAAQ) - July 2014,OX11 0QR,,AQ0650,AQRDXXXX,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Risk Solutions,1993,90220.43,Assessment of the impacts of abstraction reform options for final impact assessment - Completion of core coding for model,WA2 7LT,SME,WT1563,0,Expense,
