Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Expenditure Description,Supplier Type,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,BICKLEIGH ON EXE CE PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066790,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,COWPLAIN COMMUNITY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066793,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,FIR VALE SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066802,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,GAWTHORPE COMMUNITY PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066804,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,HATFIELD WOODHOUSE PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066806,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,HUMPHREY PERKINS HIGH SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066809,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,HUNGERHILL SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066810,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,NORTH LEVERTON CE PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066819,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,THE JOHN BENTLEY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066827,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,TUBBENDEN PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066830,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,WADEBRIDGE SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066833,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,WAKEFIELD METROPOLITAN BOROUGH COUNCIL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066834,25000
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants to Arms Length Bodies,Families Group,CAFCASS,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000492,9687458
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KIDS,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066886,118653
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,"Costs related to temporary workers.
Specifically for staff assisting with Arms Length Body reform",Commercial,4000066875,27899.28
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,ICT,Chief Information Officer Group,CSA WAVERLEY LTD,Costs related to the purchase of IT equipment,Commercial,4000066876,66815.23
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,ICT,Chief Information Officer Group,ENERGIS COMMUNICATIONS LTD,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc.
Specifically for the provision of the Government Secure Intranet service.",Commercial,4000066880,118234.5
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants,Curriculum and Behaviour Group,FEDERATION OF MUSIC SERVICES,"Current grant to third sector organisation / not for profit organisation.
Specifically for distribution to Local Authorities to support local music services.",VCS,4000066836,38456671
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants to Arms Length Bodies,Teachers Group,NATIONAL COLLEGE OF SCHOOL LEADERSHIP,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000493,10000000
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,DfE Programme Costs,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the management of the Triple Science support programme",Public Sector,1000505,274814.04
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants to Arms Length Bodies,Teachers Group,TRAINING & DEVELOPMENT AGENCY FOR SCHOOLS TDA,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000494,66067651.42
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Professional Services Temporary Staff,Finance and Commercial Group,CAPITA RESOURCING LTD,Costs related to temporary workers,Commercial,4000066875,1579.2
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants,Academies Delivery Group,LANDAU FORTE COLLEGE,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066887,62633.45
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants,Academies Delivery Group,LEARNING SCHOOLS TRUST,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066888,112809.07
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants,Academies Delivery Group,THE ST MATTHEWS ACADEMY CAPITAL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066901,29728.16
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants,Academies Delivery Group,THE BATH & WELLS DIOCESAN BOARD OF FINANCE,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066900,45359.58
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,,Academies Delivery Group,BEDFORD BOROUGH COUNCIL,,Public Sector,4000066872,58934.87
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2011,Current Grants to Arms Length Bodies,Post 16 Young People Learning Agency Resources Group,YOUNG PEOPLES LEARNING AGENCY,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000495,1066110000
Department for Education,TEACHERS PENSION SCHEME,02/12/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000872,74939.01
Department for Education,TEACHERS PENSION SCHEME,02/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000873,19510168.72
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,DfE Programme Costs,Families Group,FAMILY MATTERS INSTITUTE,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,VCS,4000066942,33612
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,DfE Programme Costs,Supporting Children and Young People Group 2,NATIONAL TREATMENT AGENCY,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the Young People's substance misuse treatment project",Public Sector,4000066951,42500
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,Current Grants,Families Group,RELATE,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066954,496195.93
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,ICT,Chief Information Officer Group,THE DANWOOD GROUP LTD,"Costs related to the provision of hardware maintenance and support of computer networks and systems.
Specifically for multi functional devices and charges",Commercial,4000066958,49351.78
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,ICT,Chief Information Officer Group,THE DANWOOD GROUP LTD,"Costs related to the provision of hardware maintenance and support of computer networks and systems.
Specifically for multi functional devices and charges",Commercial,4000066958,328.84
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,Professional Services Other,Academies Delivery Group,ANN CONNOR,"Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",Commercial,4000066932,39503.79
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,Current Grants,Free School Group,CANARY WHARF COLLEGE FREE SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066938,30258.68
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,Current Grants to Other Government Departments,Academies Policy and Schools Organisation Group,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,Funding to other government departments for DfE's contribution to jointly funded programmes ,Public Sector,2000496,3170750
Department for Education,DEPARTMENT FOR EDUCATION,05/12/2011,Current Grants,Free School Group,ASTON UNIVERSITY ENGINEERING ACADEMY,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066933,31743
Department for Education,TEACHERS PENSION SCHEME,05/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000875,46621547.46
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants to Arms Length Bodies,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000497,153600.39
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Children Young People and Families Early Years Extended Schools and Special Needs Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,118.94
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Children Young People and Families Early Years Extended Schools and Special Needs Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,17.41
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Children Young People and Families Safeguarding Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,37.45
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,People and Change,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,154.91
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,People and Change,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,594.31
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,People and Change,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,8.16
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,People and Change,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,People and Change,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,14.03
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Children Young People and Families Supporting Delivery Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,People and Change,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,134.64
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Children Young People and Families Safeguarding Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Children Young People and Families Safeguarding Group,THE COLLEGE OF SOCIAL WORK,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067020,145575.4
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Children Young People and Families Directorate,BOLTON LADS & GIRLS CLUB,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066998,35816.28
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Children Young People and Families Directorate,TRANSITIONS PLUS UK,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067023,97685.78
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Children Young People and Families Directorate,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,-57.73
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,949.88
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,44172.94
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,1702.32
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,2130
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Curriculum and Behaviour Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,44.95
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,91.2
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,68.58
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,945.62
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,379.08
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,0.5
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Chief Information Officer Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,601.12
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,School Standards Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,346.39
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,School Standards Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,School Standards Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,2.23
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,DfE Programme Costs,School Standards Group,EDGE HILL UNIVERSITY,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Public Sector,4000067007,296203.77
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,"Strategic Analysis, Research and Policy Impact Group",CAPGEMINI UK PLC,Costs related to the provision of IT costs,Commercial,4000067003,41880.05
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,"Strategic Analysis, Research and Policy Impact Group",BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,69.55
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,"Strategic Analysis, Research and Policy Impact Group",BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,5.06
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,School Standards Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,48.17
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Qualifications and Participation Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,63.2
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Qualifications and Participation Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,87.43
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Teachers Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,118.94
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Teachers Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,9.17
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Qualifications and Participation Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,107.72
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,56.16
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,105.18
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,1263.4
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,22.61
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Finance and Commercial Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,115.63
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Post 16 Young People Learning Agency Resources Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,275.18
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Education Funding Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,55.8
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Education Funding Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,7.88
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,CREATIVE EDUCATION ACADEMIES TRUST,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067006,54739.85
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Academies Delivery Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,142.14
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,CASTLE MANOR BUSINESS & ENTERPRISE COLLEGE,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067004,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,HELLESDON HIGH SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067010,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,HOLLINGWORTH BUSINESS & ENTERPRISE COLLEGE,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067012,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,HUTTON ALL SAINTS CE PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067013,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,PLACE FARM CP SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067016,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,ST JOHNS SCHOOL & SIXTH FORM COLLEGE,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067019,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,THE COMMUNITY SCIENCE COLLEGE AT THORNHILL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067021,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,Current Grants,Academies Delivery Group,WEST TOWN LANE ACADEMY,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067025,25000
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,19.12
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,374.88
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,36.11
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,109.61
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,204.86
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,1.04
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Free School Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,9.3
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,-26.79
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Communications Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,62.45
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Private Office ,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,351.5
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Strategy and Performance Group,BT,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",Commercial,4000067000,-84.48
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Strategy and Performance Group,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,0.95
Department for Education,DEPARTMENT FOR EDUCATION,06/12/2011,ICT,Standards and Testing Agency,BT,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial,4000067000,37.32
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1519.06
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1015.38
