Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022656,"£39,674.27",Costs associated with London estate rationalisation project
Defra,Core Defra ,02/01/2013,Grant-in Aid Payments,Chief Operating Officer DG,Royal Botanic Gardens Kew,KEWGIA101213,"£2,000,000.00",Grant in Aid - January 2012
Defra,Core Defra ,03/01/2013,Gas,Chief Operating Officer DG,Corona Energy,7785666,"£27,643.27",Defra Site Gas Bill July to August 2012
Defra,Core Defra ,03/01/2013,Gas,Chief Operating Officer DG,Corona Energy,7800309,"£115,175.50",Defra Site Gas Bill November to December 2012 
Defra,Core Defra ,04/01/2013,Rents to Landlords,Chief Operating Officer DG,D T Z,03-Jan-13,"£443,400.00",Rents to Landlord payment for Quadrant House
Defra,Core Defra ,08/01/2013,Estates - Site Preparation and Demolition,Chief Operating Officer DG,Davis Langdon LLP,28146843,"£73,857.60",Project Management services for Demolitions at Weybridge - management fees.
Defra,Core Defra ,08/01/2013,Civil service Pension Administration,Chief Operating Officer DG,R C P S,6038,"£35,577.46",Provision of Closed Horticulture Research International Staff Pension Scheme - Pension Payment December 2012
Defra,Core Defra ,14/01/2013,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022585,"£2,051,217.55",Core facilities contract for the period 1/4/12 to 31/3/13  
Defra,Core Defra ,14/01/2013,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022586,"£576,352.07",Re-Active part of the Core Contract for the period 14112 to 31/3/13
Defra,Core Defra ,14/01/2013,Other Current Payments E,Chief Operating Officer DG,Foden Grealy Limited,505373,"£40,488.76",Consulting service for Change Management Programme - September to November 2012
Defra,Core Defra ,14/01/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5812120959,"£26,776.42",Defra Information Communication Technology  Pre Engagement Service Framework Work Package Order charged on a time and materials basis.
Defra,Core Defra ,14/01/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5812121080,"£56,869.18",Technology Refresh
Defra,Core Defra ,14/01/2013,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5811122016,"£82,469.34",Transformation and Transition Projects at Rural Payments Agency 
Defra,Core Defra ,16/01/2013,Consultancy Non-Scheme,Chief Operating Officer DG,Local Partnerships LLP,41101112,"£28,151.58",Provision of Professional Services - Food and Environment Research Agency (FERA) Commercial Services Support. 
Defra,Core Defra ,17/01/2013,Property Lease Costs,Chief Operating Officer DG,D T Z,DEFRA170,"£57,900.43",Debenham Tie Leung Funding Request
Defra,Core Defra ,18/01/2013,IBM Miscellaneous Goods and Services,Chief Operating Officer DG,IBM United Kingdom Ltd,5812120282,"£187,500.00",Catchup charges to end of Oct 2012: Project Call off Charges (re Windows 7)
Defra,Core Defra ,18/01/2013,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5812121314,"£73,971.10",IT Delivery Refresh Transformation and Transition Projects
Defra,Core Defra ,22/01/2013,Other Current Payments E,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022015,"£34,834.87",Pass-though costs for October 2012 for Foot and Mouth Disease Sites only
Defra,Core Defra ,22/01/2013,Treasury Solicitors,Chief Operating Officer DG,Treasury Solicitors Department,A1705,"£1,523,583.00",Defra Legal Charges for representation and advice - Quarter 1 2013 
Defra,Core Defra ,22/01/2013,Treasury Solicitors,Chief Operating Officer DG,Treasury Solicitors Department,A1704,"£292,232.40",Defra Legal Charges for representation and advice - Quarter 1 2013 
Defra,Core Defra ,22/01/2013,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022016,"£91,138.62",Services required for waste management - October 2012 
Defra,Core Defra ,22/01/2013,Payments to Agencies UK,Chief Operating Officer DG,Food & Environment Research Agency,F0026608,"£1,941,250.02",STRUCTURAL FUNDING FOR OCTOBER TO DECEMBER 2012
Defra,Core Defra ,22/01/2013,Payments to Agencies UK,Chief Operating Officer DG,Food & Environment Research Agency,F0026126,"£711,001.00",Food & Environment Research Agency Corporate Services Charges October to November 2012
Defra,Core Defra ,22/01/2013,Payments to Agencies UK,Chief Operating Officer DG,Food & Environment Research Agency,F0026388,"£1,781,578.00",Plant Health Non-Evidence Memorandum of Understanding - September 2012
Defra,Core Defra ,24/01/2013,Gas,Chief Operating Officer DG,Corona Energy,7822041,"£82,907.53",Gas bill - November to December 2012
Defra,Core Defra ,24/01/2013,Business Rates,Chief Operating Officer DG,D T Z,DEFRA171,"£969,425.79",Debenham Tie Leung Funding Request.
Defra,Core Defra ,24/01/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022637,"£80,062.06","Refurbishment works of Nobel House, London"
Defra,Core Defra ,28/01/2013,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022665,"£124,100.57",Various facilities management works
Defra,Core Defra ,28/01/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019585,"£47,612.24",Office and laboratory refurbishment
Defra,Core Defra ,30/01/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00021156,"£61,056.25","AHVLA relocation design and planning costs - Government Buildings, Chelmsford"
Defra,Core Defra ,30/01/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00018801,"£64,831.12",Office refurbishment and staff relocation
Defra,Core Defra ,30/01/2013,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5801130878,"£6,035,248.24",Core Defra IT base services - January 2013
Defra,Core Defra ,31/01/2013,Business Rates,Chief Operating Officer DG,D T Z,FR172,"£69,518.67",Debenham Tie Leung Funding Request - January 2013
Defra,Core Defra ,02/01/2013,Other Current Payments E,Policy Delivery DG,Rural Payments Agency,333210,"£119,267.42",McDonald Task Force funding  - review of invoices paid by RPA to IBM
Defra,Core Defra ,02/01/2013,Current grants to charitable bodies,Policy Delivery DG,Canal & River Trust,90664147,"£9,750,000.00",Grant payment to Canal & River Trust (CRT) 2012-13
Defra,Core Defra ,02/01/2013,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAJAN12191212,"£60,000,000.00",Grant in Aid payment to Environment Agency - Environmental protection and Flood - 2012/13
Defra,Core Defra ,02/01/2013,Grant-in Aid Payments,Policy Delivery DG,The National Forest Co,141212,"£1,089,709.00",Grant in Aid payment to National Forest Company for 2012-13
Defra,Core Defra ,02/01/2013,Grant-in Aid Payments,Policy Delivery DG,Natural England,191212,"£10,000,000.00",Grant In Aid Payment for Natural England Grant December 2012
Defra,Core Defra ,03/01/2013,Current grants to charitable bodies,Policy Delivery DG,Waste Aware North East Ltd,13,"£80,408.00",Grant funding in respect of Reward and Recognition Fund
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,New Forest National Park Auth,141212,"£861,260.00",Grant In Aid payment to New Forest National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Yorkshire Dales National Authority,141212,"£1,204,543.00",Grant In Aid payment to Yorkshire Dales National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Northumberland Nat Park Authority,141212,"£668,241.00",Grant In Aid payment to Northumberland National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Dartmoor National Park Authority,141212,"£893,815.00",Grant in Aid payment to Dartmoor National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,North York Moors National Park,141212,"£1,211,171.00",Grant In Aid payment to North York Moors National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Exmoor National Park Authority,141212,"£817,000.00",Grant In Aid payment to Exmoor National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Broads Authority,141212,"£943,700.00",Grant In Aid Payment to The Broads Authority Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Peak District National Park Auth,141212,"£856,630.00",Grant In Aid payment to Peak District National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Lake District National Park Auth,141212,"£1,494,290.00",Grant In Aid payment to Lake District National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,South Downs National Park Authority,141212,"£2,621,987.00",Grant In Aid payment to South Downs National Park Authority 2012-13 Quarter 4
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Fauna & Flora International,141212,"£28,192.00",Darwin Grant for Conservation of the newly-discovered Burmese (Myanmar) snub-nosed monkey July-September 2012
Defra,Core Defra ,03/01/2013,Current Grants E,Policy Delivery DG,Fauna & Flora International,221012,"£27,182.25",Darwin Grant for the design and management of Cambodia's first Marine Protected Area December 12
Defra,Core Defra ,03/01/2013,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,11112,"£26,919.60",Thames Tunnel Commercial Consultancy fee 
Defra,Core Defra ,04/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute Of Education,WPINV01097,"£26,842.50",Review of the latest evidence on lead estimation of intake via drinking water - November 2012
Defra,Core Defra ,04/01/2013,Current Grants E,Policy Delivery DG,Fauna & Flora International,1.41212E+12,"£28,192.00",Darwin Grant for the conservation of the newly-discovered Burmese (Myanmar) snub-nosed monkey - October to December 2012
Defra,Core Defra ,08/01/2013,Other Current Payments E,Policy Delivery DG,A H D B,180014160,"£55,000.00",Provision of electronic reporting for pigs by British Pig Executive (BPEX)
Defra,Core Defra ,08/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Department Of Energy and Climate Change,1100003574,"£1,125,000.00","Memorandum of Understanding on sustaining Met Office climate programme funding
"
Defra,Core Defra ,08/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Ministry Of Justice,10RL110161,"£25,000.00",Memorandum of Understanding with Law Commission for Conservation Covenants project - Quarter 3 2012/13
Defra,Core Defra ,08/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,UNEP-WCMC,1264,"£26,000.00",Lessons learnt from incorporating the valuation of biodiversity and ecosystem services into the development of National Biodiversity Strategies and Action Plans 
Defra,Core Defra ,08/01/2013,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,70113,"£3,000,000.00",Local Services Support Grant January 2013
Defra,Core Defra ,08/01/2013,Other Current Payments E,Policy Delivery DG,Local Partnerships LLP,41101103,"£234,332.87",Local Partnerships Contract for Private Finance Initiatives projects -  December 2012 
Defra,Core Defra ,08/01/2013,Other Current Payments (GB),Policy Delivery DG,C E F A S,8002456,"£50,392.00",Environmental Risk Assessment 2012/2013
Defra,Core Defra ,08/01/2013,Other Current Payments E,Policy Delivery DG,JSS Pensions Administration,6060,"£123,850.25",Nature Conservancy Council Pensions Scheme - payments for 2012-13 - October to March
Defra,Core Defra ,08/01/2013,Grant-in Aid Payments,Policy Delivery DG,Marine Management Organisation,40113,"£3,900,000.00",Grant in Aid payments to Marine Management Organisation - January 2013
Defra,Core Defra ,08/01/2013,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,30113,"£250,000.00",London Support Grant Services for Local Services Support Grant - January 2013
Defra,Core Defra ,10/01/2013,Current Grants UK,Policy Delivery DG,Devon County Council,53009727,"£346,500.00",Pilot Funding for Devon County Council Rural Growth Network
Defra,Core Defra ,10/01/2013,Other Current Payments (GB),Policy Delivery DG,University Of Westminster,9801060,"£30,928.50",Defra-funded Sustainable Development Research Network 
Defra,Core Defra ,10/01/2013,Evidence Non R&D,Policy Delivery DG,Hepworth Acoustics Ltd,C0061,"£82,929.05",Calculation of Noise Levels from Road & Rail Sources
Defra,Core Defra ,10/01/2013,Evidence Non R&D,Policy Delivery DG,North Wales Police,F0003356,"£25,500.00",National Crime Unit for Study of illegal trade and other activities relating to wildlife crime on the internet
Defra,Core Defra ,10/01/2013,Evidence Non R&D,Policy Delivery DG,North Wales Police,F0003333,"£34,000.00",Crime Project Contribution for the Study of illegal trade and other activities relating to wildlife crime on the internet
Defra,Core Defra ,10/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,BTO Services Limited,ACCS1205,"£32,373.00","Farmland heterogeneity, biodiversity and ecosystem services 2012/13"
Defra,Core Defra ,14/01/2013,Other Current Payments E,Policy Delivery DG,Natural England,8000010335,"£197,905.44",Reimbursement of legal charges in preparation for Project Milton 
Defra,Core Defra ,14/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8002460,"£26,045.00",Japanese Research collaoration on Endocrine Disrupters in the Aquatic Environment
Defra,Core Defra ,14/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8002485,"£38,312.94",Memorandum of Understanding for the provision of Research and Deverlopment Services to Chemicals and Emerging Technologies 
Defra,Core Defra ,14/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8002239,"£26,045.00",Japanese Research Collaboration on Endocrine Disrupters in the Aquatic Environment 
Defra,Core Defra ,14/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Best Foot Forward Ltd,101043,"£38,875.00",Evidence to support the development of a sustainability roadmap for soft drinks 
Defra,Core Defra ,14/01/2013,Other Current Payments E,Policy Delivery DG,Rural Payments Agency,333141,"£55,982.06",Design and Test Strategy for Sheep and Goat Database Interface.
Defra,Core Defra ,14/01/2013,Evidence Non R&D,Policy Delivery DG,Hepworth Acoustics Ltd,C0062,"£48,010.65",Calculation of Noise Levels from Road & Rail Sources
Defra,Core Defra ,14/01/2013,Other Current Payments E,Policy Delivery DG,The Planning Inspectorate,1800000157,"£95,569.32",Planning Inspectorate Casework for Quarter 2 Payments
Defra,Core Defra ,14/01/2013,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0026750,"£85,748.00","Emergency Response and Recovery Programme for The UK Government Decontamination Service to support, inform and influence Defra Policy for public good"
Defra,Core Defra ,14/01/2013,Other Current Payments (GB),Policy Delivery DG,Brook Lyndhurst Ltd,761,"£38,106.00",Evaluation of Animal Health and Welfare Board in England
Defra,Core Defra ,14/01/2013,Evidence Non R&D,Policy Delivery DG,Identigen Ltd,Dec-12,"£33,636.79",Transmissible Spongiform Encephalopathy Laboratory Testing 2012/13
Defra,Core Defra ,14/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of York,64159,"£29,682.00","Evaluation of the Victoria Business Improvement District, Environmental Improvement Initiative Milestone"
Defra,Core Defra ,14/01/2013,Evidence Non R&D,Policy Delivery DG,C E F A S,8002489,"£2,232,833.33",High Level Agreement Payment - January 2013 
Defra,Core Defra ,14/01/2013,Evidence Non R&D,Policy Delivery DG,C E F A S,8002490,"£156,000.00",High Level Agreement Partnership - January 2013
Defra,Core Defra ,15/01/2013,Other Current Payments (GB),Policy Delivery DG,International Council for Exploration of the Sea,140113,"£180,728.00",Contribution to International Council for Exploration of the Sea
Defra,Core Defra ,16/01/2013,Current Grants - Local Authorities,Policy Delivery DG,Milton Keynes Council,6050001642,"£28,500.00",Defra's contribution to International Council for the Exploration of the Sea (ICES) 2013
Defra,Core Defra ,16/01/2013,Current Grants - Local Authorities,Policy Delivery DG,Milton Keynes Council,6050001642,"£28,500.00",Grant funding in respect of Reward and Reconginition Fund 
Defra,Core Defra ,16/01/2013,Current Grants E,Policy Delivery DG,Preen Community Interest Company,DEFRA0002,"£31,446.00",Grant funding in respect of Reward and Reconginition Fund 
Defra,Core Defra ,16/01/2013,Current Grants E,Policy Delivery DG,Vehicle Certification Agency,SIAR172188,"£49,015.00",Enforcement of Batteries Regulations
Defra,Core Defra ,16/01/2013,Overhead Incidental Expenses,Policy Delivery DG,Vehicle Certification Agency,SIAR171651,"£60,427.00",Enforcement of Batteries Regulations
Defra,Core Defra ,16/01/2013,Grant-in Aid Payments,Policy Delivery DG,Joint Nature Conservation Committee,80113,"£906,000.00",Grant in Aid payment for 2012-2013
Defra,Core Defra ,18/01/2013,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,114806,"£116,447.49",Polycyclic Aromatic Hydrocarbon Network
Defra,Core Defra ,18/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,ICAEW,SINVINV009431183,"£50,000.00",Contribution to the The Economics of Ecosystems and Biodiversity (TEEB) scoping study
Defra,Core Defra ,18/01/2013,Other Current Payments E,Policy Delivery DG,Local Partnerships LLP,41101066,"£232,852.91",Contract for Private Finance Initiatives projects - November 2012
Defra,Core Defra ,22/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Risk Solutions,160113,"£40,658.66",Evidence on Impacts of Abstraction Reform Options On the Environment and Abstractors.
Defra,Core Defra ,22/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Coal Authority,CA101991,"£444,674.04",Defra and DECC working together to address the polluted water emanating from the Wheal Jane abandoned mine
Defra,Core Defra ,22/01/2013,Other Current Payments (GB),Policy Delivery DG,Rural Payments Agency,333243,"£29,627.61",Sheep and Goat Inspections Administrative Support for 2012/13
Defra,Core Defra ,22/01/2013,Other Current Payments E,Policy Delivery DG,Rural Payments Agency,333244,"£157,853.65","Sheep and goat movement data inputting for Devon, North Yorkshire and Leeds Local Authorities"
Defra,Core Defra ,22/01/2013,Other Current Payments E,Policy Delivery DG,C E F A S,8002513,"£27,868.00",The control of invasive species of crayfish - December 2012 to January 2013
Defra,Core Defra ,22/01/2013,Grant-in Aid Payments,Policy Delivery DG,Consumer Council for Water (CCW),100113,"£1,282,500.00",Grand in Aid Payment for 1st Quarter 2013
Defra,Core Defra ,22/01/2013,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000020022,"£74,300.94",Payments for Bovine Tuberculosis Testing  
Defra,Core Defra ,22/01/2013,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000019450,"£1,459,500.00",Laboratory surveillance 2012-2013
Defra,Core Defra ,22/01/2013,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0026842,"£255,124.00","Emergency Response and Recovery Programme - The UK Government Decontaminiation Service to Support, inform and influence Defra Policy for public good - December 2012"
Defra,Core Defra ,22/01/2013,Evidence Non R&D,Policy Delivery DG,L G C Limited,50203856,"£141,141.78",Transmissible Spongiform Encephalopathy Testing - December 2012
Defra,Core Defra ,22/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP066647,"£34,195.26",Developing a field toolkit for ecological targeting of agricultural diffuse pollution mitigation.
Defra,Core Defra ,22/01/2013,Evidence Non R&D,Policy Delivery DG,Office For National Statistics,1025876,"£83,540.58",Living Costs & Food Survey 2012/13 - Quarter 4
Defra,Core Defra ,22/01/2013,Other Current Payments UK,Policy Delivery DG,Gangmasters Licensing Authority,191212,"£395,960.33",Licensing Expenses and Enforcement Funding - January 2013
Defra,Core Defra ,22/01/2013,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000021415,"£31,583.33",Enhancing Surveillance - November 2012
Defra,Core Defra ,22/01/2013,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000021425,"£31,583.33",Enhancing Surveillance - April 2012 to March 2013
Defra,Core Defra ,22/01/2013,Current Grants E,Policy Delivery DG,Cotswolds Conservation Board,311212,"£122,461.25",Area of Outstanding Natural Beauty grant allocation 2012-2013
Defra,Core Defra ,24/01/2013,Evidence Non R&D,Policy Delivery DG,Extrium Ltd,0214DEFRA,"£106,655.06",Accoustic Modelling/Geographic Information System Advisory Contract
Defra,Core Defra ,24/01/2013,Evidence Non R&D,Policy Delivery DG,Extrium Ltd,0212DEFRA,"£155,332.67",Accoustic Modelling/Geographic Information System Advisory Contract
Defra,Core Defra ,24/01/2013,Current Transfers Abroad UK,Policy Delivery DG,UNEP/CITES Secretariat,2012033,"£33,477.60",International Consortium on Combating Wildlife Crime contribution
Defra,Core Defra ,24/01/2013,Current Transfers Abroad UK,Policy Delivery DG,International Union for Conservation of Nature,SI000570,"£25,000.00",Foreign payment - Analyses of the proposals to amend Convention on International Trade in Endangered Species (CITES) Appendices for CITES' 16th Conference
Defra,Core Defra ,24/01/2013,Current Grants E,Policy Delivery DG,Waste & Resources Action Programme,JAN1140113,"£2,983,101.00",Waste & Resources Action Programme (WRAP) Grant - January 2013
Defra,Core Defra ,24/01/2013,Payments to Agencies GB,Policy Delivery DG,D L O Holding/Prionics AG,33235,"£187,988.18",Foreign payment - Tuberculin order
Defra,Core Defra ,24/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1.80113E+12,"£28,265.83",Potential for nitrification inhibitors and fertiliser nitrogen application timing strategies to reduce direct and indirect nitrous oxide emissions from UK agriculture - January 2013
Defra,Core Defra ,24/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Sac Commercial Ltd,1.80113E+12,"£25,795.83",Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - January 2013
Defra,Core Defra ,24/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1.80113E+12,"£38,241.16",Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - January 2013
Defra,Core Defra ,24/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Marine Biological Association,218,"£51,000.00",Marine Environmental Change Network (MECN)
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511090-42549,"£28,280.33",Selection of Extended Spectrum Beta Lactamase resistance in calves fed waste milk containing antibiotic residues
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511062-42547,"£31,053.50",Pathology and Pathogenesis of prion diseases - January 2013 
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511128-42524,"£134,403.08",Continued vaccine development: Improving BCG and developing non-sensitising vaccines for cattle - January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Food & Environment Research Agency,ERS-511124-42485,"£37,093.33",Badger Survey of England and Wales - January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511069-42510,"£31,474.30",Emerging and Major Infection Diseases of Livestock: Towards breeding of goats for genetically determined Transmissible Spongiform Encephalopathy resistance: A PrP gene survey of the national goat herd and the development of breeding strategies for goats in Great Britain - September 2012 to January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511068-42509,"£53,156.68",Optimising targeted proteomics for quantitative species-specific analyses of animal feed - October 2012 to January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,C E F A S,ERS-511151-42336,"£48,513.34",Disease and mortality in juvenile commercial shellfish - October 2012 to January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511129-42525,"£61,065.75","Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - January 2013"
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511176-42538,"£51,067.16",Studies of natural and experimental Transmissible Spongiform Encephalopathies - January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511059-42506,"£49,578.50",Maintenance of a Transmissible Spongiform Encephalopathy-free sheep flock after importation from New Zealand - January 2013
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,ERS-510792-42404,"£29,005.00",Operation of the UK Eutrophying & Acidifying Atmospheric Pollutants (UKEAP)
Defra,Core Defra ,25/01/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-511126-42556,"£71,234.08",Development of an oral BCG vaccine for badgers - January 2013
