Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description,  Total  
Ministry of Defence,Ministry of Defence,05/08/2013,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,235552,Fiscal asset under construction - capital in year addition,"5,463,151.53"
Ministry of Defence,Ministry of Defence,15/08/2013,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,239316,Estate + facilities management services - accommodation inventory + service,"5,318,476.49"
Ministry of Defence,Ministry of Defence,15/08/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,239255,Utilities consumed - electricity,"4,705,747.46"
Ministry of Defence,Ministry of Defence,23/08/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,242541,Cost of food purchases,"4,688,313.00"
Ministry of Defence,Ministry of Defence,14/08/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,238694,Works - estate management,"4,490,616.47"
Ministry of Defence,Ministry of Defence,22/08/2013,Property leases,Defence Infrastructure Organisation ,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,241743,Property non dwellings private finance initiative - service concession arrangement service charge,"4,157,426.19"
Ministry of Defence,Ministry of Defence,15/08/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,239344,Fiscal asset under construction - capital in year addition,"4,081,734.00"
Ministry of Defence,Ministry of Defence,01/08/2013,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,234336,Fees for professional services excluding legal fees,"3,915,563.00"
Ministry of Defence,Ministry of Defence,29/08/2013,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,243801,Plant + machinery private finance initiative - service concession arrangements service charge,"3,805,872.32"
Ministry of Defence,Ministry of Defence,01/08/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,234380,Fees for professional services excluding legal fees,"3,724,866.66"
Ministry of Defence,Ministry of Defence,14/08/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,238728,Fees for professional services excluding legal fees,"3,724,866.66"
Ministry of Defence,Ministry of Defence,20/08/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,240735,Estate core services charge,"3,626,818.69"
Ministry of Defence,Ministry of Defence,23/08/2013,Property leases,Defence Infrastructure Organisation ,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,242337,Property non dwellings private finance initiative - service concession arrangement service charge,"3,429,487.90"
Ministry of Defence,Ministry of Defence,12/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SKANSKA UK PLC,GU21 6HR,238231,Fiscal asset under construction - capital in year addition,"3,423,041.20"
Ministry of Defence,Ministry of Defence,23/08/2013,Property leases,Defence Infrastructure Organisation ,SEVERN TRENT COSTAIN WATER LIMITED,B37 7YG,242592,Property non dwellings private finance initiative - service concession arrangement service charge,"3,350,616.79"
Ministry of Defence,Ministry of Defence,15/08/2013,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,239112,Plant + machinery private finance initiative - service concession arrangements service charge,"3,195,993.65"
Ministry of Defence,Ministry of Defence,27/08/2013,Property leases,Defence Infrastructure Organisation ,SEVERN TRENT COSTAIN WATER LIMITED,B37 7YG,243125,Property non dwellings private finance initiative - service concession arrangement service charge,"3,189,049.20"
Ministry of Defence,Ministry of Defence,14/08/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,238855,Estate core services charge,"2,957,864.23"
Ministry of Defence,Ministry of Defence,12/08/2013,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,5000100858,Intangible single use military equipment asset  - in year capital addition,"2,944,482.76"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,IT Hardware,Infrastructure,STERIA LIMITED,,V - 9000153894 - 00168045,,"2,905,157.03"
Ministry of Defence,Ministry of Defence,29/08/2013,Grants to NDPBs,Head Office & Corporate Services,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,243899,Grant in aid commonwealth war graves commission,"2,848,115.00"
Ministry of Defence,Ministry of Defence,15/08/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000100994,Estate core services charge,"2,770,676.47"
Ministry of Defence,Ministry of Defence,06/08/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,235972,Estate core services charge,"2,743,697.20"
Ministry of Defence,Ministry of Defence,13/08/2013,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,238378,Grant in aid to the council of reserve forces and cadet associations,"2,737,244.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Property leases,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,235449,Property non dwellings private finance initiative - service concession arrangement service charge,"2,430,808.48"
Ministry of Defence,Ministry of Defence,19/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,240273,Fiscal asset under construction - capital in year addition,"2,429,160.00"
Ministry of Defence,Ministry of Defence,16/08/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,239745,Fiscal asset under construction - capital in year addition,"2,390,992.24"
Ministry of Defence,Ministry of Defence,21/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,241128,Fiscal asset under construction - capital in year addition,"2,352,447.80"
Ministry of Defence,Ministry of Defence,15/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,239527,Estate + facilities management services - accommodation inventory + service,"2,200,972.80"
Ministry of Defence,Ministry of Defence,07/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,236429,Fiscal asset under construction - capital in year addition,"2,152,119.50"
Ministry of Defence,Ministry of Defence,19/08/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,240539,Cost of food purchases,"2,028,014.03"
Ministry of Defence,Ministry of Defence,09/08/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,237419,Utilities consumed - electricity,"1,990,897.33"
Ministry of Defence,Ministry of Defence,16/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,239700,Fiscal asset under construction - capital in year addition,"1,970,884.60"
Ministry of Defence,Ministry of Defence,08/08/2013,Fees for professional services,Head Office & Corporate Services,SERVICES SOUND & VISION CORPORATION,SL9 8TN,237189,Fees for professional services excluding legal fees,"1,898,499.00"
Ministry of Defence,Ministry of Defence,06/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,236027,Fiscal asset under construction - capital in year addition,"1,896,415.03"
Ministry of Defence,Ministry of Defence,16/08/2013,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,239742,Property non dwellings private finance initiative - service concession arrangement service charge,"1,884,299.96"
Ministry of Defence,Ministry of Defence,05/08/2013,Estate management,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,235425,Estate + facilities management services - accommodation inventory + service,"1,883,127.40"
Ministry of Defence,Ministry of Defence,02/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,234949,Equipment support non-project costs,"1,854,633.00"
Ministry of Defence,Ministry of Defence,07/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,236327,Equipment support non-project costs,"1,854,633.00"
Ministry of Defence,Ministry of Defence,30/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,244396,Equipment support non-project costs,"1,854,633.00"
Ministry of Defence,Ministry of Defence,06/08/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,236116,Estate core services charge,"1,844,868.61"
Ministry of Defence,Ministry of Defence,12/08/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,237970,Utilities consumed - electricity,"1,838,873.38"
Ministry of Defence,Defence Science and Technology Laboratory,16/08/2013,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000154171 - 00168883,,"1,832,944.62"
Ministry of Defence,Ministry of Defence,14/08/2013,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,238650,External military training ,"1,791,409.87"
Ministry of Defence,Ministry of Defence,09/08/2013,Grants to NDPBs,Air Command,ROYAL AIR FORCE MUSEUM,NW9 5LL,237691,Operating costs grant in aid to the Royal Air Force museum,"1,781,187.00"
Ministry of Defence,Ministry of Defence,22/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000101296,Works - estate management,"1,671,431.12"
Ministry of Defence,Ministry of Defence,09/08/2013,Food and clothing,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,237384,Cost of food services,"1,607,760.12"
Ministry of Defence,Ministry of Defence,05/08/2013,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,235502,Property dwellings private finance initiative - service concession arrangement service charge,"1,477,123.97"
Ministry of Defence,Ministry of Defence,12-Aug-13,Administration,Head Office & Corporate Services,CABINET OFFICE,CF14 3UW,2.00E+11,General administration,"1,474,383.00"
Ministry of Defence,Ministry of Defence,08/08/2013,Fees for professional services,Joint Forces Command,SERCO LIMITED,RG27 9UY,237188,Fees for professional services excluding legal fees,"1,470,518.87"
Ministry of Defence,Ministry of Defence,05/08/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,235746,Cost of food purchases,"1,393,716.57"
Ministry of Defence,Ministry of Defence,09/08/2013,Externally delivered education and training,Navy Command,BABCOCK FLAGSHIP LIMITED,BS23 6BS,237313,External military training ,"1,303,791.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,235787,Equipment support non-project costs,"1,297,505.67"
Ministry of Defence,Ministry of Defence,14/08/2013,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,238648,Transport fighting equipment operating lease,"1,209,562.33"
Ministry of Defence,Ministry of Defence,14/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000100907,Works services - excluding United States forces/NATO + married quarters,"1,183,445.72"
Ministry of Defence,Ministry of Defence,08/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,236847,Fiscal asset under construction - capital in year addition,"1,181,341.52"
Ministry of Defence,Ministry of Defence,16/08/2013,IT and communication services,Defence Equipment & Support,ATOS IT SERVICES UK LIMITED,WV10 6UH,239648,Information technology services,"1,177,682.50"
Ministry of Defence,Ministry of Defence,15/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,239230,Fiscal asset under construction - capital in year addition,"1,160,115.65"
Ministry of Defence,Ministry of Defence,13/08/2013,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,238461,Intangible single use military equipment asset  - in year capital addition,"1,147,471.20"
Ministry of Defence,Ministry of Defence,29/08/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,244229,Cost of food purchases,"1,137,965.94"
Ministry of Defence,Ministry of Defence,09/08/2013,Fees for professional services,Joint Forces Command,CRANFIELD UNIVERSITY,MK43 0AL,237392,Fees for professional services excluding legal fees,"1,131,432.58"
Ministry of Defence,Ministry of Defence,23/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,242186,Fiscal asset under construction - capital in year addition,"1,093,980.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,235570,Estate + facilities management services - accommodation inventory + service,"1,069,979.89"
Ministry of Defence,Ministry of Defence,12/08/2013,Property leases,Joint Forces Command,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,238109,Property non dwellings private finance initiative - service concession arrangement service charge,"1,049,990.50"
Ministry of Defence,Ministry of Defence,27/08/2013,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,242722,Movement of service personnel,"1,047,078.29"
Ministry of Defence,Ministry of Defence,30/08/2013,Property leases,Joint Forces Command,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,244683,Property non dwellings private finance initiative - service concession arrangement service charge,"1,045,304.79"
Ministry of Defence,Ministry of Defence,30/08/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,244849,Works - estate management,"1,025,309.02"
Ministry of Defence,Ministry of Defence,27/08/2013,Payment of utilities,Defence Equipment & Support,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,242860,Utilities consumed - electricity,"1,021,122.37"
Ministry of Defence,Ministry of Defence,01/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS MARINE LTD,GU14 6YU,234300,Equipment support non-project costs,"1,010,729.50"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 9000154368 - 00168974,,"986,347.02"
Ministry of Defence,Ministry of Defence,08/08/2013,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,237188,Estate + facilities management services - accommodation inventory + service,"981,082.04"
Ministry of Defence,Ministry of Defence,16/08/2013,Payment of utilities,Defence Infrastructure Organisation ,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,239728,Utilities consumed - gas,"974,612.72"
Ministry of Defence,Ministry of Defence,30/08/2013,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,244767,Operating costs grant in aid to the Royal Hospital Chelsea,"948,750.00"
Ministry of Defence,Ministry of Defence,28/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,243413,Works - estate management,"930,631.70"
Ministry of Defence,Ministry of Defence,30/08/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,244685,Estate core services charge,"927,048.45"
Ministry of Defence,Ministry of Defence,14/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,239019,Estate + facilities management services - accommodation inventory + service,"863,129.52"
Ministry of Defence,Ministry of Defence,12/08/2013,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,238099,Intangible single use military equipment asset  - in year capital addition,"854,003.63"
Ministry of Defence,Ministry of Defence,06/08/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,235972,Works - estate management,"847,329.04"
Ministry of Defence,Ministry of Defence,09/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,237397,Fiscal asset under construction - capital in year addition,"840,623.02"
Ministry of Defence,Ministry of Defence,23/08/2013,Medical treatment & stores and welfare services,Joint Forces Command,CHAS.A.BLATCHFORD & SONS LIMITED,RG22 4AH,242159,Medical health services,"839,644.37"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000153894 - 00168049,,"821,176.67"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000154358 - 00169618,,"821,176.67"
Ministry of Defence,Ministry of Defence,05/08/2013,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,235782,Operating costs grant in aid to the royal navy marine society and sea cadets.,"800,900.00"
Ministry of Defence,Ministry of Defence,23/08/2013,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,242346,Estate core services charge,"799,819.56"
Ministry of Defence,Defence Science and Technology Laboratory,23/08/2013,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 9000154262 - 00168895,,"795,276.63"
Ministry of Defence,Ministry of Defence,12/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,237931,Fiscal asset under construction - capital in year addition,"786,697.74"
Ministry of Defence,Ministry of Defence,09/08/2013,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,237751,Property dwellings private finance initiative - service concession arrangement service charge,"781,620.21"
Ministry of Defence,Ministry of Defence,01/08/2013,Fees for professional services,Head Office & Corporate Services,SERCO LIMITED,RG27 9UY,234816,Fees for professional services excluding legal fees,"769,583.00"
Ministry of Defence,Ministry of Defence,14/08/2013,Rental of plant and machinery,Defence Equipment & Support,BRIGGS EQUIPMENT UK LIMITED,WS11 8XW,238674,Plant + machinery private finance initiative - service concession arrangements service charge,"768,790.06"
Ministry of Defence,Ministry of Defence,21/08/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,241067,Estate core services charge,"759,096.07"
Ministry of Defence,Ministry of Defence,09/08/2013,Fuel for military use,Land Forces,HARVEST ENERGY LIMITED,W1G 0PU,237453,Cost of ground diesel fuel consumed,"758,615.36"
Ministry of Defence,Ministry of Defence,07/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,POLAR SHIP INVEST II AS,N5809,3000009465,Equipment support non-project costs,"746,879.40"
Ministry of Defence,Ministry of Defence,21/08/2013,Property leases,Defence Infrastructure Organisation ,T.G. POWER LTD,G51 3EQ,241459,Property non dwellings private finance initiative - service concession arrangement service charge,"746,011.40"
Ministry of Defence,Ministry of Defence,12/08/2013,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,238279,Property dwellings private finance initiative - service concession arrangement service charge,"735,648.47"
Ministry of Defence,Ministry of Defence,02/08/2013,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,235093,Estate + facilities management services - accommodation inventory + service,"713,579.15"
Ministry of Defence,Ministry of Defence,22/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000101296,Works services - excluding United States forces/NATO + married quarters,"711,095.54"
Ministry of Defence,Ministry of Defence,08/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK AEROSPACE LIMITED,BH23 6BS,236763,Equipment support non-project costs,"702,638.00"
Ministry of Defence,Ministry of Defence,30/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000101492,Works services - excluding United States forces/NATO + married quarters,"700,862.07"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 9000153909 - 00167087,,"700,714.00"
Ministry of Defence,Ministry of Defence,02/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,235031,Fiscal asset under construction - capital in year addition,"697,438.62"
Ministry of Defence,Ministry of Defence,19/08/2013,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,240115,Movement of service personnel,"695,628.50"
Ministry of Defence,Ministry of Defence,12/08/2013,Administration,Joint Forces Command,CABINET OFFICE,CF14 3UW,2.00E+11,General administration,"672,959.00"
Ministry of Defence,Ministry of Defence,22/08/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,241981,Works - estate management,"669,114.22"
Ministry of Defence,Ministry of Defence,29/08/2013,"Public relations, including marketing and advertising",Navy Command,GROUPM UK LIMITED,WC1X 8RX,243985,Public relations services including items such as sales marketing and advertising,"662,773.56"
Ministry of Defence,Ministry of Defence,08/08/2013,General services and support,Defence Equipment & Support,SAAB AB,,3000009470,Defence equipment CLS/IOS service charge,"644,728.00"
Ministry of Defence,Ministry of Defence,27/08/2013,Design services and minor equipment purchases,Land Forces,SAAB AB,,3000009515,Equipment support non-project costs,"641,153.00"
Ministry of Defence,Ministry of Defence,23/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,HOLYHEAD MARINE SERVICES LIMITED,LL65 1YB,242303,Equipment support non-project costs,"636,560.53"
Ministry of Defence,Ministry of Defence,02/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,HOLYHEAD MARINE SERVICES LIMITED,LL65 1YB,235080,Equipment support project costs,"635,945.26"
Ministry of Defence,Ministry of Defence,19/08/2013,IT and communication services,Defence Equipment & Support,CGI IT UK LIMITED,CF31 9AP,240230,Information technology services,"631,257.87"
Ministry of Defence,Ministry of Defence,01/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,234831,Estate + facilities management services - accommodation inventory + service,"618,927.68"
Ministry of Defence,Ministry of Defence,19/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,240408,Fiscal asset under construction - capital in year addition,"610,392.88"
Ministry of Defence,Ministry of Defence,07/08/2013,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,236620,Works - estate management,"606,470.00"
Ministry of Defence,Ministry of Defence,08/08/2013,Medical treatment & stores and welfare services,Land Forces,WRVS SERVICES WELFARE LIMITED,CF23 8RP,237271,Welfare services including sports equipment and ministers of religion.,"605,610.79"
Ministry of Defence,Ministry of Defence,12/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,HENRY BROTHERS (MAGHERAFELT)LIMITED,BT45 6HJ,39623,Fiscal asset under construction - capital in year addition,"603,345.60"
Ministry of Defence,Ministry of Defence,30/08/2013,Spend on Inventory - General,Defence Equipment & Support,THOMAS JACKS LIMITED,CV37 9HW,244840,Spend on Inventory - General,"602,739.36"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,Sub Contracted Research,Operations,SELEX ES LIMITED,,V - 9000154369 - 00165902,,"600,000.00"
Ministry of Defence,Ministry of Defence,14/08/2013,International contributions,Defence Equipment & Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,5000100915,Defence military assistance fund international subscriptions and other payments,"599,279.31"
Ministry of Defence,Ministry of Defence,09/08/2013,Fees for professional services,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,237314,Fees for professional services excluding legal fees,"591,802.50"
Ministry of Defence,Ministry of Defence,28/08/2013,Fees for professional services,Defence Equipment & Support,L.E.K. CONSULTING LLP,SW1X 7JL,243434,Fees for professional services excluding legal fees,"590,360.00"
Ministry of Defence,Ministry of Defence,23/08/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,RAYTHEON SYSTEMS LIMITED,CM19 5BB,242547,Single use military equipment asset under construction - capital in year addition,"581,485.00"
Ministry of Defence,Ministry of Defence,13/08/2013,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,238556,Cost of food services,"568,090.66"
Ministry of Defence,Ministry of Defence,08/08/2013,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,236739,Movement of service personnel,"559,084.10"
Ministry of Defence,Ministry of Defence,07/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,236620,Fiscal asset under construction - capital in year addition,"558,697.00"
Ministry of Defence,Ministry of Defence,23/08/2013,Fees for professional services,Defence Infrastructure Organisation ,DELOITTE LLP,MK9 1FD,242191,"The provision of independent advice and guidance related to the structure, management and operations of an organisation","557,065.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Purchase of general transport equipment,Defence Equipment & Support,TERBERG DTS (UK) LIMITED,HX5 9DA,5000100535,Transport other asset - in year capital addition,"551,229.48"
Ministry of Defence,Defence Science and Technology Laboratory,23/08/2013,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000154262 - 00169495,,"539,272.84"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Research,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000153988 - 00164670,,"537,254.76"
Ministry of Defence,Ministry of Defence,08/08/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,236847,Works - estate management,"502,457.83"
Ministry of Defence,Ministry of Defence,08/08/2013,Grants to NDPBs,Land Forces,NATIONAL ARMY MUSEUM,SW3 4HT,237080,Operating costs grant in aid to the National Army museum,"500,000.00"
