Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,636404,3324829
Ministry of Defence,Ministry of Defence,19/05/2010,Payments made in advance,Land Forces,ASPIRE DEFENCE LIMITED,636179,3152518.32
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Air Command,FBS LIMITED,634954,3020274.58
Ministry of Defence,Ministry of Defence,12/05/2010,Insurance,Central TLB,GALLAGHER BASSETT INTERNATIONAL LTD.,632687,2998557.02
Ministry of Defence,Ministry of Defence,20/05/2010,Property leases,Defence Estates,BREY UTILITIES LIMITED,636973,2747600.57
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,637737,2625102.9
Ministry of Defence,Ministry of Defence,12/05/2010,Property leases,Defence Estates,BREY UTILITIES LIMITED,632525,2599085.28
Ministry of Defence,Ministry of Defence,07/05/2010,Property leases,Defence Estates,COAST TO COAST WATER LTD,630278,2572699.45
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Defence Estates,BimA,AP2,2508744.37
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,2401326.05
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,629078,2206610.75
Ministry of Defence,Ministry of Defence,12/05/2010,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,632614,2205437.16
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Defence Estates,BABCOCK DYNCORP LIMITED,638439,2205251.16
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,5000035285,2168716.65
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,633366,2113567.56
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of buildings and military equipment ,Land Forces,NATO,5000035517,2003780.72
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,1836995.2
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Command Joint Operations,SODEXO LTD,5000034922,1831080.88
Ministry of Defence,Ministry of Defence,10/05/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,631553,1828353.09
Ministry of Defence,Ministry of Defence,18/05/2010,Medical treatment & stores and welfare services.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,636108,1802538.48
Ministry of Defence,Ministry of Defence,04/05/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,2000008107,1683970.46
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Facility Management Costs,Infrastructure,SERCO LIMITED,V - 9000123102 - 00081456,1654236.04
Ministry of Defence,Ministry of Defence,14/05/2010,Medical treatment & stores and welfare services.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,634679,1635812.84
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,641367,1626994.04
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Facility Management Costs,Infrastructure,SERCO LIMITED,V - 9000122678 - 00079619,1626664.69
Ministry of Defence,Ministry of Defence,28/05/2010,Grants to Reserves Forces and Cadets Association.,Defence Estates,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,642030,1525530.21
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Air Command,VT AEROSPACE LIMITED,634696,1523011
Ministry of Defence,Ministry of Defence,21/05/2010,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,637837,1479802.63
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Defence Estates,PRIDE (SERP) LTD,641004,1469259.86
Ministry of Defence,Ministry of Defence,12/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VECTOR AEROSPACE INTERNATIONAL  LIMITED,633169,1387948.99
Ministry of Defence,Ministry of Defence,18/05/2010,Externally delivered education and training.,Central TLB,CRANFIELD UNIVERSITY,635617,1343526.83
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,638312,1318560.28
Ministry of Defence,Ministry of Defence,07/05/2010,Property leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,630380,1299871.76
Ministry of Defence,Ministry of Defence,06/05/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,629824,1259316.37
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of buildings and military equipment ,Defence Estates,CARILLIONENTERPRISE LIMITED,634057,1250282.1
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Central TLB,SERCO LIMITED,636740,1237743.68
Ministry of Defence,Ministry of Defence,18/05/2010,Rent and rates,Central TLB,BAKER & MCKENZIE LLP,635533,1225950
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,636284,1206028.96
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,635431,1170155.02
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Defence Estates,INTERSERVE (DEFENCE) LTD,629569,1147952.77
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Defence Estates,BABCOCK DYNCORP LIMITED,630155,1133035
Ministry of Defence,Ministry of Defence,19/05/2010,Insurance,Central TLB,ROYAL & SUN ALLIANCE INSURANCE  PLC,636714,1130687.83
Ministry of Defence,Ministry of Defence,14/05/2010,Property leases,Defence Estates,VEOLIA WATER NEVIS LIMITED,634690,1128033.82
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,628413,1088879.06
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,641158,1072646.06
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,628843,1057468.44
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,637832,1046077.29
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Defence Estates,BABCOCK DYNCORP LIMITED,639767,1033247.48
Ministry of Defence,Ministry of Defence,27/05/2010,Fees for professional services,Central TLB,IBM UNITED KINGDOM LIMITED,641488,1029894
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,629396,1019232.3
Ministry of Defence,Ministry of Defence,18/05/2010,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,635795,1018956.82
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of general transport equipment,Defence Equipment & Support,TERBERG DTS (UK) LIMITED,629119,1007389.32
Ministry of Defence,Ministry of Defence,26/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VECTOR AEROSPACE INTERNATIONAL  LIMITED,641174,995733.83
Ministry of Defence,Ministry of Defence,11/05/2010,Externally delivered education and training.,Air Command,VT LAND LIMITED,632401,987917.75
Ministry of Defence,Ministry of Defence,19/05/2010,Government Procurement Card,MOD,Barclays Bank PLC,10649,979254.86
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Repairs & Maintenance,Infrastructure,SERCO LIMITED,V - 9000123284 - 00082216,964915.42
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,641781,957031.33
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,637729,950181.28
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of buildings and military equipment ,Defence Estates,TRANT CONSTRUCTION LTD,641830,922940.86
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,5000034385,915760.62
Ministry of Defence,Ministry of Defence,10/05/2010,Payment of utilities,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,631173,897381.27
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of buildings and military equipment ,Defence Estates,CARILLIONENTERPRISE LIMITED,633316,880861.1
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,IT Hardware,Infrastructure,SERCO LIMITED,V - 9000123284 - 00082062,869783.4
Ministry of Defence,Ministry of Defence,07/05/2010,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,630898,867111.75
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Land Forces,FBS LIMITED,634954,851490.12
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT AEROSPACE LIMITED,629183,834099.44
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Defence Estates,German Construction Authority,AP2,824622.39
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of buildings and military equipment ,Defence Estates,TRANT CONSTRUCTION LTD,629158,811862.14
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of buildings and military equipment ,Defence Equipment & Support,QINETIQ LIMITED,631556,801102
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,630972,798908.68
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,641147,790616.35
Ministry of Defence,Ministry of Defence,11/05/2010,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,632317,775161.4
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,631923,769837
Ministry of Defence,Ministry of Defence,14/05/2010,Rent and rates,Defence Estates,THE HIGHLAND COUNCIL,634644,760508
Ministry of Defence,Met Office,10/05/2010,Services,Government Business,Logica Uk Limited,291176,753745.22
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Programme Office,EPSRC,V - 9000122944 - 00081770,750626.82
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,635518,750052.88
Ministry of Defence,Ministry of Defence,07/05/2010,Medical treatment & stores and welfare services.,Land Forces,SSAFA GSTT CARE LLP,630896,747985.7
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,640371,747252.31
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,5000035178,745838.98
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,IS Support Service,Infrastructure,SERCO LIMITED,V - 9000122901 - 00080689,739727.39
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,636483,733031.83
Ministry of Defence,Ministry of Defence,07/05/2010,Property leases,Defence Estates,TRICOMM HOUSING LIMITED,630967,727187.43
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Research,Programme Office,QINETIQ LIMITED,V - 9000122676 - 00080526,725000
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Command Joint Operations,SERCO LIMITED,641063,718369.1
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,WILTSHIRE COUNCIL,638383,712656.66
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Defence Estates,PRIDE (SERP) LTD,632238,712224
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of buildings and military equipment ,Defence Estates,PRIDE (SERP) LTD,632238,708617
Ministry of Defence,Ministry of Defence,04/05/2010,Estate management,Land Forces,SODEXO LTD,628426,707337.51
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of buildings and military equipment ,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,628843,698540.07
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of buildings and military equipment ,Defence Estates,VSM ESTATES LIMITED,628485,681477.68
Ministry of Defence,Ministry of Defence,14/05/2010,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,634610,677378.26
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Air Command,VT FLAGSHIP LTD,640388,676955.78
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,636283,675916.74
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,629395,670703.37
Ministry of Defence,Ministry of Defence,24/05/2010,Food and clothing,Land Forces,ARAMARK LTD,638427,666470.82
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of buildings and military equipment ,Defence Estates,CARILLIONENTERPRISE LIMITED,632558,650593.58
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,634887,618299.14
Ministry of Defence,Ministry of Defence,06/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,629986,589045.99
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of buildings and military equipment ,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,641158,589041.01
Ministry of Defence,Ministry of Defence,28/05/2010,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,2.00E+11,572554.04
Ministry of Defence,Ministry of Defence,11/05/2010,Property leases,Land Forces,ASPIRE DEFENCE LIMITED,631811,567483.57
Ministry of Defence,Ministry of Defence,11/05/2010,Fees for professional services,Land Forces,VT LAND LIMITED,632401,566737.71
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Defence Estates,SERCO LIMITED,632289,566157.42
Ministry of Defence,Ministry of Defence,27/05/2010,"Public relations, including marketing and advertising.",Navy Command,CENTRAL OFFICE OF INFORMATION,2.00E+11,565000
Ministry of Defence,Ministry of Defence,05/05/2010,Externally delivered education and training.,Land Forces,VT TRAINING LIMITED,135073,547932.63
Ministry of Defence,Ministry of Defence,27/05/2010,IT and communication services,Land Forces,AIRWAVE SOLUTIONS LIMITED,641229,541287.97
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ITURRI SA,3000004169,533019.93
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of buildings and military equipment ,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,636482,531348.95
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Sub Contracted Work,Programme Office,PHOTONIS FRANCE SAS,V - 0000000496 - 00082591,524304.63
Ministry of Defence,Ministry of Defence,13/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,633879,524118.25
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,629667,522944.79
Ministry of Defence,Met Office,21/05/2010,06 Accommodation,Chief Financial Officer,Stratus Integrated  Ltd,292179,516081.55
Ministry of Defence,Ministry of Defence,14/05/2010,Food and clothing,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,634091,509788.51
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,632381,509121.82
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,636833,504820.58
Ministry of Defence,Ministry of Defence,25/05/2010,Fuel for military use,Land Forces,ARVAL UK LTD,639749,498030.3
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Land Forces,SODEXO LTD,629907,497481.31
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,630971,494761.08
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Land Forces,STADTWERKE GUETERSLOH GMBH,5000035769,494523.14
Ministry of Defence,Ministry of Defence,14/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,634658,482706.93
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Air Command,COMPASS GROUP UK AND IRELAND LIMITED,637026,480769.92
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,630858,473061.57
Ministry of Defence,Ministry of Defence,04/05/2010,Externally delivered education and training.,Land Forces,WILTSHIRE AND SOMERSET   COLLEGES PARTNERSHIP LIMITED,628495,472382.01
Ministry of Defence,Ministry of Defence,27/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,641741,448535
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of buildings and military equipment ,Defence Estates,CARILLIONENTERPRISE LIMITED,635579,446860.09
Ministry of Defence,Ministry of Defence,12/05/2010,Fuel for military use,Land Forces,ARVAL UK LTD,632471,446194.26
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,441701.36
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of buildings and military equipment ,Defence Estates,PRIDE (SERP) LTD,629021,434346.98
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Defence Estates,THE HEREFORDSHIRE COUNCIL,640342,425656.02
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,629272,425611.17
Ministry of Defence,Met Office,07/05/2010,Services,Science And Technology,Bt Plc,291295,419992.48
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Research,Programme Office,QINETIQ LIMITED,V - 9000122900 - 00080748,419909.45
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Central TLB,MODUS SERVICES LIMITED,636484,411203.67
Ministry of Defence,Ministry of Defence,18/05/2010,Medical treatment & stores and welfare services.,Central TLB,PETERBOROUGH AND STAMFORD  HOSPITALS NHS FOUNDATION TRUST,635945,404763.46
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,637704,402759.46
Ministry of Defence,Ministry of Defence,06/05/2010,Food and clothing,Land Forces,ISS MEDICLEAN LTD,629570,402667.81
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Central TLB,CITY OF WESTMINSTER,637694,399731.99
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,638324,394226.85
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,SERCO LIMITED,637394,391719.22
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Defence Estates,DEBUT SERVICES LIMITED,633366,389871.21
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,629667,385263.6
Ministry of Defence,Ministry of Defence,05/05/2010,Fees for professional services,Central TLB,TNT UK LIMITED,629151,381006.83
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Air Command,VT FLAGSHIP LTD,640388,377997.37
Ministry of Defence,Ministry of Defence,19/05/2010,Food and clothing,Land Forces,ARAMARK LTD,636174,377805.31
Ministry of Defence,Ministry of Defence,27/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,5000035643,377720.91
Ministry of Defence,Ministry of Defence,27/05/2010,Fees for professional services,Defence Estates,IMSERV EUROPE LIMITED,641493,377494.28
Ministry of Defence,Ministry of Defence,17/05/2010,Externally delivered education and training.,Land Forces,DEFLOG VQ TRUST LIMITED,634892,375588.98
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Land Forces,ARAMARK LTD,631805,374407
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of buildings and military equipment ,Defence Estates,PRIDE (SERP) LTD,637352,360682
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,631848,359766.93
Ministry of Defence,Ministry of Defence,14/05/2010,Property leases,Defence Estates,COVESEA LIMITED,634100,359693.88
Ministry of Defence,Ministry of Defence,05/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,629100,359569.93
Ministry of Defence,Ministry of Defence,07/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,630898,349589.89
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ITURRI SA,3000004175,347456.18
Ministry of Defence,Ministry of Defence,18/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,636019,346088.67
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Defence Estates,PRIDE (SERP) LTD,629820,335310.73
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,629668,333891.39
Ministry of Defence,Ministry of Defence,14/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,634610,326629.25
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of plant and machinery,Defence Equipment & Support,LEICA GEOSYSTEMS LTD,628803,318726.66
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,630474,318674.72
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,636922,314882.87
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,314051.94
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,HESCO BASTION LTD,629544,312638.36
Ministry of Defence,Ministry of Defence,14/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,634658,312373.1
Ministry of Defence,Ministry of Defence,14/05/2010,Medical treatment & stores and welfare services.,Central TLB,PLYMOUTH HOSPITALS NHS TRUST,634522,311667
Ministry of Defence,Ministry of Defence,07/05/2010,Payment of utilities,Land Forces,NEW ENERGIE GMBH,5000034591,306647.43
Ministry of Defence,Ministry of Defence,07/05/2010,Medical treatment & stores and welfare services.,Land Forces,SSAFA GSTT CARE LLP,5000034602,301052.63
Ministry of Defence,Ministry of Defence,21/05/2010,Medical treatment & stores and welfare services.,Central TLB,PETERBOROUGH AND STAMFORD  HOSPITALS NHS FOUNDATION TRUST,638111,299968
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Land Forces,ARAMARK LTD,638427,299791.65
Ministry of Defence,Ministry of Defence,14/05/2010,Food and clothing,Land Forces,AVENANCE PLC,633983,297490.75
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of buildings and military equipment ,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,629163,297178
Ministry of Defence,Ministry of Defence,19/05/2010,Payments made in advance,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,636291,294945
Ministry of Defence,Ministry of Defence,28/05/2010,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,642155,294783.68
Ministry of Defence,Ministry of Defence,14/05/2010,Rent and rates,Defence Estates,SOUTH HAMS DISTRICT COUNCIL,634599,294441.37
Ministry of Defence,Ministry of Defence,14/05/2010,Property leases,Land Forces,ASPIRE DEFENCE LIMITED,633976,294257.56
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,TURNER VIRR & CO. LTD,630003,292934.91
Ministry of Defence,Ministry of Defence,07/05/2010,Externally delivered education and training.,Land Forces,TQ EDUCATION AND TRAINING  LIMITED,630964,292110
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Air Command,T.G. POWER LTD,631686,290305.23
Ministry of Defence,Ministry of Defence,19/05/2010,International contributions,Defence Equipment & Support,NAMSA,5000035117,289043.48
Ministry of Defence,Ministry of Defence,12/05/2010,Property leases,Defence Estates,BANNOCKBURN HOMES LIMITED,632497,285701.63
Ministry of Defence,Ministry of Defence,07/05/2010,Externally delivered education and training.,Land Forces,WILTSHIRE AND SOMERSET   COLLEGES PARTNERSHIP LIMITED,631006,281527.14
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Land Forces,SODEXO LTD,640286,276964.75
