Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Capital Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000061671,114000,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Capital Grants,School Resources Group,HAMMERSMITH ACADEMY TRUST ACCOUNT,4000061682,424064.8,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Capital Grants,School Resources Group,HARRIS CTC,4000061683,63844.84,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Capital Grants,School Resources Group,HARRIS GIRLS ACADEMY EAST DULWICH,4000061684,141558.25,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,23/09/2011,Capital Grants,School Resources Group,HARRIS ACADEMY MERTON,4000061797,484725.29,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,23/09/2011,Capital Grants,School Resources Group,HEREFORD STEINER ACADEMY,4000061798,250892.96,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/09/2011,Capital Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000062551,87883.23,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/09/2011,Capital Grants,School Resources Group,CITY OF LONDON ACADEMY ISLINGTON LTD,4000062561,809286.01,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,07/09/2011,Professional Services Other,Free School Group,BRITISH COUNCIL,4000060911,322182,"Costs related to a third party to administer grant funding on behalf of DfE. 
Specifically a payment of £194,980 for the Youth in Action Programme and a payment of £127,202 for the Comenius Programme a sub programme of the Lifelong Learning Programme. These are quarterly payments for delivering the programmes.",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/09/2011,Professional Services Other,Free School Group,NATIONAL FUND FOR EDUCATIONAL RESEARCH,4000060758,82489,"Costs related to a third party to administer grant funding on behalf of DfE.
Specifically for Eurydice a sub programme of the European Commission’s Lifelong Learning Programme 2007-2013 delivered by NFER. The Eurydice Programme addresses the requirement to provide full, accurate and readily comparable information on education systems throughout Europe as part of the LLP. The payment is a quarterly payment. ",VCS
Department for Education,DEPARTMENT FOR EDUCATION,05/09/2011,Professional Services Other,Chief Information Officer Group,ATKINS MANTIX LTD,4000060782,41129.17,"Costs related to a third party to administer grant funding on behalf of DfE.
Specifically the novation of contract from BECTA. ",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,16/09/2011,Professional Services Other,Chief Information Officer Group,ATKINS MANTIX LTD,4000061352,41129.17,"Costs related to a third party to administer grant funding on behalf of DfE.
Specifically the novation of contract from BECTA. ",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,30/09/2011,DfE Programme Costs,Free School Group,PLACE GROUP LTD,4000062574,24630.7,"Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/09/2011,Professional Services Consultancy,Children Young People and Families Improving Information Sharing and Management Group,PA CONSULTING,4000061046,62400,"Costs related to advisory services including their fees, travel and expenses.
Consultancy costs relating to National eCAF",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Professional Services Consultancy,Children Young People and Families Improving Information Sharing and Management Group,ATKINS LTD,4000061206,39441.6,"Costs related to advisory services including their fees, travel and expenses.
Consultancy costs relating to National eCAF",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,22/09/2011,Professional Services Consultancy,Families Group,DIGITAL PUBLIC,4000061740,99373.13,"Costs related to advisory services including their fees, travel and expenses.
Professional and specialist support to the Family Information Direct Programme (ranging from specialist expertise in running telephone helplines to advising on the development of innovative online services).",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,Professional Services Consultancy,Internal Audit,HM REVENUE & CUSTOMS,2000448,32376,"Costs related to advisory services including their fees, travel and expenses.
Specifically tax and NI contributions for independent members of the Audit and Risk Assurance Committee. Based on an estimate with a future repayment expected",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,06/09/2011,Professional Services Consultancy,Academies Delivery Group,NABARRO LLP,4000060870,107002.31,"Costs related to advisory services including their fees, travel and expenses.
Specifically to provide specialist  legal advice for Academies",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,28/09/2011,Professional Services Consultancy,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,4000062126,56167,Costs related to advisory shared corporate accounting services,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,28/09/2011,Professional Services Consultancy,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,4000062126,129916,Costs related to advisory shared corporate payroll services,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,28/09/2011,Professional Services Consultancy,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,4000062126,62083,Costs related to advisory shared corporate purchase / procurement services,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000060986,10489.22,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc. 
Standard monthly contractual payment for planned maintenance and UPS monthly service charge for DfE Darlington site",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Facilities,Free School Group,NORLAND MANAGED SERVICES LTD,4000061231,158009.93,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.
Specifically essential mechanical and electrical works at European School Culham Jul/Aug.",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Facilities,Chief Information Officer Group,SGP PROPERTY & FACILITIES MNGT LTD,4000061003,33683.48,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.
Standard monthly contractual payment for planned maintenance and UPS monthly service charge for 83 Piccadilly",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000060986,38597.34,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.
Standard monthly contractual payment for planned maintenance and UPS monthly service charge for DfE London site",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000060986,8703.72,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.
Standard monthly contractual payment for planned maintenance and UPS monthly service charge for DfE Runcorn site",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000060986,12659.35,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.
Standard monthly contractual payment for planned maintenance and UPS monthly service charge for DfE Sheffield site",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,15/09/2011,Office Solutions,School Standards Group,PROLOG,4000061313,36,Costs related to charges for printing and binding services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Personnel Related,People and Change,EDENRED,4000061916,56499.15,Costs related to childcare services provided for staff including the management fee and subsidy costs,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,07/09/2011,Facilities,Chief Information Officer Group,MITIE CLEANING & ENVIRONMENTAL,4000060924,46590.7,Costs related to cleaning goods and services. Monthly payments,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,12/09/2011,Facilities,Chief Information Officer Group,MITIE CLEANING & ENVIRONMENTAL,4000061082,46590.7,Costs related to cleaning goods and services. Monthly payments,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,13/09/2011,Professional Services Other,Curriculum and Behaviour Group,ECORYS UK LTD,4000061147,27561.6,"Costs related to fees and expenses of professionals from the private sector, for example implementing advice or changes",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,16/09/2011,Professional Services Other,Curriculum and Behaviour Group,CAPGEMINI UK PLC,4000061353,16560,"Costs related to fees and expenses of professionals from the private sector, for example implementing advice or changes",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/09/2011,Professional Services Other,Academies Delivery Group,OWEN EDUCATION LTD,4000061044,31549.32,"Costs related to fees and expenses of professionals from the private sector, for example implementing advice or changes.
Specifically for the provision of specialist education advice for the development of new Free Schools and Sponsored Academies.",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,29/09/2011,Professional Services Other,Academies Delivery Group,OWEN EDUCATION LTD,4000062363,188700.83,"Costs related to fees and expenses of professionals from the private sector, for example implementing advice or changes.
Specifically for the provision of specialist education advice for the development of new Free Schools and Sponsored Academies.",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Professional Services Other,Academies Delivery Group,VEREDUS C/O CAPITA RESOURCING LTD,4000061246,74247.06,"Costs related to fees and expenses of professionals from the private sector, for example implementing advice or changes.
Specifically liaising with LAs, schools and sponsors in the brokering of sponsored Academy solutions for underperforming schools.",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Professional Services Consultancy,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,71.69,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Professional Services Consultancy,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,137.74,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Professional Services Consultancy,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,97.92,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,01/09/2011,Professional Services Other,Academies Delivery Group,OWEN EDUCATION LTD,4000060721,96690.7,"Costs related to fees and expenses of professionals from the private sector, for example implementing advice or changes.
Specifically for the provision of specialist education advice for the development of new Free Schools and Sponsored Academies.",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Children Young People and Families Early Years Extended Schools and Special Needs Group,BT,4000061403,11.27,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Finance and Commercial Group,BT,4000061403,89.12,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Finance and Commercial Group,BT,4000061403,29.83,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,"Strategic Analysis, Research and Policy Impact Group",BT,4000061403,3.07,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,CHECK,BT,4000061403,1.78,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Which Group in CYPFD? ,BT,4000061403,10.08,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Which Group in CYPFD? ,BT,4000061403,36.1,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Finance and Commercial Group,BT,4000061403,1332.88,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Finance and Commercial Group,BT,4000061403,12.56,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,People and Change,BT,4000061403,16.19,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,People and Change,BT,4000061403,14.89,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Chief Information Officer Group,BT,4000061403,292.54,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Chief Information Officer Group,BT,4000061403,0.36,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,School Standards Group,BT,4000061403,4.06,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,School Standards Group,BT,4000061403,315.17,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,School Resources Group,BT,4000061403,23.04,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Supporting Children and Young People Group 1,BT,4000061403,3.62,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Post 16 Young People Learning Agency Resources Group,BT,4000061403,103.31,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Qualifications Strategy and Reform Group,BT,4000061403,57.49,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Qualifications Strategy and Reform Group,BT,4000061403,27.66,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Qualifications Strategy and Reform Group,BT,4000061403,300.06,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Young People Workforce Group,BT,4000061403,7.21,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Academies Delivery Group,BT,4000061403,30.9,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Communications Group,BT,4000061403,21.64,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Communications Group,BT,4000061403,85.05,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Communications Group,BT,4000061403,34.46,Costs related to fixed and mobile telecoms including equipment and call charges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,ICT,Chief Information Officer Group,BT,4000061403,2538.06,"Costs related to fixed and mobile telecoms including equipment and call charges.
Specifically BT Onebill - quarterly charges",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/09/2011,Office Solutions,Finance and Commercial Group,HM REVENUE & CUSTOMS,2000434,8306.77,"Costs related to general office expenses, e.g. newspapers, magazines, non-professional body subscriptions.
Specifically this relates to tax and national insurance contributions for 2010-11 Pay Settlement Agreement and covers Royal Garden; membership fees; investitures and prizes",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/09/2011,Office Solutions,People and Change,CABINET OFFICE,4000061139,28000,"Costs related to general office expenses, e.g. newspapers, magazines, non-professional body subscriptions.
Specifically this was in respect of advertisement costs relating to external recruitment of staff",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/09/2011,Professional Services Other,Academies Delivery Group,DLA PIPER UK LLP,4000061146,62340.72,"Costs related to advisory services including their fees, travel and expenses.
Specifically to provide specialist  legal advice for Academies",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Professional Services Other,Academies Delivery Group,DLA PIPER UK LLP,4000061914,69429.32,"Costs related to advisory services including their fees, travel and expenses.
Specifically to provide specialist  legal advice for Academies",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/09/2011,Professional Services Other,Group Legal Advisors Office,CABINET OFFICE,2000453,101645,"Costs related to legal service provided externally for litigation activity (excluding the Treasury Solicitor).
Specifically this was for the services of the Office of the Parliamentary Counsel for their work on drafting primary legislation.",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,15/09/2011,Professional Services Other,School Resources Group,TREASURY SOLICITOR TSOL,4000061324,25000,"Costs related to legal Services provided by the Treasury Solicitor for litigation activity.
Specifically this was reimbursement of legal costs to Luton Borough Council (part of the total full and final settlement of £275k)",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,15/09/2011,Office Solutions,School Standards Group,PROLOG,4000061313,21.6,"Costs related to reprographic, photo and design goods and services (excluding photocopiers, multifunctional devices and printers)",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,20/09/2011,Professional Services Other,Curriculum and Behaviour Group,NATIONAL CENTRE FOR SOCIAL RESEARCH,4000061485,171660,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically the evaluation of Free School Meal pilots",VCS
Department for Education,DEPARTMENT FOR EDUCATION,09/09/2011,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,IPSOS MORI,4000061038,43956,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically this was for Early Years research and evaluation activities on Early Years",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,TNS UK LTD,4000061441,26400,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically this was for Early Years research and evaluation activities on Early Years",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,30/09/2011,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",SOFTWARE FOR DATA ANALYSIS LTD,4000062578,30802,"Costs related to research, survey data analysis that will inform policy decision making.
Specifically for the Data Management in the Longitudinal Study of Young People in England (LSYPE)",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",NFER TRADING LIMITED INV T,4000061695,675000,"Costs related to research, survey data analysis that will inform policy decision making.
Specifically for the National Centre: IEA (International Association for the evaluation of educational achievement) Progress In International Reading Literacy Study 2011 And Trends In International Mathematics And Science Study 2011",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,15/09/2011,Professional Services Other,Qualifications Strategy and Reform Group,ALPHA PLUS CONSULTANCY LTD,4000061271,43945.96,"Costs related to research, survey data analysis that will inform policy decision making.
Specifically for research and evaluation of GCSE maths linked pair pilot.  ",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CAPITA EDUCATION RESOURCING,4000061211,118460.6,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CRIMINAL RECORDS BUREAU,4000061217,152284,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE MEDIA GROUP TMG TV LTD,4000061241,192849,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,02/09/2011,Personnel Related,Finance and Commercial Group,HM REVENUE & CUSTOMS,2000434,65712.85,"Costs related to staff expenses including membership fees to professional bodies and CRB checks.
Specifically this relates to tax and national insurance contributions for 2010-11 Pay Settlement Agreement and covers retirement awards and Instant Rewards ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Professional Services Learning and Development,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000061676,60.93,"Costs related to staff training and development including materials, courses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000060969,55.15,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000060969,92.92,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000060969,1197.11,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000060969,140.24,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000060969,184.48,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000060969,236.71,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000060969,291.3,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000060969,696.59,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000060969,52.76,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000060969,365.62,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000060969,422.82,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000060969,1545.9,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000060969,379.92,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000060969,939.58,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000060969,96.27,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000060969,284.96,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000060969,807.13,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000060969,227.42,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000060969,77.3,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/09/2011,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000060969,781.9,Costs related to staff travel expenses for official duty,Commercial
