Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,FAC
Ministry of Justice,MoJ HQ,21-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,CGI IT UK LTD,1140371,"22,123.00 ",L-R-4172-01 TRIM additional Storage Space (MOJ EDRM system storage),
Ministry of Justice,MoJ HQ,21-Aug-14 ,223000-Other Expenditure,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1140363,"24,179.67 ","Conference package at Millennium Gloucester for 2/3 day conference for European Arrest Warrant Judicial Network Project, option reference GS41319/1",
Ministry of Justice,MoJ HQ,21-Aug-14 ,223000-Other Expenditure,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1140363,"2,184.00 ","Conference package at Millennium Gloucester for 2/3 day conference for European Arrest Warrant Judicial Network Project, option reference GS41319/1 (VAT exempt)",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,11.17 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,82.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,82.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,77.34 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MF600-Directorate of Judicial Offices,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,78.26 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,27-Aug-14 ,226000-Court Costs,RF999-JPG - DGs Office,J S S C - SKILLS FOR JUSTICE#RF20000006,1140753,"626,000.00 ",Project funding (via MOJ) from London Prob Trust following its closure,
Ministry of Justice,MoJ HQ,15-Aug-14 ,246000-Current Grants,RG999-CFLAP Accumulator,CAFCASS,4856,"600,000.00 ",Cafcass GIA funding for NACCC accredited contact centres.,
Ministry of Justice,MoJ HQ,15-Aug-14 ,263000-Other Contracted Out Services,RG999-CFLAP Accumulator,CAFCASS,4857,"325,446.85 ",CAFCASS - Court directed child contact interventions including SPIP and DVPP services,
Ministry of Justice,MoJ HQ,15-Aug-14 ,263000-Other Contracted Out Services,RG999-CFLAP Accumulator,CAFCASS,4855,"321,919.51 ",CAFCASS - Court directed child contact interventions including SPIP and DVPP services,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,205.63 ,"22"" LCD Display",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,113.16 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1140952,50.90 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,28-Aug-14 ,246000-Current Grants,RG999-CFLAP Accumulator,REUNITE INTERNATIONAL,1140891,"29,000.00 ","Grant to Reunite International Child Abduction Centre. Quarterly funding for the 24/7 operation of its advice line which deals with queries on the prevention of international parental child abduction, contact & relocation.",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,82.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1140952,82.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,01-Aug-14 ,245000-Grants in Aid to NDPBs,RZ500-Arms Length Bodies (JPG),CAFCASS,4807,"9,363,025.00 ",CAFCASS GIA Grant,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,04-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,TAMESIDE METROPOLITAN BOROUGH,1139414,"88,176.20 ",Rehabilitation Programme - Transfer of probation liabilities and assets from 35 LGPS Admin Authorities to the Greater Manchester Pension Fund (VAT). ,
Ministry of Justice,MoJ HQ,04-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,TAMESIDE METROPOLITAN BOROUGH,1139414,"-88,176.20 ",Rehabilitation Programme - Transfer of probation liabilities and assets from 35 LGPS Admin Authorities to the Greater Manchester Pension Fund (VAT). ,
Ministry of Justice,MoJ HQ,04-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,TAMESIDE METROPOLITAN BOROUGH,1139414,"440,881.00 ",Rehabilitation Programme - Transfer of probation liabilities and assets from 35 LGPS Admin Authorities to the Greater Manchester Pension Fund. ,
Ministry of Justice,MoJ HQ,28-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,TAMESIDE METROPOLITAN BOROUGH,1140918,"310,442.00 ",Transfer of probation liabilities and assets from 35 LGPS Admin Authorities to the Greater Manchester Pension Fund.,
Ministry of Justice,MoJ HQ,18-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,PA CONSULTING GROUP,1140218,"138,296.64 ",Rehabilitation Programme - Transition Managers,
Ministry of Justice,MoJ HQ,28-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,TAMESIDE METROPOLITAN BOROUGH,1140918,"113,006.00 ",Rehabilitation Programme - Transfer of probation liabilities and assets from 35 LGPS Admin Authorities to the Greater Manchester Pension Fund.,
Ministry of Justice,MoJ HQ,18-Aug-14 ,264000-Consultancy,LZ600-Transforming Justice,PA CONSULTING GROUP,1140218,"63,050.00 ",Support on HR issues during the evaluation stage of the competition.,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,41.41 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,11.62 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,78.26 ,"Provision of IT equipment, applications and service to the rehabilitation programme team",
Ministry of Justice,MoJ HQ,28-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,LOCKHEED MARTIN UK LIMITED,1140848,"42,231.08 ",LOCKHEED: Discovery & Initiation for Rehabilitation Programme service support desk changes,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,CMC PARTNERSHIP (UK) LTD,1140616,"22,800.00 ",Rehabilitation Programme - CMC - ICT sub-programme PMO Managed Service.,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,CMC PARTNERSHIP (UK) LTD,1140616,"4,560.00 ",Rehabilitation Programme - CMC - ICT sub-programme PMO Managed Service. (VAT),
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,51.56 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,116.08 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,78.26 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,"2,145.00 ",IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,199.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,257.46 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,"2,145.00 ",IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,199.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1140952,257.46 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,01-Aug-14 ,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CCRC (CRIMINAL CASES REVIEW COMMISSION),4808,"550,000.00 ",Monthly Grant in Aid payment to CCRC (August),
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,168.10 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,6.38 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,5.13 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1140952,242.09 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR MOPAC#RB31110775,1140308,"2,360,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,223000-Other Expenditure,RB999-JPG - CJRD,CROWN PROSECUTION SERVICE#RB31110778,1140311,"1,500,000.00 ",Funding of Witness Care Units,
Ministry of Justice,MoJ HQ,08-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR GREATER MANCHESTER#RB31110766,1139752,"720,481.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,08-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR WEST MIDLANDS#RB31110767,1139753,"703,448.28 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR DEVON & CORNWALL#RB31110773,1140306,"559,269.65 ",2014/15 Competed Fund Grant Award,
