EA JAN 2012 - >£25k Payments report ,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
10-Jan-12,Building Repair & Maintenance,National Facilities Manager,Vinci Construction UK Ltd,1028592,36241.68,Ipswich Office Windows and Roof Project,IP14 1RF,,30199821,HOFAC00001,Administration
10-Jan-12,Building Repair & Maintenance,National Facilities Manager,Roshal Space Consultants Ltd,1029124,27600.00,Roofing works at Owston Ferry,LE67 8QT,,30144299,HOFAC00001,Administration
19-Jan-12,Building Repair & Maintenance,National Accomodation Change Fund,Gelder Ltd,1033315,57901.25,Decorations and power installations to 2nd floor (50%).,LN1 2DS,,30199819,REAN001298,Administration
19-Jan-12,Building Repair & Maintenance,Head of Corporate Assets,Gelder Ltd,1033316,25168.80,Agreed January interim valuation for lighting installations.,LN1 2DS,,30199819,HORES00124,Administration
24-Jan-12,Building Repair & Maintenance | Building Management | Property & Construction Consultancy | Electricity | Gas | Water,FM Operating Unit - Central and South East | National Estates Manager,DEFRA,1034619,48049.50,Service charge expenditure in arrears - Dragonfly house - 01.10.11 to 30.12.11 ,B3 2ED,,,,Administration
03-Jan-12,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,1027194,82964.16,Rod Licences Postage,PE4 5PG,,,,Administration
12-Jan-12,Business Process Outsourcing Services,E and B Land and Water,Angling Development Board,1030413,100000.00,Project to increase access to local fishing for people of all abilities and backgrounds,NG8 6PE,,,EBPLW11012,Administration
24-Jan-12,Clothing,HO Operations Delivery,Burlington Uniforms Ltd,1034381,138032.10,Periodic upgrade and replacement of protective high visibility clothing for front line staff,EN3 7PX,,30125847,,Administration
03-Jan-12,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,1026732,29417.76,Water Resources in the South East (WRSE) Project,SN4 0QD,,30071913,IMSE900002,Project
03-Jan-12,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,1026774,25576.57,Sandwich Bay Sea Defences (Deal),SN4 0QD,,30071913,IMSO001056,Project
03-Jan-12,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,1026803,33626.65,Thames high impact refurbishment programme.,SN4 0QD,,30071913,IMSE500047,Project
03-Jan-12,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,1026807,131903.60,Thames high impact refurbishment programme.,SN4 0QD,,30071913,IMSE500047,Project
03-Jan-12,Construction Service Providers,NE Capital WiP,Halcrow Group Ltd,1027070,32880.79,Lower Todmorden and Walsden Water Flood Alleviation Scheme (FAS),SN4 0QD,,30071913,IMNE000616,Project
03-Jan-12,Construction Service Providers,NE Capital WiP,Halcrow Group Ltd,1027081,40457.78,Greatham North Flood Alleviation Scheme. For the supervision of contractors | Supply of Engineering and Environmental Consultancy Services under the NEECA2 Framework Agreement,SN4 0QD,,30071913,IMNE000823,Project
03-Jan-12,Construction Service Providers,SW Capital WiP,Halcrow Group Ltd,1027812,28906.30,"Bat Roost survey, Planning Application fee and Reptile Mitigation option and costings for Stoke Canon. Increase includes badger sett closure, doormice survey, railway survey, project management and detailed design for Stoke Canon ",SN4 0QD,,30071913,IMSW001685,Project
10-Jan-12,Construction Service Providers,SE Capital WiP,Black & Veatch Ltd,1029561,54355.69,Banbury Flood Alleviation Scheme Site,RH1 1LQ,,30072271,IMTH000615,Project
10-Jan-12,Construction Service Providers,MI Capital WiP,Black & Veatch Ltd,1029700,108882.27,Project Management - Detail Design during construction - Site Supervision - Landscape Design - Expenses | Supply of Engineering and Environmental Consultancy Services under the NEECA2 Framework Agreement | Nottingham,RH1 1LQ,,30072271,IMMI000642,Project
12-Jan-12,Construction Service Providers,SE Environment and Performance Manager,EC Harris Llp,1029856,45689.44,Support Services to the Environment and Water framework directive programme,M60 3NT,,30314195,RESE000028,Project
17-Jan-12,Construction Service Providers,SW Capital WiP,Atkins Ltd,1030415,56684.68,Teignmouth Estuary Flood Alleviation Scheme Back Beach with Atkins for redesign of wall alignment at ABP. ,KT18 5BW,,30072266,IMSW000780,Project
17-Jan-12,Construction Service Providers,AN Capital WiP,Atkins Ltd,1031355,31464.85,Design and build contract for the replacement gate ,KT18 5BW,,30072266,IMAN001728,Project
24-Jan-12,Construction Service Providers,SE Capital WiP,Ove Arup & Partners Ltd,1031642,55012.79,West Wittering Flood Banks,NE1 3PL,,30072279,IMSO001076,Project
19-Jan-12,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,1031835,48288.01,Steeple Bumpstead Flood Risk Management,PE3 8DW,,30071934,IMAN001770,Project
19-Jan-12,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,1031908,32415.47,Chelmsford Flood Alleviation Scheme for archaeological desk study with Royal Haskoning. | Supply of Engineering and Environmental Consultancy Services under the NEECA2 Framework Agreement,PE3 8DW,,30071934,IMAN001326,Project
19-Jan-12,Construction Service Providers,NW Ambition Project Manager,Haskoning UK Ltd,1032078,34200.00,North West Fish Pass package,PE3 8DW,,30071934,RENW001928,Project
19-Jan-12,Construction Service Providers,SE SSD - AEM East,Haskoning UK Ltd,1032090,38068.73,Adur and Ouse Pilot Catchment,PE3 8DW,,30071934,RESE000102,Project
19-Jan-12,Construction Service Providers,SW Wessex-Area Mgr,Haskoning UK Ltd,1032454,30000.00,Fyke Netting Surveys Eel,PE3 8DW,,30071934,RESW001147,Project
17-Jan-12,Construction Service Providers,SE Capital WiP,Jacobs Engineering UK Ltd,1032612,75965.24,Medmerry Managed Realignment – to provide archaeological services and additional work on Earnley Drainage Study,G2 7HX,,30072261,IMSO001023,Project
17-Jan-12,Construction Service Providers,SE West Thames - AEM East,Jacobs Engineering UK Ltd,1032646,31401.55,Fobney Island Construction Phase - Supply of Engineering and Environmental Consultancy Services under the NEECA2 Framework Agreement ,G2 7HX,,30072261,RESE000111,Project
19-Jan-12,Construction Service Providers,SE Capital WiP,Jacobs Engineering UK Ltd,1033816,42194.74,Battle Bourne Embankment Flood Alleviation Scheme- NEECA2 Framework Agreement ,G2 7HX,,30072261,IMSE500056,Project
24-Jan-12,Construction Service Providers,TH Capital WiP,Ove Arup & Partners Ltd,1033844,25189.86,Thames Barrier Perimeter Security Project,NE1 3PL,,30072279,IMTH001544,Project
19-Jan-12,Construction Service Providers,AN Capital WiP,Atkins Ltd,1033869,34214.26,Godmanchester Flood Defence Improvement Scheme,KT18 5BW,,30072266,IMAN000624,Project
24-Jan-12,Construction Service Providers,SE Capital WiP,Atkins Ltd,1033898,32248.01,Thames barrier Drive Equipment ,KT18 5BW,,30072266,IMTH001493,Project
24-Jan-12,Construction Service Providers,SE Capital WiP,Atkins Ltd,1033904,31513.31,Stone Wharf increase to Atkins order due to scope extended to include detailed design preparation of contract docs. ,KT18 5BW,,30072266,IMSE100049,Project
26-Jan-12,Construction Service Providers,SE Capital WiP,Haskoning UK Ltd,1035577,31665.76,South East Area CCTV Culvert Surveys ,PE3 8DW,,30071934,IMTH001577,Project
26-Jan-12,Construction Service Providers,SE Capital WiP,Dean & Dyball Civil Engineering Ltd,1035594,49517.10,Minor Works Contractors Framework Aspenden Brook and River Rib  at Buntingford.,BH24 1PN,,30134428,IMTH001453,Project
26-Jan-12,Construction Supplies,SW Capital WiP,Western Power Distribution,1036028,92905.69,"Managed Realignment to replace selection of overhead line with underground cable. Installing taller poles to lift conductors over bund wall. Stert Drove, Bridgewater",PL4 0YU,,,IMSW001389,Project
10-Jan-12,Electricity,AN Eastern-AEM - Monitoring,EDF Energy Plc,1026461,225482.86,Supply of electricity to Kennett Pumping Station for 2011/12 ,PL3 5ZN,,30319078 | 30286699,REAN000470,Administration
10-Jan-12,Electricity,HO Business Finance | National Facilities Manager,British Gas Business,1026648,25702.56,Utility: Electricity Bill For Various Sites in Midlands - 2011/2012.,OX4 2JY,,30299702, | EBILLP2P | ,Administration
10-Jan-12,Electricity,HO Business Finance | HO Financial Management Adjustment,British Gas Business,1026657,72475.05,South East Region  to facilitate payment up to 31st March 2012,OX4 2JY,,30319878,EBILLP2P | ,Administration
05-Jan-12,Electricity,AN Eastern-AEM - Monitoring,EDF Energy Plc,1028896,77159.29,Supply of electricity to Kennett Pumping Station for 2011/12 ,PL3 5ZN,,30286699 | 30319078,REAN000470,Administration
17-Jan-12,Electricity,FM Operating Unit - Central and South East,EDF Energy Plc,1029587,25379.78,EDF Electrical Supply for Kings Fisher House period 1.4.11-31.3.12,PL3 5ZN,,30286699,,Administration
12-Jan-12,Electricity,AN Eastern-AEM - Monitoring,EDF Energy Plc,1030157,42222.55,Supply of electricity to Wixoe Pumping station for the period September 2010 to September 2011,PL3 5ZN,,30286699,REAN000470,Administration
17-Jan-12,Electricity,SE Kent & South London- Tidal Flood Risk Manager,EDF Energy Plc,1032934,32011.15,electricity supplied to the Thames Barrier Eastmoor Street London SE7 8LX For period 1 April 2010 to 30 March 2012,PL3 5ZN,,30299674,,Administration
24-Jan-12,Electricity,AN Eastern-AEM - Monitoring,EDF Energy Plc,1034370,171306.90,Supply of electricity to Kennett pumping station for the period 2011 - 2012,PL3 5ZN,,30286699 | 30319078,REAN000470,Administration
05-Jan-12,Engineering Services,NE Capital WiP | NE Yorkshire Area North and East Yorks FRM,ITT Flygt Ltd,1019827,72571.81,Design and replacement of the pumps and associated electric control equipment in the Selby Dam Pumping Station.,NG4 2AN,,,IMNE790227 | ,Project
10-Jan-12,Engineering Services,HO Fleet - EA Wales,Fraikin Ltd,1029737,61378.27,"Mobile Plant (tractors, diggers etc) Inspection Maintenance and repair  01.04.11 - 31.3.12",CV4 8HX,,40021314,,Administration
12-Jan-12,Engineering Services,SE Kent & South London - Ops Delivery,DB Site Services,1030301,53004.00,Marsh Dykes Pumping Station Maintenance,NW2 1NP,,30239600,RESE500031,Administration
12-Jan-12,Engineering Services,HO Fleet Operations,Fraikin Ltd,1030676,470763.08,"Mobile Plant (tractors, diggers etc) Inspection Maintenance and repair 2011/2012",CV4 8HX,,30207502,,Administration
19-Jan-12,Engineering Services,SE Capital WiP,Hamson Partnership Ltd,1033000,27874.00,Non-destructive testing of King George V Flood Gate. ,RH16 1DB,,,IMTH001252,Project
19-Jan-12,Engineering Services,SE SSD - Plan & Corp Services,Knowlton & Newman Portsmouth Ltd,1033334,28598.40,Rewind and overhaul electrical motor and pump ,PO3 5RQ,,,RESE000002,Administration
03-Jan-12,Environmental Materials,SE Capital WiP,Thermo Fisher Scientific,1027905,26995.92,Supply of Ultrasonic Flowmeter At Loughton Weir,CW7 3GA,,,IMSE500029,Administration
10-Jan-12,Environmental Materials,HO Capital WiP,Leica Geosystems Ltd,1028823,70524.00,Upgrade Geomatics GPS surveying equipment ,MK5 8LB,,,HOSCLI0004,Administration
12-Jan-12,Environmental Materials,HO Capital WiP,Reson Offshore Ltd,1030174,62072.40,"Supply Reson Sea Bat 7101SV System, Sea Bat 7101 Fairings and 2 days technical training ",AB23 8JX,,,HOSCLI0004,Administration
19-Jan-12,Environmental Materials,SE SSD - AEM Monitoring,Thermo Fisher Scientific,1032792,38979.00,5 Day Response Maintenance of Sarasota 200 Gauge with GAFA ,CW7 3GA,,30171828,,Administration
24-Jan-12,Environmental Materials,HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1033759,48417.16,Pro-O-Optical DO digital hand held with Pro-O-DO 4 M cable ,SG6 1FJ,,30240451,NL00000060,Administration
17-Jan-12,Environmental Services,NW Capital WiP,Manchester City Council,1027077,59928.00,"Didsbury Flood Storage Basin, Service to deliver a programme of works to improve the existing footpath network. ",M60 2JR,,,IMNW000175,Project
03-Jan-12,Environmental Services,NW Ambition Project Manager,River Restoration Centre Ltd,1027409,27070.50,Main Phase for North of England De-culverting Strategy in 2011/12,MK43 0AL,,30323477,RENW001929,Project
03-Jan-12,Environmental Services,HO Flood Warning Systems,CEFAS,1027544,228174.00,CEFAS-Provision of service for the National Wave Network for UK Coastal Montoring and Forecasting 2011-12,NR33 0HT,,,,Project
03-Jan-12,Environmental Services,"Research, Monitoring and Innovation",WRC Plc,1027797,37153.96,Revised method to designate Nitrate Vulnerable Zones (NVZs),SN15 8YF,,30149136,HOEV101101,Administration
03-Jan-12,Environmental Services,SE North East Thames - Ops Delivery,JT Mackley & Co Ltd,1027989,36390.02,Watercourse Maintenance & Minor Works North & East Area - Start date 3.5.11 to end of March 2012.,BN5 9XQ,,30134439,,Project
12-Jan-12,Environmental Services,AN Capital WiP,Fugro Engineering Services Ltd,1028062,32847.44,Chelmsford Flood Alleviation Scheme for additional standing and travelling time ,OX10 9RB,,30309576 | 30123021,IMAN001326,Project
05-Jan-12,Environmental Services,SW Wessex North- Flood Risk,Glanville Environmental,1028204,51689.40,CCTV survey inspection and clearance programme 2011/12,PL20 6HA,,30263394,IMSW000847,Administration
17-Jan-12,Environmental Services,NE Capital WiP,White Young Green,1028626,72557.05,Investigation in to lab testing and report preparation. National Site Investigation Framework,LS6 2WQ,,30309584,IMNE000823,Project
10-Jan-12,Environmental Services,AN Central-AEM - Brampton,URS Corporation Ltd,1028906,79032.00,Sawston Groundwater Pollution services. Supply of  Environmental Consultancy Services under the ESF Framework Agreement,G2 4QE,,30105862,REAN001598,Project
12-Jan-12,Environmental Services,AN Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,1029072,27141.56,Helpston Remediation Project - Hydrogeology,BS32 4DF,,30177470,REAN001571,Project
17-Jan-12,Environmental Services,HO Capital WiP,URS Corporation Ltd,1029977,48384.00,Part 2A Contaminated Land intrusive site investigation. Supply of  Environmental Consultancy Services under the ESF Framework Agreement,SW19 4DR,,30105862,HOOP000050,Project
12-Jan-12,Environmental Services,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,1030065,112472.90,Watercourse Maintenance & Minor Works Central & West Area to start 3.5.11 to end of March 2012.,IP6 8NH,,30134424,,Administration
12-Jan-12,Environmental Services,WA Water and Environment,Welsh Water,1030440,1836534.90,Reservoir Operating Agreements (S20) Year 2011/2012,CF3 9WL,,,,Administration
12-Jan-12,Environmental Services,"Research, Monitoring and Innovation",Adas UK Ltd,1030514,48000.00,Delivery of CSF River Frome Sediment Flux Monitoring & Sediment Fingerprinting Project,WV6 8TQ,,,HOEV111201,Project
17-Jan-12,Environmental Services,NW Nuclear Regulation Mgr,LGC Ltd,1031583,38184.00,Independent Analysis of Radioactivity in Effluent Samples,TW11 0LY,,30131976,HOOP000055,Administration
17-Jan-12,Environmental Services,SE Capital WiP,Fugro Engineering Services Ltd,1031963,25833.08,Site investigation on Penton Hook. National Site Investigation Framework,OX10 9RB,,30309576,IMTH001368,Project
19-Jan-12,Environmental Services,"Research, Monitoring and Innovation",Met Office,1032433,94879.20,Met Office daily rainfall data and site inspections for 2011/12,EX1 3PB,,30284704,,Administration
19-Jan-12,Environmental Services,MI Capital WiP,Soil Mechanics,1033459,31434.31,Digbeth Access and Conveyance Inprovements. National Site Investigation Framework,DE15 0XD,,30309583,IMMI001301,Administration
24-Jan-12,Environmental Services,"Research, Monitoring and Innovation",NERC,1034516,37104.00,Future Flows and Groundwater Levels - provision of research services ,SN2 1EU,,,HOEV101102,Administration
26-Jan-12,Environmental Services,NW Capital WiP,Fugro Engineering Services Ltd,1034691,27180.06,"Investigation in connection with all site operations, investigation, laboratory testing and report preparation",OX10 9RB,,30309576,IMNW000891,Administration
26-Jan-12,Environmental Services,"Research, Monitoring and Innovation",CEH,1035223,80650.00,Future Flows and Groundwater Levels - provision of research services - CEH,SN2 1EU,,,HOEV101102,Administration
26-Jan-12,Environmental Services,SE North East Thames - Ops Delivery,JT Mackley & Co Ltd,1035315,36787.63,Watercourse Maintenance and Minor Works North and East Area - Start date 3.5.11 to end of March 2012.,BN5 9XQ,,30134439,,Administration
26-Jan-12,Environmental Services,HO Met Office Joint Venture Manager,Met Office,1035856,204000.00,Flood Forecasting Centre - Project - Migrate NFFS-FFC plus G2G to production environment,EX1 3PB,,,HOOP000137,Project
26-Jan-12,Environmental Services,HO Met Office Joint Venture Manager,Met Office,1035858,30000.00,"Flood Forecasting Centre. This is for Marketing, Communications, Branding and EA staff subsistence ",EX1 3PB,,,,Administration
26-Jan-12,Environmental Services,AN Capital WiP,EDI Surveys Ltd,1035905,141925.20,Topographical Surveys for the Anglian Region,IP2 0AH,,30189693,IMAN002290,Administration
26-Jan-12,Environmental Services | Forensic & Laboratory Services,HO Marine Monitoring Service,CEFAS,1035309,36214.38,Water Framework Directive Phytoplankton sample analaysis under contract 24673 CEFAS,NR33 0HT,,30309859,,Administration
10-Jan-12,Fleet Management,Vehicle Incidents,Gallagher Bassett,1028657,32198.44,Call off order to reimburse payments made on behalf of EA by our motor insurers 3rd party claim handlers during financial year 2011/12. ,E1 1LU,,30182566,,Administration
19-Jan-12,Fleet Management,Vehicle Incidents,Gallagher Bassett,1032221,27857.36,Call off order to reimburse payments made on behalf of EA by our motor insurers 3rd party claim handlers during financial year 2011/12. ,E1 1LU,,30182566,,Administration
05-Jan-12,Fuels,HO Fleet - EA Wales,Allstar Business Solutions Ltd,1028822,38479.93,Commercial Fleet Fuel/Tax/Servicing/Leasing/Admin 2011/2012,SN5 6PS,,40002026,,Administration
12-Jan-12,Fuels,HO Fleet Operations,Allstar Business Solutions Ltd,1029780,290461.08,Commercial Fleet - Fuel/Tax/Servicing/Leasing/Admin  2011/2012,SN5 6PQ,,30015330,,Administration
05-Jan-12,Leasing,AN Eastern-Ops Del (Norfolk & Suffolk),CR Reynolds Plant Hire Ltd,1026329,25102.80,Hire of operated plant and equipment as per contract,HU14 3HH,,30171825,,Administration
10-Jan-12,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1028517,43943.41,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
10-Jan-12,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1029709,430787.88,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
19-Jan-12,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1031290,41351.07,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
19-Jan-12,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1031295,1330798.72,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
17-Jan-12,Leasing,EA Wales,Hitachi Capital Vehicle Solutions Ltd,1031369,115479.93,Supply of Lease Vehicles - Service Inspection Maintenance and Repair Lease vehicle Maintenance - 1st April 2011 to 31st March 2012,RG14 2NU,,40000314,,Administration
24-Jan-12,Leasing,HO Fleet Operations,Hewden Stuart Plc,1033926,411455.52,Hewden National Plant Hire Contract 2011/2012,M32 0HW,,30184689,,Administration
12-Jan-12,Leasing ,HO Geomatics,RVL Survey Ltd,1030578,102505.68,Extension to order for flying services for Geomatics for 2011_2012 | Hire of aircraft and pilots,CV8 3AZ,,30000394,SCLI0001,Administration
26-Jan-12,Legal Services,HR Ops (HO),Capital Law Llp,1036092,31380.00,Capital Law Diploma Programme - 18 staff - 5 days over 5 months,CF10 4DQ,,,,Administration
26-Jan-12,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1020903,158936.17,Reconditioning failing culverts - south sindley,LE10 3JF,,30142734,IMNW000293,Project
19-Jan-12,Main Contractors,AN Capital WiP,Birse Civils Ltd,1021762,152790.94,Thetford Sluice Refurbishment  ,DN18 5BW,,30142670,IMAN002309 | IMAN002176,Project
24-Jan-12,Main Contractors,SE Capital WiP,Interserve Construction Ltd,1022589,156000.00,Stabilisation works to the excavated bank to the rear of the ancillary buildings at Beam River. ,TQ14 0HP,,30142730,IMTH000632,Project
17-Jan-12,Main Contractors,MI Capital WiP,G F Tomlinson Civil Engineering Ltd,1022593,38327.54,Horsbere Brook Flood alleviation scheme - minor works,WR3 8LX,,30224315,IMMI000934,Project
24-Jan-12,Main Contractors,SE Capital WiP,Westminster Dredging  Dean & Dyball JV,1022793,217615.16,Selsmore Sea Wall Maintenance ,PO15 5SS,,30142738,IMSO001261,Project
10-Jan-12,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1023474,108686.33,Ings Beck Flood Alleviation scheme. ,LE10 3JF,,30142734,IMNE000646,Project
03-Jan-12,Main Contractors,SE North East Thames - Ops Delivery,Land & Water Services Ltd,1023867,41366.53,Watercourse maintenance of former Critical Ordinary Watercourses in London Borough of Brent for financial year 2010-11. ,GU5 9AF,,,RETH110002 | RETH110007,Project
26-Jan-12,Main Contractors,SE Capital WiP,JT Mackley & Co Ltd,1023973,48982.19,Barking Barrier east side - modifications to electric power security fence and re-profile concrete slope to south west of access ramp to provide horizontal working access ,BN5 9XQ,,30134439,IMTH001251 | IMTH001590,Project
26-Jan-12,Main Contractors,SW Capital WiP,May Gurney Ltd,1023996,136393.65,Minor Works Framework 2 - SW | for CEs 1-6 as per payment certificate 3 for Dawlish Warren Repairs ,EX5 1EW,,30190789,IMSW001856,Project
03-Jan-12,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1024865,64095.00,To cover the inital move from investigation to the construction stage Reconditioning - Fisher Beck,EN11 9BX,,30142737,IMNW000364,Project
03-Jan-12,Main Contractors,SE West Thames - Ops Delivery,J Breheny Contractors Ltd,1026324,25937.30,Minor Works Contractors Framework - Wey and Loddon Vegetation management ,IP6 8NH,,30134424,,Project
17-Jan-12,Main Contractors,SE Capital WiP,J Breheny Contractors Ltd,1026327,34819.33,Minor Works Contractors Framework | Bourne Ditch Reservoir ,IP6 8NH,,30134424,IMTH001672,Project
03-Jan-12,Main Contractors,SE Capital WiP,Birse Civils Ltd,1026450,73511.20,Thames Tidal Frontages Package 1  Birse Civils due to extended programme,DN18 5BW,,30142670,IMTH001749,Project
17-Jan-12,Main Contractors,SE Capital WiP | TH Capital WiP,Galliford Try Infrastructure Ltd,1026558,881549.30,Banbury Flood Alleviation Scheme staffing and additional temporary works,LE10 3JF,,30142734,IMTH000615,Project
03-Jan-12,Main Contractors,SE Capital WiP,Barhale Construction Plc,1026922,34412.95,Minor Works Contractors Framework - Supply of construction works to create the Shipton Swale.,WS1 4NN,,30134535,IMTH001411,Project
03-Jan-12,Main Contractors,SE Capital WiP,Birse Civils Ltd,1027110,43105.20,Birse Civils Ltd to carry advisory services under the NCF2 Framework on Stone Wharf,DN18 5BW,,30142670,IMSE100049,Project
03-Jan-12,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,1027147,59824.37,Engineering Construction Works NCF2 Framework - Mill Lease Flood Storage Reservoir – Improvement Works ,LE10 3JF,,30142734,IMSO000999,Project
05-Jan-12,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,1027302,311608.66,Engineering Construction Works NCF2 Framework - Construction of Embankment and Pumping Station,LE10 3JF,,30142734,IMMI001039,Project
03-Jan-12,Main Contractors,SE Capital WiP,Team Van Oord,1027414,1304037.14,"Engineering Construction Works NCF2 Framework - Medmerry Managed Realignment, Main Construction Work with Team Van Oord.",RG14 5QS,,30142735,IMSO001023,Project
03-Jan-12,Main Contractors,AN Capital WiP,BAM Nuttall Ltd,1027427,108339.52,Manage and build new Operations Delivery Building at Ely Depot ,GU15 3XW,,,IMAN002374,Project
03-Jan-12,Main Contractors,SE Capital WiP,Team Van Oord,1027565,173567.52,Engineering Construction Works NCF2 Framework - Pevensey Outfalls Reconstruction ,RG14 5QS,,30142735,IMSO000737,Project
03-Jan-12,Main Contractors,MI East-Ops Delivery - 2,R & K Contractors & Consultants,1027868,27921.87,Main river maintenance 2011-2012 for LEICS CITY AREA,NG17 7JZ,,30190850,,Project
19-Jan-12,Main Contractors,SE Capital WiP,Team Van Oord,1027980,57960.01,SE Waterways Sraines Bank Protection additional works carried out at Thames Side ,RG14 5QS,,30142735,IMTH001556,Project
03-Jan-12,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1028029,107271.84,Engineering Construction Works NCF2 Framework - repair works to a collapsed section of the culvert and installation of GRP Lining and Grouting up void,EN11 9BX,,30142737,IMNW000247,Project
03-Jan-12,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1028031,63213.30,Engineering Construction Works NCF2 Framework - Darwen Culverts Reconditioning ,EN11 9BX,,30142737,IMNW000322,Project
05-Jan-12,Main Contractors,NW Capital WiP,AE Yates Ltd,1028096,47401.68,Civil engineering works for flood defence scheme at Low Crosby,BL6 4SB,,30238839,RENW001271,Project
03-Jan-12,Main Contractors,SE Capital WiP,Pevensey Coastal Defence Ltd,1028098,136543.72,2011/12 Pevensey Coastal Defence,PO15 5SS,,,IMSO000584,Project
05-Jan-12,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1028404,358583.64,"Excavation and disposal of a great quantity of sand, sheet piling and block work repairs to Constantine Weir with Jackson. ",IP1 5LT,,30142731,IMAN001216,Project
05-Jan-12,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,1028407,84467.22,Engineering Construction Works NCF2 Framework - Sunbury Old Lock Refurbishment ,IP1 5LT,,30142731,IMTH001282,Project
