Mar 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
Department family,Entity, Date,Expense type,Expense Area,Supplier,Transaction no,Amount
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Interserve Project Services Ltd,2253699,"765,588.63"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Jackson Civil Engineering Ltd,2253703,"761,577.04"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,"National Monitoring, Flood Warning ",Met Office,2254529,"737,017.20"
DEFRA,The Environment Agency,01-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2250712,"714,265.98"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2252678,"667,919.75"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Volkerstevin Ltd,2253936,"664,725.34"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Morrison Construction Ltd,2254551,"617,951.83"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Construction Work in Progress,Volkerstevin Ltd,2251780,"591,217.43"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,BAM Nuttall Ltd,2254093,"573,939.28"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,"Various - Construction, Flood Risk Management, Water Management",Atkins Ltd,2251835,"558,017.51"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Morrison Construction Ltd,2253778,"552,239.29"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,"Various - Construction, Flood Risk Management, Water Management",Haskoning UK Ltd,2254378,"521,064.88"
DEFRA,The Environment Agency,22-Mar-11,Purchase,Head Office - Fleet Ops,Ford Motor Co Ltd,2253194,"481,995.62"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2253505,"471,386.42"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,North East - Area,Hartlepool Borough Council,2253665,"445,000.00"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Ops Delivery,ECS Engineering Services Ltd,2254289,"439,474.88"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Interserve Project Services Ltd,2254420,"438,173.10"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Land & Water Services Ltd,2254471,"437,191.95"
DEFRA,The Environment Agency,10-Mar-11,Rail,Central Rail Ticket service,Redfern Travel Ltd,2252075,"435,862.81"
DEFRA,The Environment Agency,17-Mar-11,Construction Supplies,Midlands - Construction Work in Progress,ArcelorMittal Commercial RPS UK Ltd,2252657,"418,667.13"
DEFRA,The Environment Agency,22-Mar-11,Construction Supplies,Construction Work in Progress,Aquatic Control Engineering Ltd,2253091,"409,506.64"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Thames - Construction Work in Progress,Interserve Project Services Ltd,2253245,"399,010.03"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,Anglian - Construction Work in progress,Jackson Civil Engineering Ltd,2251985,"392,277.74"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Monitoring,Entec UK Ltd,2252765,"383,152.44"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,Construction Work in Progress,Black & Veatch Ltd,2251848,"379,566.57"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,Thames - Construction Work in Progress,Morrison Construction Ltd,2252456,"370,953.61"
DEFRA,The Environment Agency,29-Mar-11,Insurance Services,Financial Management,Aon Ltd,2254065,"361,044.11"
DEFRA,The Environment Agency,03-Mar-11,Construction Service Providers,Construction Work in Progress,Jacobs Engineering UK Ltd,2251239,"358,673.71"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Dean & Dyball Civil Engineering Ltd,2253579,"358,575.93"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,North West - Construction Work in Progress,Volkerstevin Ltd,2252598,"357,550.80"
DEFRA,The Environment Agency,09-Mar-11,Legal Services,South West - Capital,Davitt Jones Bould,943678,"353,201.00"
DEFRA,The Environment Agency,15-Mar-11,Leasing,EA Wales,Hitachi Capital Vehicle Solutions Ltd,2035185,"347,667.80"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,"Research, Monitoring and Innovation & Flood Warning Systems",NERC,2254567,"342,543.83"
DEFRA,The Environment Agency,24-Mar-11,Leasing,HO Fleet Operations,Hewden Stuart Plc,2253672,"337,206.22"
DEFRA,The Environment Agency,01-Mar-11,Main Contractors,South West - Contruction Work in Progress,Interserve Project Services Ltd,2250831,"333,856.89"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Anglian - Capital,Tendring District Council,2253909,"333,366.20"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,J Breheny Contractors Ltd,2254436,"329,683.24"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,Integrated Water Services Ltd,2253243,"320,529.05"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2251068,"317,382.41"
DEFRA,The Environment Agency,17-Mar-11,Construction Service Providers,"Various - Construction, Flood Risk Management, Water Management",Haskoning UK Ltd,2252795,"314,818.37"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2251519,"312,878.77"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,BAM Nuttall Ltd,2253492,"299,132.25"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Thames - Construction Work in Progress,British Waterways,2253118,"296,529.26"
DEFRA,The Environment Agency,08-Mar-11,Engineering Services,Head Office - Fleet Ops,Fraikin Ltd,2251596,"292,830.37"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Team Van Oord,2254780,"287,797.07"
DEFRA,The Environment Agency,10-Mar-11,Building Management,South East Facilities Management,Arlington Business Parks Partnerships,2251831,"284,263.36"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,HO Flood Warning Systems,CEFAS,2252704,"281,241.98"
DEFRA,The Environment Agency,08-Mar-11,"Marine, Coastal & Inland Waterways Services",Monitoring and Modelling,Entec UK Ltd,2251587,"276,728.85"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2035436,"274,515.84"
DEFRA,The Environment Agency,17-Mar-11,Specialist Contractors,Corporate Information Systems & Data and Information,Rullion Computer Personnel Ltd,2252951,"271,214.41"
DEFRA,The Environment Agency,08-Mar-11,Fuels,HO Fleet Operations,Arval Phh,2251500,"269,705.12"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Construction Work in Progress,GBM,2252337,"267,646.80"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2252860,"265,392.36"
DEFRA,The Environment Agency,22-Mar-11,Legal Services,North West - Capital,Glaisyers,951236,"265,000.00"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Ops Delivery & Flood Risk,P & R Plant Lincolnshire Ltd,2254602,"254,928.00"
DEFRA,The Environment Agency,17-Mar-11,"Building Management & Marine, Coastal & Inland Waterways",Facilities Management & Ops Delivery,Jacobs LES Ltd,2252824,"254,910.24"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Construction Work in Progress,Amco Engineering,2254057,"254,487.53"
DEFRA,The Environment Agency,08-Mar-11,"Marine, Coastal & Inland Waterways Services",MI Capital WiP,Integrated Water Services Ltd,2251630,"249,152.37"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Land & Water Services Ltd,2252847,"247,127.17"
DEFRA,The Environment Agency,17-Mar-11,Leasing & Vehicles Maintenance,Head Office - Fleet Ops,Hitachi Capital Commercial Vehicle Services,2252800,"237,034.45"
DEFRA,The Environment Agency,08-Mar-11,Maintenance & Support,Corporate Information Systems   ,DEFRA,2251571,"225,245.42"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Southern - Construction Work in Progress,Pevensey Coastal Defence Ltd,2253336,"224,072.44"
DEFRA,The Environment Agency,24-Mar-11,Purchase,Head Office - Capital,Ford Motor Co Ltd,2253632,"223,592.66"
DEFRA,The Environment Agency,10-Mar-11,Electricity,Various Sites,EDF Energy Ltd,2251916,"222,242.92"
DEFRA,The Environment Agency,24-Mar-11,Systems Delivery,Corporate Information Systems   ,Scisys UK Ltd,2253874,"221,673.72"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,Construction Work in Progress,Black & Veatch Ltd,2252223,"220,277.06"
DEFRA,The Environment Agency,24-Mar-11,"Construction Service Providers, Environmental Services","Various - Construction, Flood Risk Management, Water Management",Jacobs Engineering UK Ltd,2253704,"219,946.45"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services & Technical Consultancy,Head Office - Various & Environment & Business,Entec UK Ltd,2254301,"213,266.05"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,North West - Capital,Bedford Pumps Ltd,2254104,"211,026.55"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Jeremy Benn Associates Ltd,2253709,"207,071.64"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Construction & Flood Risk Management,Halcrow Group Ltd,2253662,"206,752.25"
DEFRA,The Environment Agency,17-Mar-11,Staff Childcare,Recharges to Staff,Edenred Childcare Vouchers Ltd,2252757,"206,438.18"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Thames - Construction Work in Progress,J Breheny Contractors Ltd,2253702,"205,869.04"
DEFRA,The Environment Agency,10-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Ops Delivery & Flood Risk,P & R Plant Lincolnshire Ltd,2252048,"203,892.00"
DEFRA,The Environment Agency,29-Mar-11,Business Process Outsourcing Services,Thames - Construction Work in Progress,Dean & Dyball Civil Engineering Ltd,2254241,"202,482.35"
DEFRA,The Environment Agency,08-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2035036,"201,297.79"
DEFRA,The Environment Agency,17-Mar-11,Building Management,Facilities Management,Jones Lang Le Salle,2252833,"200,018.88"
DEFRA,The Environment Agency,03-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2251377,"196,228.23"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Construction Work in Progress,Capita Symonds Ltd,2253530,"194,637.77"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,Anglian - Construction Work in progress,Team Van Oord,2252116,"188,029.02"
DEFRA,The Environment Agency,15-Mar-11,Vehicle Maintenance,National Monitoring & Fleet Ops,Briggs Marine Contractors Ltd,2252235,"187,168.91"
DEFRA,The Environment Agency,17-Mar-11,Construction Service Providers,Construction Work in Progress,Halcrow Group Ltd,2252789,"184,719.14"
DEFRA,The Environment Agency,10-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Jeremy Benn Associates Ltd,2251990,"183,973.63"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,Anglian - Construction Work in progress,Broadland Environmental Services Ltd,2251855,"182,667.16"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Wales - Construction work in progress,JU Bowen Construction Ltd,2035279,"180,378.29"
DEFRA,The Environment Agency,17-Mar-11,Building Management,Facilities Management,DTZ Debenham Tie Leung,2253033,"178,500.00"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,HO Flood Warning Systems,NERC,2253311,"178,419.17"
DEFRA,The Environment Agency,22-Mar-11,Purchase,Head Office - Capital,Mitsubishi Motors,2253302,"177,266.14"
DEFRA,The Environment Agency,22-Mar-11,Construction Service Providers,Construction Work in Progress,Haskoning UK Ltd,2253216,"176,615.80"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Midlands - Construction Work in Progress,G F Tomlinson Civil Engineering Ltd,2252776,"174,645.60"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,North West - Construction Work in Progress,AE Yates Ltd,2251031,"173,439.34"
DEFRA,The Environment Agency,29-Mar-11,Purchase,Head Office - Capital,Mitsubishi Motors,2254548,"172,915.10"
DEFRA,The Environment Agency,01-Mar-11,Main Contractors,Construction Work in Progress,Volkerstevin Ltd,2251007,"171,547.01"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Wales - Construction work in progress,Team Van Oord,2035597,"168,823.76"
DEFRA,The Environment Agency,08-Mar-11,Vehicle Maintenance,Fleet Ops,Briggs Marine Contractors Ltd,2251528,"167,184.02"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2254504,"165,895.15"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Jeremy Benn Associates Ltd,2254445,"163,269.84"
DEFRA,The Environment Agency,29-Mar-11,Building Management,Facilities Management,CB Richard Ellis Ltd,2254165,"163,251.36"
DEFRA,The Environment Agency,29-Mar-11,Staff Training & Development,HR and Environment & Business,SKM Enviros,2254722,"160,719.12"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Head Office Capital WiP,CNH UK Ltd,2252723,"159,948.98"
DEFRA,The Environment Agency,01-Mar-11,Main Contractors,Construction Work in Progress,Morrison Construction Ltd,2250900,"158,171.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Various - Ops Delivery,Aquajet GB Ltd,2254069,"152,920.63"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Jeremy Benn Associates Ltd,2252399,"152,355.83"
DEFRA,The Environment Agency,22-Mar-11,Specialist Contractors,Corporate Information Systems & Data and Info Management,Elan Computing Ltd,2253179,"151,951.97"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Construction Work in progress,PG Wright,2254614,"148,392.00"
DEFRA,The Environment Agency,17-Mar-11,Systems Delivery,Corporate Information Systems & Head Office Policy and Regulation,Scisys UK Ltd,2252956,"147,301.51"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services","Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2253095,"147,191.48"
DEFRA,The Environment Agency,08-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,ECS Engineering Services Ltd,2251580,"144,000.00"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,Jackson Civil Engineering Ltd,2251238,"143,263.44"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2035150,"142,685.42"
DEFRA,The Environment Agency,10-Mar-11,Telecoms,Various - Flood Risk Management,MM Teleperformance Ltd,2252030,"140,088.59"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Capital,OPUS International Consultants,2253817,"138,586.16"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,Amco Engineering,2251038,"135,831.66"
DEFRA,The Environment Agency,08-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2251700,"135,375.29"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,Construction Work in Progress,EC Harris Llp,2251914,"133,215.16"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,GBM,2253646,"131,901.60"
DEFRA,The Environment Agency,22-Mar-11,Construction Service Providers,Construction Work in Progress,Black & Veatch Ltd,2253110,"130,712.88"
DEFRA,The Environment Agency,22-Mar-11,"Environmental Services & Marine, Coastal & Inland Waterways",Various - Flood Risk Management,Mott Macdonald Ltd,2253309,"129,521.85"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Ops Delivery,BAM Nuttall Ltd,2252667,"129,275.30"
DEFRA,The Environment Agency,17-Mar-11,Purchase,HO Capital WiP,John Deere Ltd,2252830,"128,970.00"
DEFRA,The Environment Agency,10-Mar-11,Purchase,Fleet Ops,MAN Truck & Bus UK Ltd,2252016,"128,773.80"
DEFRA,The Environment Agency,24-Mar-11,Building Repair & Maintenance,Ops Delivery,Jacobs LES Ltd,2253705,"128,732.36"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2253484,"127,733.50"
DEFRA,The Environment Agency,29-Mar-11,Forensic & Laboratory Services,National Monitoring,CEFAS,2254166,"127,339.58"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,Construction Work in Progress,Arcadis AYH,2251827,"127,030.65"
DEFRA,The Environment Agency,17-Mar-11,Building Management,Facilities Management,Jaymar Estates Ltd,2252826,"126,832.58"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Anglian - Construction Work in progress,Jackson Civil Engineering Ltd,2252393,"126,813.34"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,Thames - Construction Work in Progress,Jacobs Engineering UK Ltd,2252394,"126,390.71"
DEFRA,The Environment Agency,03-Mar-11,Construction Service Providers,Construction Work in Progress,Halcrow Group Ltd,2034943,"125,960.04"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,Construction Work in Progress,Jacobs Engineering UK Ltd,2035095,"124,568.02"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,JT Mackley & Co Ltd,2254452,"124,352.04"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Anglian - Ops Delivery,BAM Nuttall Ltd,2251508,"124,217.52"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Construction Work in Progress,Capita Symonds Ltd,2254154,"123,915.94"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Wales - Construction work in progress,JU Bowen Construction Ltd,2035387,"123,866.69"
DEFRA,The Environment Agency,29-Mar-11,Staff Medical Care,Various - Flood Risk Management,National Flood Forum,2254558,"123,243.84"
DEFRA,The Environment Agency,24-Mar-11,Purchase,Head Office - Capital,Mitsubishi Motors,2253773,"123,103.65"
DEFRA,The Environment Agency,17-Mar-11,Vehicles Maintenance,National Monitoring,Briggs Marine Contractors Ltd,2252685,"122,564.84"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Team Van Oord,2252991,"122,251.62"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Facilities & Construction,Inviron Ltd,2254422,"121,496.08"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,"Research, Monitoring and Innovation",CIRIA,2253550,"120,000.00"
DEFRA,The Environment Agency,29-Mar-11,Software,Thames - Ops Delivery,Port Of London Authority,2254624,"119,219.65"
DEFRA,The Environment Agency,10-Mar-11,"Marine, Coastal & Inland Waterways Services",South West Flood Risk Management & Area Management,A & T Services Ltd,2251805,"118,557.06"
DEFRA,The Environment Agency,01-Mar-11,Building Repair & Maintenance,MI East-Ops Delivery - 2,Amco Engineering,2250684,"117,947.07"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2035202,"117,643.39"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Various - Monitoring & Planning,AEA Technology Plc,2253458,"117,475.56"
DEFRA,The Environment Agency,01-Mar-11,"Marine, Coastal & Inland Waterways Services","Facilities, Ops Delivery & Construction",Integral UK Ltd,2034883,"116,260.57"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services","Facilities, Ops Delivery & Construction",Integral UK Ltd,2035377,"115,039.61"
DEFRA,The Environment Agency,29-Mar-11,Construction Supplies,Construction Work in Progress,ArcelorMittal Commercial RPS UK Ltd,2254075,"114,944.34"
DEFRA,The Environment Agency,10-Mar-11,Staff Training & Development & Environmental Services,HR Strategy & Capital,SKM Enviros,2252101,"114,507.41"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,Construction Work in Progress,Halcrow Group Ltd,2035184,"114,058.19"
DEFRA,The Environment Agency,29-Mar-11,Construction Supplies,Construction Work in Progress,Brett Ltd,2254128,"113,872.52"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,CW Engineering Ltd,2254222,"113,166.83"
DEFRA,The Environment Agency,29-Mar-11,Operational Services,Data and Information Management,Ebsco Information Services,2254285,"112,792.88"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,North West - Flood Risk,Cheetham Hill Construction Ltd,2254174,"112,459.92"
DEFRA,The Environment Agency,03-Mar-11,Building Management,Facilities Management,Factory Outlets Ltd,2251176,"111,486.60"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Southern - Construction Work in Progress,Interserve Project Services Ltd,2251233,"110,944.76"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Faithful & Gould Ltd,2254318,"110,668.45"
DEFRA,The Environment Agency,17-Mar-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2252664,"110,492.47"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,Environment & Business ,FWAG,2251599,"109,452.00"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Byzak Ltd,2254147,"109,186.46"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services & Construction Service Providers, Technical Consultancy",Various - Construction & Flood Risk Management,Halcrow Group Ltd,2252352,"108,479.63"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Thames - Environmental Manager & Environment & Business Head Office,Apem Ltd,2254068,"108,294.00"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",North West - Construction & Flood Risk Management,Agrilek Ltd,2254044,"107,945.04"
DEFRA,The Environment Agency,08-Mar-11,Building Management,Anglian - Monitoring,Jacobs LES Ltd,2251636,"106,586.21"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Construction Work in Progress,JT Mackley & Co Ltd,2253263,"106,187.26"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2254597,"105,981.87"
DEFRA,The Environment Agency,08-Mar-11,Building Management,Facilities Management & Ops Delivery,Northumberland Estates Ltd,2251691,"105,050.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,"Research, Monitoring and Innovation & Corporate Information Systems",Wallingford Hydrosolutions,2253940,"104,880.00"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Facilities Management & Ops Delivery & Construction,Roshal Space Consultants Ltd,2254672,"103,765.49"
DEFRA,The Environment Agency,01-Mar-11,Main Contractors,Anglian - Construction Work in progress,GBM,2250794,"103,392.00"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2253284,"103,001.06"
DEFRA,The Environment Agency,17-Mar-11,Electricity,Facilities Management,Howard Grove Ltd,2252803,"101,827.01"
DEFRA,The Environment Agency,24-Mar-11,Building Repair & Maintenance,"Northern Ops Delivery, Facilities Management & Construction",Boulting Technology,2253508,"101,664.06"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,North East - Capital,RSPB,2254682,"101,566.51"
DEFRA,The Environment Agency,01-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Various,ECS Engineering Services Ltd,2250776,"100,364.40"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,OnSite Central Ltd,2251333,"99,251.27"
DEFRA,The Environment Agency,29-Mar-11,Systems Delivery,Corporate Information Systems   ,Solution 7 Ltd,2254729,"98,850.00"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Environment & Business,Apem Ltd,2252194,"98,750.40"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2035432,"97,411.00"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,North West - Construction Work in Progress,Eimco Water Technologies Ltd,2252313,"97,020.00"
DEFRA,The Environment Agency,22-Mar-11,Leasing ,Head Office - Geomatics,RVL Survey Ltd,2253372,"96,740.83"
DEFRA,The Environment Agency,01-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Ops Delivery,Balfour Beatty Civil & Construction,2250704,"96,315.60"
DEFRA,The Environment Agency,01-Mar-11,Construction Service Providers,Construction Work in Progress,Jacobs Engineering UK Ltd,2250840,"96,273.70"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Barhale Construction Plc,2252668,"95,779.06"
DEFRA,The Environment Agency,03-Mar-11,Environmental Services,Wales - Capital,White Young Green,2034981,"95,761.57"
DEFRA,The Environment Agency,24-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2253969,"95,701.20"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Jeremy Benn Associates Ltd,2252828,"94,109.63"
DEFRA,The Environment Agency,10-Mar-11,Building Management,Facilities Management,OF Ryan,2252045,"93,867.30"
