Entity,Date,Supplier ,Amount,Description
DEFRA,28/02/2014,Cardiff University,"31,050.14",Bacterial Insecticides and toxins for control of root flies - 1 September-31 December 2013
DEFRA,24/02/2014,Rothamsted Research Ltd,"48,940.00",Improved tolls to rationalise and support stewardship programmes for Succinate Dehydrogenase Inhibitor fungicides to control - 2013-14 part payment
DEFRA,27/02/2014,University Of Warwick,"52,736.66",Study to review and recommend enhancements to the Animal Health and Veterinary Laboratories Agency (AHVLA) welfare compliance farm inspections risk model - February 2014
DEFRA,27/02/2014,University Of Bristol,"40,172.09",Construction of nest areas in enriched colony cages - February 2014 
DEFRA,14/02/2014,Interserve (Facilities Mngmnt) Ltd,"579,830.69",Facilities Management core reactive contract costs - January 2014
DEFRA,12/02/2014,Interserve (Facilities Mngmnt) Ltd,"47,843.13",Estates maintenance projects over multiple sites - January 2014
DEFRA,14/02/2014,Interserve (Facilities Mngmnt) Ltd,"2,102,082.00",Facilities Management core contract costs - January 2014
DEFRA,12/02/2014,Interserve (Facilities Mngmnt) Ltd,"101,459.33",Estates maintenance projects over multiple sites - January 2014
DEFRA,12/02/2014,Interserve (Facilities Mngmnt) Ltd,"124,010.73",Estates maintenance projects over multiple sites - January 2014
DEFRA,28/02/2014,Interserve (Facilities Mngmnt) Ltd,"57,499.78",Consumables provided to various sites as part of the Facilities Management contract - December 2013
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"25,927.54","Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge. Design, supply and fit new Oil Pre-heater Modification to existing burner to reduce the risk of burner failure due to bio-fuel solidification in cold weather"
DEFRA,12/02/2014,Interserve (Facilities Mngmnt) Ltd,"111,715.98",Estates maintenance projects over multiple sites - January 2014
DEFRA,10/02/2014,Trace Wildlife Forensics Network Ltd,"33,334.00",Geographic traceability tools for commercial fish and fish products - Tools and Resources for Applied Conservation and Enforcement (TRACE) Wildlife Forensics Network - 2013-14
DEFRA,20/02/2014,R S A,"25,600.01",Funding towards the European Business Awards for the Environment and the UK Environmental and Sustainable Development Awards
DEFRA,28/02/2014,University Of Wales Aberystwyth,"32,502.16",Project to look at the treatment of non-coal mine water - establishing new pilot trials using alternative technologies - June 2013 (Quarter 1)
DEFRA,12/02/2014,WRc plc,"74,986.80",Improvement in level of country level water statistics
DEFRA,28/02/2014,University Of Wales Aberystwyth,"29,315.09",Project to look at the treatment of non-coal mine water - establishing new pilot trials using alternative technologies - September 2013 (Quarter 2)
DEFRA,10/02/2014,Environment Agency,"74,000.00",Defra/Environment Agency Evidence Sharing Initiative - 2012-13
DEFRA,18/02/2014,Department Of Energy and Climate Change,"34,746.95",Staff recharges for one staff member on secondment to Department of Energy and Climate Change - 2 July-30 November 2012
DEFRA,27/02/2014,The Pirbright Institute,"81,658.91",Further development of Real Time Polymerase Chain Reaction (RT-PCR) technology in support of Foot and Mouth Disease diagnosisÿ- February 2014
DEFRA,27/02/2014,The Pirbright Institute,"66,275.00",Developing improved methods to quantify transmission of Foot and Mouth Disease virus - February 2014
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"1,755,940.00",Laboratory Services for surveillance of exotic diseases - April-October 2013.
DEFRA,27/02/2014,The Pirbright Institute,"206,666.66",Developing improved methods to quantify transmission of fFoot and Mouth Disease virus - February 2014
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"2,320,790.00",Exotic Disease Requirements Plan ? England 2013-14 - April-October 2013.
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"423,060.00",Laboratory services for surveillance of exotic diseases - April-October 2013
DEFRA,24/02/2014,South Western B P S (UK) Ltd,"122,564.00","Provision of an electronic reporting system and database for sheep, goats and deer"
DEFRA,04/02/2014,Rural Payments Agency,"60,790.00","Sheep and goat movement data inputting for Devon, North Yorkshire and Leeds - October-December 2013"
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"214,494.91","Animal ID and Gatherings: Registrations, approvals and inspections - November-December 2013"
DEFRA,27/02/2014,The Pirbright Institute,"35,008.83",Molecular epidemiology of Foot and Mouth Disease virus - February 2014
DEFRA,10/02/2014,Animal Health and Veterinary Laboratories Agency,"1,121,780.00","Animal ID and Gatherings: Registrations, approvals and inspections - April-October 2013"
DEFRA,10/02/2014,Health & Safety Commission & Executive,"123,118.98",Provision of support for Statutory Inspections of Specified Animal Pathogens Order (SAPO) Laboratories - 2013-14 - 1 April-30 September 2013
DEFRA,18/02/2014,Animal Health and Veterinary Laboratories Agency,"55,360.98",Sundry costs relating to work on a Sheep Database - January 2014
DEFRA,18/02/2014,Animal Health and Veterinary Laboratories Agency,"643,835.53",Exotic Disease Requirements Plan ? England 2013-14 - November-December 2013.
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"45,564.08",Studies of natural and experimental Transmissible Spongiform Encephalopathies (TSEs) - Animal Health and Veterinary Laboratories Agency (AHVLA)ÿ- February 2014
DEFRA,28/02/2014,IBM United Kingdom Ltd,"95,967.48","Automatic Licence Verification System (ALVS) Extension Project - Development, Build, Test and Deploy - February 2014"
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"50,423.00",Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2013-14
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"537,572.78",International Trade Border Controls - November-December 2013
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"61,277.75","Antigen mining, Differentiation of Infected and Vaccinated Animals (DIVA) assays and other diagnostic approaches - February 2014"
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"36,770.00",2013-14 Laboratory Surveillance - April-October 2013
DEFRA,18/02/2014,C E F A S,"318,140.32",High Level Agreement payment for Aquatics Evidence (Advice) - February 2014
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"2,698,199.35",International Trade Border Controls - April-November 2013
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"2,088,140.00",International Trade Border Controls - April-October 2013
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"51,156.41",Maintenance of a Transmissible Spongiform Encephalopathy (TSE)-free sheep flock after importation from New Zealand -ÿ February 2014
DEFRA,27/02/2014,The Pirbright Institute,"31,329.91",Understanding and predicting the spread of vector- and aerosol-borne livestock pathogens in the UK - February 2014
DEFRA,04/02/2014,JSS Pensions Administration,"37,789.28",Provision of Horticulture Research International Staff Pension Scheme Payments - February 2014
DEFRA,26/02/2014,Software Box Ltd,"32,959.98","Three JScape Licences required for JScape MFT (Major File Transfer) Server to bridge interfaces between the Common Agricultural Policy IT legacy and new systems, including one-year support"
DEFRA,28/02/2014,Atkins Consultants Ltd,"35,214.63","Work undertaken on the Trader Common Agricultural Policy Delivery Solution Review, Support for Diagnostic and Business Case Activity - November 2013."
DEFRA,20/02/2014,Pinsent Masons LLP,"25,478.40",Provision of legal advice and services provided to the Common Agricultural Policy Delivery Programme - November-December 2013
DEFRA,18/02/2014,Visionware Ltd,"45,600.00",Configuration and expansion of Rural Payments Agency's Master Data Management (MDM) Application - Phase 2
DEFRA,18/02/2014,Hitachi Consulting,"106,700.00",Year one of Hitachi Consulting providing software for Finance/HR Implementation costs
DEFRA,18/02/2014,H M R C,"40,645.30","Common Agricultural Policy Delivery Defra Branded Recruitment Advertising. Covers the media expenditure, online posting fees and a fee for campaign management for the media."
DEFRA,28/02/2014,IBM United Kingdom Ltd,"27,200.00",Common Agricultural Policy Reform Support.  Charged on a time and materials basis - 8-11 November 2013.
DEFRA,18/02/2014,Specialist Computer Centres,"78,527.36",Year 1 Abaco Siti Agri software which is an Integrated Administration and Control System for the subsidies paid to European farmers in the Common Agricultural Policy (CAP) - invoiced 29 January 2014
DEFRA,04/02/2014,Natural England,"29,557.98",Inwards secondment of one person to the Common Agricultural Policy Delivery Programme - July-September 2013
DEFRA,14/02/2014,University Of Southampton,"29,664.00",Hosting Rural Development Programme for England and Common Agricultural Policy Delivery quick wins and related cost - Year 2
DEFRA,10/02/2014,Department Of Energy and Climate Change,"41,546.00",Defra 2013-14 England annual contribution to the costs of the UK Adaptation Sub Committee - October-December 2013 
DEFRA,28/02/2014,Royal Haskoning D H V,"28,000.00",Funding under the 'Small Business Research Initiative' Infrastructure and Built Environment Design Competition
DEFRA,06/02/2014,Keep Britain Tidy,"345,000.00",Keep Britain Tidy Grant 2013-14 - Final Instalment 
DEFRA,26/02/2014,IBM United Kingdom Ltd,"39,525.02",Raw Water Business Object Reporting Solution - September 2013.
DEFRA,04/02/2014,Food & Environment Research Agency,"1,941,250.02",Plant Health Annex 7 - Structural Funding 2013-14 - October-November 2013.
DEFRA,04/02/2014,Food & Environment Research Agency,"1,096,045.00",2013-14 Plant Health Service Level Agreement evidence - October-November 2013.
DEFRA,25/02/2014,Food & Environment Research Agency,"42,969.27","EUPHRESCO - Non competitive, transnational phytosanitary research projects - December 2013-February 2014."
DEFRA,25/02/2014,O E P P / E P P O,"97,266.96",Annual subscription to European and Mediterranean Plant Protection Organization - 2014
DEFRA,25/02/2014,Food & Environment Research Agency,"54,364.83",Research payment towards tree health - December 2013-February 2014
DEFRA,25/02/2014,Food & Environment Research Agency,"210,605.09",Mitigation of impacts of on ash dieback in the UK - an investigation of the epidemiology and pathogenicity of Hymenoscyphus pseudoalbidus (anamorph: Chalara fraxinea) and development of methods for detection and containment of disease spread - April 2013-February 2014
DEFRA,06/02/2014,Creative Choice CIC,"73,075.00",Editorial support for the Smarter Environmental Regulation Review (SERR) Guidance Project - 02-31 December 2013.
DEFRA,14/02/2014,Resource Decisions Ltd,"26,125.00",Managing Research and Development to underpin Defra's smarter regulation reforms - December 2013-January 2014
DEFRA,04/02/2014,Health & Safety Laboratory,"71,400.00",Health and Safety Laboratory's 'Find It Tool for Defra'.  A solution for sharing farm inspection information across the Defra Network - Phase 1
DEFRA,04/02/2014,Kpmg Llp,"72,000.00",Provision of Contract Study: 40 days' resource. A review of the project work that IBM carries out for the Defra Network.
DEFRA,03/02/2014,Royal Botanic Gardens Kew,"1,600,000.00",Grant In Aid payment - February 2014
DEFRA,12/02/2014,Redfern Travel Ltd,"256,896.20",Travel costs incurred as per the Government Procurement Service contract - January 2014
DEFRA,24/02/2014,Rural Payments Agency,"1,450,893.95",VAT Repayment due - 2013-14 Quarter 3
DEFRA,24/02/2014,Food & Environment Research Agency,"91,288.00",VAT Repayment due - 2013-14 Quarter 3
DEFRA,24/02/2014,Veterinary Medicines Directorate,"55,669.69",VAT Repayment due - 2013-14 Quarter 3
DEFRA,12/02/2014,Barclaycard Business Issuing,"31,533.59",Invoice for purchases made through Barclaycard - February 2014
DEFRA,18/02/2014,Ministry Of Justice,"41,666.00",Reimbursement of Law Commissions for the Conservation Covenants Project - 2013-14 Quarter 3
DEFRA,25/02/2014,United Nations Environment Prog,"138,450.00",UK contribution to support the establishment of the Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES). The aims of the financial contribution are to support the establishment of IPBES and to initiate a targeted work programme.
DEFRA,28/02/2014,Forest Trends Association,"33,945.00","Exploring the Growth of the Biodiversity Offsetting Markets in Other Countries. This project is a short desk study that will provide summary information from established national or regional markets in other countries to help inform Defra and improve our understanding of the costs and benefits of offsets in different market contexts, and in turn to help refine our costs benefit analysis of different options to implement offsetting in England."
DEFRA,28/02/2014,Bangor University,"32,763.25",Assuring engagement in Caymans enhanced marine protected area system (2013-2015) Darwin Initiative Grant Award - Quarter 2 - July-September 2013
DEFRA,26/02/2014,Birdlife International,"25,137.59",Birdlife International Project: Restoration of priority Pacific Island ecosystems for people and biodiversity. Darwin Initiative Round 16 (2009-10)
DEFRA,24/02/2014,Economics for the Environment Consultancy Ltd,"31,094.10",Developing corporate natural capital accounts
DEFRA,12/02/2014,R S P B,"33,316.00",Production of the Wild Bird Populations Indices - 2013-14
DEFRA,28/02/2014,Bangor University,"32,763.25",Assuring engagement in Caymans enhanced marine protected area system (2013-2015) Darwin Initiative Grant Award - Quarter 3 - October-December 2013
DEFRA,18/02/2014,University Of Nottingham,"40,000.00","Developing Behavioural Indicators, as part of a wider set of indicators, to assess the Welfare of Elephants in UK Zoos - 2013-14 "
DEFRA,25/02/2014,Nat Parks Trust of The Virgin Islands,"27,506.00","Darwin Grant - Project to look at ""Conserving Plant diversity and establishing ecosystem based approaches to the management of forest ecosystems in the British Virgin Islands"" - April-December 2013."
DEFRA,19/02/2014,Fundaeco,"30,737.20",Darwin Initiative grant payment: Scaling Up Biodiversity Conservation and Ecological Connectivity across Caribbean Guatemala - Quarter 3
DEFRA,18/02/2014,L T S International Ltd,"38,268.53",Darwin Grant scheme administration costs - January 2014
DEFRA,26/02/2014,Bangor University,"32,763.25",Assuring engagement in Caymans enhanced marine protected area system (2013-2015) Darwin Initiative Grant Award - Post project - Quarter 1 - April-June 2013
DEFRA,28/02/2014,Sinclair Knight Merz (Europe) Ltd,"28,485.78",WasteDataFlow administration and management - January 2014
DEFRA,24/02/2014,Waste & Resources Action Programme,"2,299,136.00",2013-14 Funding for the Waste and Resources Action Programme (WRAP) - February 2014
DEFRA,28/02/2014,Risk Solutions,"69,522.49",Assessment of Behaviour and Impacts on Water Companies - Consultation/Model Developments
DEFRA,18/02/2014,Animal Health and Veterinary Laboratories Agency,"208,809.77",Voluntary Early Retirement/Voluntary Early Severance funding - 2013-14
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"4,486,427.75","Core facility services - cost of providing scientific facilities, capital charges and common services - November-December 2013"
DEFRA,12/02/2014,IBM United Kingdom Ltd,"41,027.72",Technology Refresh - Windows NT4 Eradication Implementation - 29 November-27 December 2013
DEFRA,24/02/2014,IBM United Kingdom Ltd,"47,939.04",Technology Refresh - Windows 7 3rd Party Application Test - 31 May-16 August 2013
DEFRA,24/02/2014,IBM United Kingdom Ltd,"51,830.18",Technology Refresh - Elastic Sky X (ESX) Upgrade Delivery Phase 2; Project costs
DEFRA,24/02/2014,IBM United Kingdom Ltd,"41,590.62",Technology Refresh - Elastic Sky X (ESX) hypervisor upgrade delivery phase 2; project costs - December 2013
DEFRA,04/02/2014,Cabinet Office,"249,364.00",Agreed contribution towards the costs to be incurred for delivery of phase 1 of the Single Operating Platform project 
DEFRA,20/02/2014,Shared Services Connected Ltd,"519,839.72",Shared Services Connected provided by Steria - Fixed Monthly Charge - February 2014
DEFRA,04/02/2014,West Sussex County Council,"122,500.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Northamptonshire County Council,"122,825.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Devon County Council,"217,450.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,10/02/2014,Dept For Communities & Local Gov,"1,250,000.00",2013-14 Local Services Support Grant - January 2014
DEFRA,04/02/2014,Swindon Borough Council,"112,405.41",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Environment Agency,"80,000,000.00",2013-14 Environment and Flood protection Grant in Aid - February 2014
DEFRA,04/02/2014,Warwickshire County Council,"98,900.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Liverpool City Council,"126,550.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Buckinghamshire County Council,"123,250.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Calderdale M B C,"128,250.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,24/02/2014,Collingwood Environmental Planning,"75,007.50",Programme-level evaluation of Defra's Flooding Resilience Community Pathfinder - Milestone 2
DEFRA,04/02/2014,Southampton City Council,"209,250.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Slough Borough Council,"115,582.50",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Cornwall Council,"92,250.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Blackburn With Darwen Borough Cncl,"111,377.50",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,04/02/2014,Rochdale Metropolitan Borough Council,"97,250.00",Flood Resilience Community Pathfinder Funding Grant - 2013-14
DEFRA,11/02/2014,D L O Holding/Prionics AG,"188,707.36","A shipment of Tuberculin delivered to Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - January 2014"
DEFRA,27/02/2014,Zoological Society Of London.,"40,198.83",A study to examine the interactions between cattle and badgers - February 2014
DEFRA,18/02/2014,Welsh Government,"3,905,905.00",Transfer of 2012 European Union funding for the 2011 Tuberculosis Eradication Plan
DEFRA,18/02/2014,Animal Health and Veterinary Laboratories Agency,"10,027,904.03",2013-14 Bovine Tuberculosis requirements plan - November-December 2013
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"386,243.00",Development of an oral Bacille Calmette Guerin (Badger TB) vaccine for badgers - regulatory component - Financial Year 2013-14
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"109,843.50",Development of an oral Bacille Calmette Guerin (Badger TB) vaccine for badgers - regulatory component - Financial Year 2013-14
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"720,390.00",2013-14 Laboratory Surveillance - November-December 2013
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"139,343.75",Continued vaccine development: Improving Bacille Calmette Guerin (Badger Tuberculosis) and developing non-sensitising vaccines for cattle - 2013-14
DEFRA,26/02/2014,Department Of Agriculture & Rur Dev,"5,277,420.00",Transfer of 2012 EU funding for the 2011 Tuberculosis Eradication Plan
DEFRA,25/02/2014,Animal Health and Veterinary Laboratories Agency,"122,003.00",Continued vaccine development: Improving Bacille Calmette Guerin (Badger Tuberculosis) and developing non-sensitising vaccines for cattle - 2013-14
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"38,853,525.33",2013-14 Bovine Tuberculosis requirements plan - April-November 2013
DEFRA,18/02/2014,Foreign & Commonwealth Office,"152,752.13",Costs of European Union Interpreting Services - January-June 2013
DEFRA,28/02/2014,IBM United Kingdom Ltd,"6,105,299.78",IT Services - February 2014
DEFRA,20/02/2014,IBM United Kingdom Ltd,"60,176.02","Service Provider?s labour charges for rolling out 358 refreshed laptops across Defra during February?July 2013, plus service costs for 93 additional counts of laptops including software loading and breakfix support during April?July 2013."
DEFRA,28/02/2014,Interserve (Facilities Mngmnt) Ltd,"101,530.20",Consumables provided to various sites as part of the Facilities Management contract - December 2013
DEFRA,28/02/2014,Interserve (Facilities Mngmnt) Ltd,"95,419.87",Consumables provided to various sites as part of the Facilities Management contract - November 2013
DEFRA,18/02/2014,Natural England,"35,000.00",Consultant costs for two consultants working on Future Corporate Services for the Strategic Alignment programme - 01 September-30 November 2013.
DEFRA,26/02/2014,Brook Street (UK) Ltd,"67,878.94",Eighteen temporary staff - week ending 7 February 2014
DEFRA,26/02/2014,Gangmasters Licensing Authority,"191,641.00",2013-14 Grant enforcement costs - February 2014
DEFRA,26/02/2014,Ashurst LLP,"132,310.50",Provision of commercial legal advice to Defra in respect of the Thames Tideway Tunnel project - 11 December 2013-31 January 2014
DEFRA,06/02/2014,Ricardo-A E A Ltd,"57,745.05",The provision of Technical Support for the Water Technology List 2013-14
DEFRA,04/02/2014,Environment Agency,"30,000.00",Project to look at the performance of water supply systems during extreme drought - 2013-14
DEFRA,20/02/2014,Freshfields Bruckhaus Deringer,"126,663.31",Thames Tideway Tunnel project - professional charges and photocopying - January 2014
DEFRA,20/02/2014,Brook Lyndhurst Ltd,"42,000.00",Evaluation of Animal Health and Welfare Board in England - delivery of final draft report - Milestone 2
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"264,449.57",2013-14 Contract T: Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance - November-December 2013
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"204,190.43",2013-14 Contract E: Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance - November-December 2013
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"314,592.34",2013-14 Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance - April-October 2013
DEFRA,04/02/2014,Animal Health and Veterinary Laboratories Agency,"1,375,427.66",England Animal By-Product Requirements Plan 2013-14 - April-October 2013
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"92,426.03",2013-14 Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance - November-December 2013
DEFRA,24/02/2014,Animal Health and Veterinary Laboratories Agency,"392,420.76",England Animal By-Product Requirements Plan 2013-14 - November-December 2013
DEFRA,04/02/2014,Food Standards Agency,"36,167.04",England Animal By-Product Requirements Plan 2013-14 - December 2013
DEFRA,04/02/2014,Environment Agency,"60,000.00",Publication of approximately 100 Defra Network Infrastructure for Spatial Information in Europe (INSPIRE) datasets via the Environment Agency Data Share Solution to comply with INSPIRE Directive Annex III deadlines.
DEFRA,12/02/2014,Waste & Resources Action Programme,"109,962.00",Digestate and Compost in Agriculture - Field Experiments - financial years 2010-11 to 2013-14
DEFRA,04/02/2014,Technology Strategy Board,"49,982.60",2013-14 Knowledge Transfer Partnership programme - Quarter 3
DEFRA,18/02/2014,Lancaster University,"55,140.34",Perennial field margins with combined ecological and agronomical benefits for vegetable rotation schemes
DEFRA,28/02/2014,A D A S UK Ltd,"50,794.00",Sustainable Crop and Environment Protection ? Targeted Research for Edibles - October-December 2013
DEFRA,27/02/2014,North Wyke Research.,"38,566.24",Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - Rothamsted Research - February 2014 
DEFRA,14/02/2014,University Of Wales Aberystwyth,"32,661.80",Harnessing new technologies for sustainable oat production and utilisation - claim for October-December 2013
DEFRA,12/02/2014,New Generation Biogas (NGB) Ltd,"55,892.58","High capacity, small volume biogas for UK biogas production - New Generation Biogas (NGB) Ltd - 2012-13"
DEFRA,20/02/2014,A D A S UK Ltd,"27,036.00","Horticultural Crop Data Collection, Ornamental Production and Mushroom Data - January 2014."
