Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,32333.83,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,16873.97,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,7099.81,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,16961.89,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,31388.28,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,24705.75,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,13560.96,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,39180.93,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,03/11/2011,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,1368696,29930.22,,Market Towers 7th Floor Block B - Rental Charges Oct - Dec 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,23201.81,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,11653.11,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,6670.52,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,16479.08,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,07/11/2011,Addition Clearing - OLB,CDD CORPORATE DEVELOPMENT,CAMERON BLACK LTD,SME,W1T 1QD,2677,80908.5,,"Fit Out Costs for Ground, 1st & 2nd Floors of Maple Street. Meeting Rooms 6&7 executive requirements. AV VC Coordination. Feature Lighting to meeting rooms vaulted ceiling. 3rd floor manifestation",Admin,,,
Department of Health,Department of Health,29/11/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212769RI,27080.58,,"CQC Buildings - Provision of Facilities Management Services @ £27,080.58 mthly (01/09/2011 - 31/03/2012)",Admin,,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,2543.68,,New Kings Beam House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,1703.56,,New Kings Beam House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,3524.46,,New Kings Beam House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,07/11/2011,Rates,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024504,112233.6,,"Quarry House Leeds - Accommodation Costs July - January 2012 Business Rates @ £112,233.60 mthly.",Admin,,,
Department of Health,Department of Health,07/11/2011,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024504,0,,,Admin,,,
Department of Health,Department of Health,07/11/2011,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024504,495016.09,,"Quarry House Leeds - Accommodation Costs July - March 2012 Facilty Price Rent@£484,377.05 mthly.",Admin,,,
Department of Health,Department of Health,18/11/2011,Service charge,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2889955,54120,,"Quarry House Leeds - Accommodation Costs Apr 2011 - Mar 2012 - Services Charge   170,000.00",Admin,,,
Department of Health,Department of Health,07/11/2011,Utilities,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5204483,40526.53,,"Quarry House Leeds - Accommodation Costs July - March 2012 Utilities Recovery @£40,526.53 mthly",Admin,,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,29484.45,,ABS Central Services-Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,1835.34,,ABS Central Services-Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212880aRI,109458.34,,DH - FM Contract Variable Operational Costs - 1st Dec 2011 - 31st March 2012 (Re:PO:475790),Admin,,,
Department of Health,Department of Health,29/11/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,2520.24,,Premier House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,1617.63,,Premier House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,29/11/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00212748RI,7661,,Premier House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,,,
Department of Health,Department of Health,14/11/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,ORACLE CORPORATION UK LTD,LARGE,RG6 1RA,1347942,52102.33,,Oracle Procurement Conbtract for Oracle Purchasing,Admin,,,
Department of Health,Department of Health,29/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201264111,384804,,"CSC CPA 401274 IT Project reference P3840 Renewal of IBM/Lotus Notes CEO Business Collaboration User Licence + SW subscription & support x 4,500 from 1 Oct 20011 to 31 Sept 2012",Admin,,,
Department of Health,Department of Health,29/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201264112,34204,,CSC Renewal of IBM Lotus Quickr for Domino Extranet Processor Value Unit (PVU) License + SW Subscription & Support x 400,Admin,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263331,216020.83,,Managed Telecom Service  Charge April 2011 to March 2012,Admin,,,
Department of Health,Department of Health,24/11/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263330,639818.78,,Baseline Charge CSC provision of IT services,Admin,,,
Department of Health,Department of Health,02/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,SWETS INFORMATION SERVICES LTD,LARGE,OX14 1UQ,8000048515,115000,,Swets Subscription Renewals Prepayment,Admin,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263621,27000,,Desktop Modernisation Programme - funding approved by IMB 11th June (balance of funding on Business case),Admin,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263628,92812.33,,To provide an interim information & Communication Technology (ICT) solution called IMS2.1 to support the operational business need of the newly formed NHS Commissioning Board from its inception,Admin,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263635,113794.6,,Cisco Video Conferencing Project NW2742,Admin,,,
Department of Health,Department of Health,24/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263637,25463.47,,Supply of ABSTATS secure backup and UAT server,Admin,,,
Department of Health,Department of Health,29/11/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201264117,63711.8,,Renewal of - 2100 x Citrix XenDesktop Enterprise Edition - Per User/Device LA-0001070633 from 31 March 2011 to 30 March 2012,Admin,,,
Department of Health,Department of Health,21/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,RICOH UK LTD,LARGE,NN4 7YB,55930297,60423.78,,Managed Print Service - Rental Charges from 1 April 2011 to 31 March 20121,Admin,,,
Department of Health,Department of Health,25/11/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263767,24193.97,,Managed Print Click Charges - From 01/04/2011 to 31/03/2012,Admin,,,
Department of Health,Department of Health,09/11/2011,Consultancy/Professional Advice,COMMISSIONING,ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10300003536,44637.38,,ICP Evaluation - outstanding costs to E&Y,Admin,,,
Department of Health,Department of Health,09/11/2011,Consultancy/Professional Advice,COMMISSIONING,ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10300003868,44637.38,,ICP Evaluation - outstanding costs to E&Y,Admin,,,
Department of Health,Department of Health,09/11/2011,Consultancy/Professional Advice,COMMISSIONING,ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10300004063,44637.38,,ICP Evaluation - outstanding costs to E&Y,Admin,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,COMMISSIONING,THE FAMILY DOCTOR ASSOCIATION,VCS,OL20 4NN,28/10/2011,29450,,Support to the implementation of GP Commissioning,Programme,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,COMMISSIONING,NAPC SERVICES LTD,SME,W1G 9DP,S6095/11,27000,,Support to the implementation of GP Commissioning,Programme,,,
Department of Health,Department of Health,22/11/2011,Outsourcing Contract,COMMISSIONING,MARKET AND OPINION RESEARCH INTERNATIONAL LTD,LARGE,SE1 1FY,11001903,27991.67,,GP Patient Survey (Ipsos MORI),Programme,,,
Department of Health,Department of Health,08/11/2011,Professional fees,COMMISSIONING,ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10300004231,89775,,"Royal Liverpool and Broadgreen Hospitals NHS Trust.  Stage 1, 2 & 3 + expenses.",Programme,,,
Department of Health,Department of Health,08/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737508,22919.04,,COI Category One  Advertising; Media Buying: TV Services. Cancer campaign out of home costs. COI Contact/Job Number: Peter Sayer/407413. ERG exemption request M00291.,Programme,,,
Department of Health,Department of Health,28/11/2011,Printing,COMMUNICATIONS,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,OP/I121198,90080.29,,Monthly charges for storage and distribution October 2011 to be recovered through journal transfers to owning policy teams,Admin,,,
Department of Health,Department of Health,24/11/2011,Consultancy/Professional Advice,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,703618,67135.25,,"Online Cost Test - September. COI contact: Zoe Webster, ref: 297271.",Programme,,,
Department of Health,Department of Health,11/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737596,95014.17,,COI Category One  Advertising; Media Buying: Internet Services. C4L Autumn campaign online media and search. COI0  Contact/Job Number: Bobby Dhanda/ 407403. ERG exemption reference M00238,Programme,,,
Department of Health,Department of Health,11/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737607,35398,,COI Category Three  Strategic Development and Evaluation; Market Research Services. C4L January 2012 campaign creative development (Define). COI Contact  Claire Dheal. ERG exemption reference M00238.,Programme,,,
Department of Health,Department of Health,24/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737808,96711,,COI Category One  Advertising; Advertising Creative: Advertising Services. Creative development of the Change4Life alcohol campaign Aug-Dec 2011. COI Contact/Reference   Paula Clarke/408213. ERG exemption reference M00342,Programme,,,
Department of Health,Department of Health,24/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737841,63022.14,,COI category 4- DRM and Digital  (482628) C4L Consumer database retainer Q3 COI contact Rachel Guipet Ref 405690_3,Programme,,,
Department of Health,Department of Health,24/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737845,36483,,COI Category Four  DRM and Digital; Contact Centres. C4L Call centre costs Oct to Dec 2011 Q3. COI Contact/Job Reference - Rachel Guipet/405701.ERG exemption reference M00238,Programme,,,
Department of Health,Department of Health,30/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737938,378313.73,,COI Category Two   Content and Production; TV commercial and non-broadcast film production. Production of a 60 second Change4Life TVC for the Feb-March 2012 alcohol campaign. COI Contact/Reference Number  Paula Clarke/408344_1  .  ERG exe,Programme,,,
Department of Health,Department of Health,01/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737345,181703,,COI Category Five  Other Services; Regional Marketing. EMO fees for Quarter 2. COI Contact/Job Number - Sonia Danner/407200).  ERG exemption reference M00285.,Programme,,,
Department of Health,Department of Health,09/11/2011,Printing,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737511,434491,,COI Category Two  Content and Production; Publications. Quit Kit 3 production - Jan/March 2012. COI Contact/Job Number -  Katarina Viglaska/407606. ERG exemption reference M00318.,Programme,,,
Department of Health,Department of Health,11/11/2011,Printing,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737615,132000,,COI Category Two  Content and Production; Publications.  Smokefree Fulfilment QK3 Q3/4. COI Contact/Reference -  Katarina Viglaska/408182. ERG exemption reference M00318.,Programme,,,
Department of Health,Department of Health,25/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737873,40522.07,,COI Category One  Advertising ; Media Buying: Internet Services. Tobacco digital search media buying October. COI contact - Matt Legge. ERG exemption reference M00285.,Programme,,,
Department of Health,Department of Health,29/11/2011,Printing,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737910,121500,,COI Category Two  Content and Production; Publications. Quit Kit 3 production - Jan/March 2012. COI Contact/Job Number -  Katarina Viglaska/407606. ERG exemption reference M00318.,Programme,,,
Department of Health,Department of Health,30/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737916,164114,,COI Category Four  DRM and Digital  - Mailing and fulfilment. Quit Kit reprint for Smokefree Generation and Jan-March 2012. COI Contact/Job Number - Katarina Viglaska/408182. ERG exemption reference number M00318.,Programme,,,
Department of Health,Department of Health,30/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737939,28270,,COI Category Four  DRM and Digital; Direct Marketing creative. Tobacco Control Quit Kit 3 PAA creative amends. COI Contact/Reference Number - Jane Shelley/ 407774. ERG exemption reference M00318.,Programme,,,
Department of Health,Department of Health,11/11/2011,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737599,63424.8,,COI Category One  Advertising; Media Buying: Print Services. development of creative for pharmacy bags. COI Contact: Peter Sayer.,Programme,,,
Department of Health,Department of Health,04/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737453,915,,"COI Category Three - Market Research Services.Research costs: CATI survey of 1,125 NHS staff incl COI consultancy. COI Contact: Karen Wheeler. NB: Total Cost is £98,170.00  (two POs to be raised)",Programme,,,
Department of Health,Department of Health,04/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737453,48170,,"COI Category Three  Market Research Services. Research costs: CATI survey of 1,125 NHS staff incl COI consultancy. COI Contact: Karen Wheeler. NB: Total Cost is £98,170.00 (two POs to be raised).",Programme,,,
Department of Health,Department of Health,15/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737673,24250,,COI Category Three   Strategic Development and Evaluation; Market Research Services. Reasearch company costs - 20 min CAPI survey of British adults plus COI consultancy.  COI Contact  Karen Saunders.,Programme,,,
Department of Health,Department of Health,01/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737344,110198.93,,COI cat 5 - Other services; Partnership Marketing; Change4Life Partnerships Marketing 2011/12 - Ed Pikett 406558,Programme,,,
Department of Health,Department of Health,11/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737584,21666.84,,COI cat 5 - Other services; Partnership Marketing; Change4Life Partnerships Marketing 2011/12 - Ed Pikett 406558,Programme,,,
Department of Health,Department of Health,11/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737584,4333.37,,,Programme,,,
