Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CUMBRIA COUNTY COUNCIL,4000050967,12049434
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,COVENTRY CITY COUNCIL,4000050966,9298034
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,COUNCIL OF THE ISLES OF SCILLY,4000050965,120364
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CORNWALL COUNCIL,4000050964,12658920
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CITY OF WESTMINSTER,4000050963,4525664
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CITY OF LONDON,4000050962,94257
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000050961,16566936
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000050960,8589011
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CHESHIRE EAST COUNCIL,4000050959,8918443
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000050958,6664364
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,IS/IT,"Strategic Analysis, Research and Policy Impact Group",CAPGEMINI UK PLC,4000051099,209972.33
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,IS/IT,Chief Information Officer Group,CAPGEMINI UK PLC,4000051099,83418.55
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,IS/IT,Chief Information Officer Group,CAPGEMINI UK PLC,4000051099,29633.33
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,IS/IT,Chief Information Officer Group,CAPGEMINI UK PLC,4000051099,28371.25
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CAPITAL LICENCES & INTANGIBLES,Chief Information Officer Group Admin Capital,CAPGEMINI UK PLC,4000051099,18733
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,IS/IT,Chief Information Officer Group,CAPGEMINI UK PLC,4000051099,15809
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,IS/IT,Chief Information Officer Group,CAPGEMINI UK PLC,4000051099,11038.2
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000050957,14409622
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,CALDERDALE MBC,4000050956,6296846
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BURY MBC,4000050955,5305290
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000050954,13473819
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BRISTOL CITY COUNCIL,4000050953,9307456
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000050952,5969412
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000050951,2914087
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000050950,3574599
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BOLTON MBC,4000050949,8127709
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000050948,4022945
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000050947,5148247
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BIRMINGHAM CITY COUNCIL,4000050946,37452353
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BEDFORD BOROUGH COUNCIL,4000050945,4437961
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000050944,4362255
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,BARNSLEY MBC,4000050943,6080050
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,GRANT IN AID,Post 16 YPLA Resources Group,YOUNG PEOPLES LEARNING AGENCY,2000356,1217919000
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,UNIVERSITY OF SOUTHAMPTON,4000051283,898250
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,RESEARCH & DEVELOPMENT COSTS,"Strategic Analysis, Research and Policy Impact Group",UNIVERSITY OF EAST ANGLIA,4000051282,58000
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,GRANT IN AID,Young People Workforce Group,TRAINING & DEVELOPMENT AGENCY FOR SCHOOLS TDA,2000355,53013440.23
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,RESEARCH & DEVELOPMENT COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,TNS UK LTD,4000051278,42780
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,RESEARCH & DEVELOPMENT COSTS,Curriculum and Behaviour Group,TNS UK LTD,4000051278,37878
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,THE TAVISTOCK INSTITUTE OF HUMAN RELATIONS,4000051277,25787.87
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,CURRENT GRANTS,Academies Delivery Group,THE HAZELEY SCHOOL,4000051276,25000
Department for Education,DEPARTMENT FOR EDUCATION,04/04/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,TEACHERS TV C/O EDUCATION DIGITAL 2 LTD,4000051275,307351.2
