,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,AHVLA,17/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121582," £28,719.02 ",RSR Animal Health and Veterinary Laboratories Agency  Performance Management contractor Tools & Materials and expenses March - April 2012,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,17/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121463," £111,096.74 ",SAM Release 7 Support tools and materials and expenses,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,17/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121460," £26,775.50 ",RSR2 Animal Health and Veterinary Laboratories Agency  Official Veterinarian Project Support Tools and Materials and expenses May 2012,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,07/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121473," £30,805.02 ",RSR Animal Health and Veterinary Laboratories Agency  Financial Consultancy Support in Weybridge July 2012,GU1 2LD,,,TAC00251,Expense,,
DEFRA,AHVLA,21/09/2012,Lab & Technical Equipment,Chief Operating Officer DG,Genus Breeding Ltd.,21103838," £25,633.90 ",Payment for provision of animal disease emergency vaccinations,CW6 9HY,SME,,EMERVACC,Expense,,
DEFRA,AHVLA,24/09/2012,LVI Claims,Chief Operating Officer DG,TORCH FARM AND EQUINE LTD~136138523,LVI151918," £28,017.22 ",Payment to veterinary practice for services provided in an official capacity on behalf of Animal Health and Veterinary Laboratories Agency ,EX31 3FG,SME,,00000000,Expense,,
DEFRA,AHVLA,11/09/2012,Interim Staff,Chief Operating Officer DG,Eville & Jones (UK) Ltd,667," £27,538.38 ",Provision of temporary veterinary personnel at the Exeter office,LS15 8ZB,SME,,00000000,Expense,,
DEFRA,AHVLA,11/09/2012,Interim Staff,Chief Operating Officer DG,Eville & Jones (UK) Ltd,635," £32,638.08 ",Provision of temporary veterinary personnel at the Exeter office,LS15 8ZB,SME,,00000000,Expense,,
DEFRA,AHVLA,07/09/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649058286310812," £47,601.11 ",Payment of the monthly Animal Health and Veterinary Laboratories Agency  invoice for purchases made on credit cards ,TS17 6YG,,,00000000,Asset,,
DEFRA,AHVLA,17/09/2012,LVI ERNIC Suspense,Chief Operating Officer DG,H M Revenue & Customs,100912," £37,723.69 ",Payment of ERNIC to Livestock Veterinary Inspector practice owner or principal for August 2012,BD98 8AA,,,00000000,Liability,,
DEFRA,AHVLA,25/09/2012,LVI ERNIC Suspense,Chief Operating Officer DG,H M Revenue & Customs,210912," £30,916.55 ",Payment of ERNIC to Livestock Veterinary Inspector practice owner or principal for September 2012,BD98 8AA,,,00000000,Liability,,
DEFRA,AHVLA,24/09/2012,LVI Claims,Chief Operating Officer DG,Penbode Veterinary Group~143290584,LVI151942," £59,586.94 ",Payment to veterinary practice for services provided in an official capacity on behalf of Animal Health and Veterinary Laboratories Agency ,EX22 6HB,SME,,00000000,Expense,,
DEFRA,AHVLA,24/09/2012,LVI Claims,Chief Operating Officer DG,BELMONT VETERINARY CENTRE LTD~134086385,LVI151911," £25,013.67 ",Payment to veterinary practice for services provided in an official capacity on behalf of Animal Health and Veterinary Laboratories Agency ,HR2 7JS,SME,,00000000,Expense,,
DEFRA,AHVLA,24/09/2012,LVI Claims,Chief Operating Officer DG,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI151868," £55,695.30 ",Payment to veterinary practice for services provided in an official capacity on behalf of Animal Health and Veterinary Laboratories Agency ,ST14 8EB,SME,,00000000,Expense,,
DEFRA,AHVLA,11/09/2012,FM Projects Non Capital Works,Chief Operating Officer DG,The Scottish Government,24716," £82,635.77 ",Revenue contribution to works carried out by Scottish Government at the Inverness office,EH6 6QQ,,,00000000,Expense,,
DEFRA,AHVLA,03/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5807120234," £568,380.00 ",Statement of Work Business Reform Programme Release 6 Delivery - Project closedown report delivery,GU1 2LD,,,BRP00240,Expense,,
DEFRA,AHVLA,17/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121458," £76,547.41 ",Government Gateway Primary Contact ,GU1 2LD,,,BRP00181,Expense,,
DEFRA,AHVLA,24/09/2012,LVI Claims,Chief Operating Officer DG,SYNERGY FARM HEALTH LTD~979392255,LVI152280," £27,162.00 ",Payment to veterinary practice for services provided in an official capacity on behalf of Animal Health and Veterinary Laboratories Agency ,DT2 0LD,SME,,00000000,Expense,,
DEFRA,AHVLA,24/09/2012,LVI Claims,Chief Operating Officer DG,PRIORY VETERINARY LTD.~122926971,LVI151884," £25,464.23 ",Payment to veterinary practice for services provided in an official capacity on behalf of Animal Health and Veterinary Laboratories Agency ,SA43 1QR,SME,,00000000,Expense,,
DEFRA,AHVLA,11/09/2012,FM Projects Non Capital Works,,DEFRA,1000016565," £1,420,407.22 ",Recharge of project work carried out by Facilities Management provider to design and provide walk in cold rooms for the storage of Tuberculin at Weybridge site,YO1 7PX,,,00000000,Expense,,
DEFRA,AHVLA,11/09/2012,Additions In Year,,DEFRA,1000018550," £492,745.42 ",Recharge of various project works carried out by Facilities Management provider across Animal Health and Veterinary Laboratories Agency Estate,YO1 7PX,,,00000000,Asset,,
DEFRA,AHVLA,11/09/2012,FM Projects Non Capital Works,,DEFRA,1000017766," £341,103.47 ","Recharge of Facilities Management provider costs to relocate surplus furniture from Worcester to Environment Agency site at Hatfield to enable hot desk facility for staff, following closure of Stevenage office",YO1 7PX,,,00000000,Expense,,
DEFRA,AHVLA,11/09/2012,Office Eqpt Hire,,Danwood Contract Rentals,002120019927," £27,370.62 ",Payment of the invoice for lease of photocopiers through Danwood,RG21 4HL,SME,,00000000,Expense,,
DEFRA,AHVLA,03/09/2012,Sub Contracted Services,,Health Protection Agency,5393440," £30,631.00 ",Research Studies: Evaluation and recommendation of a screening protocol for the detection of Extended Spectrum Beta Lactamases (ESBLs),SP4 0JG,,PU/T/WL/11/24,RDFS2412,Expense,,
DEFRA,AHVLA,25/09/2012,Hard charges,,D T Z,37692," £377,444.02 ",Facilities management costs for September 2012 at Weybridge site,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,17/09/2012,Hard charges,,D T Z,37050," £377,444.02 ",Facilities management costs for August 2012 at Weybridge site,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,21/09/2012,Hard charges,,D T Z,37486," £39,552.19 ",Establishment costs for Weybridge for October 2012,B4 6HT,,,HARDESTA,Expense,,
